country,score,revised_score
Iceland,0.8211216051011261,0.787628441218455
Finland,0.8022100057254345,0.7929012129115534
Sweden,0.7881567453545922,0.7821215576692621
Estonia,0.7789592025475767,0.7343038024170083
Norway,0.7665904454552753,0.7584894110415202
United States,0.765095761745132,0.7455320888150291
New Zealand,0.7633369682286428,0.7257750756419749
Slovenia,0.7633098736871007,0.742265685386391
Lithuania,0.7584164311168778,0.6980625643426457
Latvia,0.747087694254215,0.6938148653382167
Canada,0.745469843724224,0.7105706670922882
Luxembourg,0.7436942725234493,0.7451791627819648
Portugal,0.7431578452833271,0.7267875690091761
Ireland,0.7414869538672658,0.7354506532784066
Denmark,0.7411078612387311,0.7396509845682373
Switzerland,0.7356085811462864,0.7380536024673285
Spain,0.7336465200081824,0.7332568506554871
Australia,0.7333101290933064,0.6969116910125484
United Kingdom,0.7168620284711676,0.7218204691543295
France,0.7165799729748189,0.7042724492513508
Slovakia,0.7131304346853361,0.6938759049890812
Belgium,0.7119031730705304,0.7051404926526587
Austria,0.7087371561468361,0.7135183217062784
Poland,0.6999372756798355,0.6683635874491758
Netherlands,0.6975948448392855,0.7011570751836875
Colombia,0.6930314017147732,0.7005977232140679
Hungary,0.6911125686618608,0.6612661729878291
Israel,0.6898836113056933,0.6624202732487205
Greece,0.6832033801913069,0.6779879161326674
Germany,0.6807139648806279,0.6766181589058617
Costa Rica,0.6724823594008408,0.6772413469625145
Chile,0.666435424373958,0.6567153809497497
Czechia,0.6350091094067359,0.6394254538284977
South Korea,0.6188574537264973,0.6224870952575219
Italy,0.614626421829505,0.6180236638364707
Mexico,0.6098635520808771,0.6187022642200664
Japan,0.5958167132371959,0.5859587621109201
Türkiye,0.5272983818437142,0.5290660239172256
