country,score,revised_score
Sweden,1.0,0.9188853863785689
New Zealand,1.0,0.92963119680718
Estonia,1.0,0.9385130811748306
Belgium,1.0,0.9479513603807385
Latvia,1.0,0.948272379398724
Israel,1.0,0.9487808391014763
United States,1.0,0.9498154192368188
Costa Rica,1.0,0.9547972665063087
Slovakia,1.0,0.9552846884513154
Slovenia,1.0,0.9573365220202505
Czechia,1.0,0.9594127043111873
United Kingdom,1.0,0.9600739964083043
France,1.0,0.9635895993813034
Colombia,1.0,0.9678791066298698
Netherlands,1.0,0.9751140254706232
Ireland,0.9998912544465187,0.9436830203711797
Finland,0.9994562722325934,0.9435879505224811
Spain,0.9989834673629868,0.9640512468502205
Hungary,0.9988103207566207,0.9635537671737737
Luxembourg,0.9983688166977802,0.975745244961871
Mexico,0.9979669347259736,0.9476891072419146
Denmark,0.9978468284134244,0.9581229987093286
Poland,0.9965549254614791,0.9472791434421789
Italy,0.9957322216637585,0.9548001590030943
Canada,0.9952195435434321,0.962287654044079
Lithuania,0.9951499290594422,0.9472980265889843
Austria,0.9948215184506931,0.9695805945272861
Portugal,0.994323368382654,0.9729230693685222
Greece,0.9939602498160629,0.9853731904100778
Norway,0.9931098509229581,0.9465235976306738
Switzerland,0.9924638994469854,0.9778954877742884
Iceland,0.9922485822883279,0.933263037438655
Japan,0.9917933978767184,0.9885928478862275
Australia,0.9916026308123552,0.9521615183934906
Türkiye,0.9903674790603689,0.9856060504885393
Chile,0.9886003529795023,0.9686854052105525
Germany,0.9872962876392041,0.9678984047642107
South Korea,0.9809889253259092,0.9812210747305139
