country,score,revised_score
Iceland,1.0,0.4931143614746386
Sweden,1.0,0.5751869288285794
New Zealand,1.0,0.611726778158372
Poland,1.0,0.6453469071594555
Estonia,1.0,0.6549141606175827
Slovenia,1.0,0.6598585234631862
Norway,1.0,0.6630625879043601
Australia,1.0,0.6676800748362957
Slovakia,1.0,0.6678260869565218
Lithuania,1.0,0.6723620410990533
United States,1.0,0.6804428044280444
Israel,1.0,0.6919011569775746
Latvia,1.0,0.6922935103244837
Denmark,1.0,0.7160618619225715
United Kingdom,1.0,0.7170181968569065
Italy,1.0,0.7184547302954192
Canada,1.0,0.7201275145652414
Czechia,1.0,0.7202675916749257
Belgium,1.0,0.7368971649754158
France,1.0,0.7614326434502416
Finland,1.0,0.7787625559213304
Spain,1.0,0.7893546867640132
Austria,1.0,0.7918091980235652
Hungary,1.0,0.8003491509284241
Costa Rica,1.0,0.8141227054737886
Chile,1.0,0.8304507819687212
Ireland,1.0,0.8348453128634566
Luxembourg,1.0,0.836942112240389
Portugal,1.0,0.8377584886392646
Colombia,1.0,0.845771144278607
Mexico,1.0,0.8483883804218066
Netherlands,1.0,0.8580369250026078
South Korea,0.861,0.8605638893909272
Switzerland,1.0,0.8840157180884776
Germany,1.0,0.9242289630663788
Greece,1.0,0.9272494396413704
Japan,0.969,0.9686671862821511
Türkiye,1.0,0.9843035179050323
