Entity,Code,Year,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Life expectancy - Sex: male - Age: 0 - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,World regions according to OWID,time,time
Afghanistan,AFG,2023,67.536,64.467,41454709,Asia,2023,2023
Albania,ALB,2023,81.446,77.728,2811615,Europe,2023,2023
Algeria,DZA,2023,77.696,74.895,46164169,Africa,2023,2023
American Samoa,ASM,2023,75.838,70.202,47499,Oceania,2023,2023
Andorra,AND,2023,86.107,82.1,80825,Europe,2023,2023
Angola,AGO,2023,67.144,62.099,36749852,Africa,2023,2023
Anguilla,AIA,2023,82.664,76.026,14391,North America,2023,2023
Antigua and Barbuda,ATG,2023,80.294,74.549,93293,North America,2023,2023
Argentina,ARG,2023,79.875,74.805,45538356,South America,2023,2023
Armenia,ARM,2023,79.454,71.385,2943346,Asia,2023,2023
Aruba,ABW,2023,78.779,73.702,107904,North America,2023,2023
Australia,AUS,2023,85.737,82.098,26451074,Oceania,2023,2023
Austria,AUT,2023,84.319,79.543,9130386,Europe,2023,2023
Azerbaijan,AZE,2023,77.134,71.561,10318161,Asia,2023,2023
Bahamas,BHS,2023,78.187,70.906,399410,North America,2023,2023
Bahrain,BHR,2023,81.987,80.672,1569625,Asia,2023,2023
Bangladesh,BGD,2023,76.373,73.032,171466945,Asia,2023,2023
Barbados,BRB,2023,78.615,73.631,282302,North America,2023,2023
Belarus,BLR,2023,79.065,69.535,9115626,Europe,2023,2023
Belgium,BEL,2023,84.329,79.856,11712836,Europe,2023,2023
Belize,BLZ,2023,76.495,70.928,411073,North America,2023,2023
Benin,BEN,2023,62.208,59.347,14110987,Africa,2023,2023
Bermuda,BMU,2023,85.742,78.855,64676,North America,2023,2023
Bhutan,BTN,2023,74.965,71.305,786330,Asia,2023,2023
Bolivia,BOL,2023,71.145,66.128,12244104,South America,2023,2023
Bonaire Sint Eustatius and Saba,BES,2023,80.163,75.235,29870,North America,2023,2023
Bosnia and Herzegovina,BIH,2023,80.903,74.424,3185033,Europe,2023,2023
Botswana,BWA,2023,71.698,66.673,2480185,Africa,2023,2023
Brazil,BRA,2023,78.983,72.76,211140678,South America,2023,2023
British Virgin Islands,VGB,2023,80.049,74.526,38954,North America,2023,2023
Brunei,BRN,2023,77.555,73.328,458910,Asia,2023,2023
Bulgaria,BGR,2023,79.213,72.163,6795757,Europe,2023,2023
Burkina Faso,BFA,2023,63.222,58.921,23025738,Africa,2023,2023
Burundi,BDI,2023,65.697,61.599,13689406,Africa,2023,2023
Cambodia,KHM,2023,73.187,68.011,17423835,Asia,2023,2023
Cameroon,CMR,2023,65.944,61.522,28372638,Africa,2023,2023
Canada,CAN,2023,84.83,80.427,39299053,North America,2023,2023
Cape Verde,CPV,2023,79.209,72.856,522290,Africa,2023,2023
Cayman Islands,CYM,2023,82.867,77.981,73009,North America,2023,2023
