country,male,female
Japan,72.08511461,75.01396161
South Korea,70.6243299,74.18892536
Spain,70.89741437,72.42053783
Italy,70.85225257,71.92354184
Luxembourg,70.97560642,71.89013518
Israel,71.17443296,71.78499912
Slovenia,68.77665442,71.68564858
Switzerland,71.33081959,71.66858524
France,69.77737462,71.59532003
Iceland,71.3020503,71.46224783
Sweden,71.32730344,71.46132855
Finland,69.04574517,71.28891742
Norway,71.042668,71.28140244
Portugal,68.81043634,71.20192007
Austria,69.73443538,71.09760264
Netherlands,71.0520347,71.07062345
Canada,69.65790446,70.91261404
Australia,69.67889439,70.83941705
Denmark,69.85927694,70.7537778
Ireland,70.25276908,70.70716493
Estonia,65.80111749,70.59165183
Belgium,69.61190439,70.55246024
Greece,69.14331489,70.46832121
Costa Rica,68.08903985,70.34728155
United Kingdom,69.38015713,70.07471052
Chile,68.64629464,70.05460077
Czechia,66.92380114,70.01483767
Poland,65.08437617,70.01417653
New Zealand,69.49638181,69.98288946
Germany,68.99588905,69.85817732
Slovakia,65.47585563,69.40681929
Colombia,66.44345852,69.33574952
Lithuania,63.10468314,69.1667031
Latvia,63.04658652,68.73855498
Hungary,64.6688348,68.39101015
Türkiye,66.63006935,67.80004271
Mexico,63.92217391,67.01759328
United States,65.12712594,66.92790292
