country,score,revised_score
Lithuania,1.06,0.9639370826638778
Latvia,1.06,0.9697180549466486
Poland,1.06,0.9842552414250174
Estonia,1.06,0.9871967631746066
Slovakia,1.06,0.9999631570725303
Hungary,1.06,1.002442517148925
South Korea,1.047,1.009527373002374
Mexico,1.046,1.0115751861887827
Czechia,1.054,1.0138125976506658
Colombia,1.045,1.0164698908752712
Slovenia,1.05,1.0177037559542286
Japan,1.039,1.0193696005639188
Portugal,1.039,1.0252453340335845
Costa Rica,1.039,1.026833991124344
Finland,1.03,1.0275117960639428
United States,1.028,1.0323498165471174
France,1.028,1.0339464916830088
Spain,1.022,1.0385165161023913
Chile,1.03,1.039484600918585
Austria,1.028,1.0404520212636443
Greece,1.029,1.040836812320787
Canada,1.021,1.0419875491557389
Türkiye,1.017,1.0424407602841554
Australia,1.023,1.0433447032970353
Italy,1.02,1.0448799546783416
Belgium,1.022,1.0464885775178547
Luxembourg,1.012,1.0471148862809534
Denmark,1.01,1.047195675375108
Germany,1.035,1.0475023239518646
United Kingdom,1.014,1.049989163779226
Israel,1.011,1.0514215521696797
New Zealand,1.017,1.0529995254813398
Ireland,1.01,1.0535319866255726
Switzerland,1.009,1.0552648006578162
Norway,1.008,1.056639562579491
Iceland,1.008,1.0577532549298938
Sweden,1.006,1.0581209844822923
Netherlands,1.002,1.059738378357798
