country,score,revised_score
New Zealand,1.0,0.9007426469242219
Estonia,1.0,0.9069838988279386
Hungary,1.0,0.9107957840080154
Israel,1.0,0.9116415397918998
Latvia,1.0,0.9209386594609135
Lithuania,1.0,0.9267283406820024
Italy,0.997,0.9343418512813544
Poland,1.0,0.9414150812906898
Ireland,1.0,0.9465554395189553
Norway,1.0,0.9499156076588173
Germany,1.0,0.9507559571894006
France,1.0,0.9507764912048997
Denmark,1.0,0.9513529077704344
Türkiye,0.953,0.953
United States,1.0,0.9546058340171777
Finland,1.0,0.9562760865199378
Czechia,1.0,0.9641446707044494
Netherlands,1.0,0.9670319602635014
Sweden,1.0,0.9710888824591524
Portugal,0.981,0.9736606963138195
Japan,1.0,0.9750247004385797
Slovakia,1.0,0.979682747937886
Mexico,0.984,0.984
Spain,0.992,0.9840893781420561
Canada,1.0,0.990078351972038
Austria,1.0,0.9906503961474022
Chile,0.999,0.993336188365219
South Korea,0.992,0.9952063412379855
Switzerland,1.0,0.9957352602127003
Slovenia,1.0,1.0
United Kingdom,1.0,1.0
Luxembourg,1.0,1.0
Colombia,1.0,1.0
Costa Rica,1.0,1.0
Iceland,1.0,1.0
Greece,1.0,1.0
Belgium,1.0,1.0
Australia,1.0,1.0
