country,score,revised_score
Iceland,0.9363813301176035,0.9026027655687459
Finland,0.8767123389906863,0.8311627091936342
Norway,0.8675013162994964,0.8487196850829652
New Zealand,0.8393630191688144,0.8127708929306843
Sweden,0.8150181869486149,0.7930262518484967
Germany,0.8115863793042506,0.8053527067492487
Ireland,0.8024225531273182,0.7901190816715223
Spain,0.7992245569038736,0.7881232964570991
Belgium,0.7927295586871019,0.7601542391218843
Lithuania,0.79270984241644,0.758864155704364
Switzerland,0.7893070293885102,0.7870159056772666
United Kingdom,0.7885200729264026,0.7809129105455823
Denmark,0.7876955547759972,0.7770883437230472
Portugal,0.786401393357346,0.766104185529761
Chile,0.7832194004245261,0.7643285314243983
Costa Rica,0.7830337644515093,0.7689027987083898
Australia,0.7801275903988969,0.7598905379743839
France,0.779598688769114,0.7651778682131993
Netherlands,0.7771572307704468,0.7726381560129588
Estonia,0.7740030687063761,0.7414165230359383
Latvia,0.7703937733445989,0.7371709316011958
Mexico,0.7675527691075528,0.7500874710258424
Slovenia,0.7652205367364762,0.7446714713726882
Canada,0.7616601062400161,0.743788503924707
United States,0.7466154353967447,0.7274049244056606
Luxembourg,0.7463158187490037,0.740943632105928
Colombia,0.744222359778365,0.7341382275240567
Austria,0.7429206058647907,0.7358308930514728
Poland,0.7366271414862258,0.7097910998685717
Slovakia,0.7282582249621165,0.7072769297043932
Greece,0.7141809573882327,0.7099681556301848
Italy,0.704413715285881,0.6944845298027422
South Korea,0.6994586876813758,0.6968550605125121
Israel,0.6975079396560144,0.6786933677890272
Czechia,0.683195553071007,0.6698681790780964
Hungary,0.6830959685698659,0.6621078079844307
Japan,0.6697406414010466,0.6640796415237649
Türkiye,0.6493371218351469,0.6489115578155761
