country,male,female
Lithuania,35.98,64.02
Latvia,37.26,62.75
Estonia,40.11,59.89
Australia,41.71,58.29
Poland,42.37,57.63
Canada,42.41,57.59
Hungary,43.0,57.0
Iceland,43.05,56.95
Israel,43.82,56.18
Slovakia,45.35,54.65
United States,45.41,54.59
Slovenia,45.55,54.45
Portugal,46.21,53.79
France,46.69,53.31
Chile,47.26,52.74
Norway,47.27,52.73
Belgium,47.86,52.14
Finland,47.95,52.05
Ireland,48.09,51.91
Greece,48.18,51.82
Sweden,48.21,51.78
Germany,48.48,51.52
Spain,49.21,50.79
Denmark,49.28,50.72
South Korea,49.84,50.16
Austria,49.96,50.04
United Kingdom,50.21,49.79
Luxembourg,50.46,49.54
Netherlands,50.47,49.53
Mexico,50.48,49.52
Colombia,50.54,49.46
Switzerland,50.75,49.25
Czechia,51.4,48.6
Italy,53.6,46.4
Costa Rica,54.85,45.15
Türkiye,57.56,42.44
Japan,,
New Zealand,,
