country,score,revised_score
Lithuania,1.0,0.5620118712902218
Latvia,1.0,0.5937848605577689
Estonia,1.0,0.6697278343629988
Australia,1.0,0.7155601303825699
Poland,1.0,0.7352073572791948
Canada,1.0,0.7364125716270185
Türkiye,0.737,0.7373175816539262
Hungary,1.0,0.7543859649122807
Iceland,1.0,0.7559262510974538
Israel,1.0,0.7799928800284799
Costa Rica,0.823,0.8231540565177757
Slovakia,1.0,0.8298261665141812
United States,1.0,0.8318373328448433
Slovenia,1.0,0.8365472910927455
Portugal,1.0,0.8590816136828408
Italy,0.866,0.8656716417910447
France,1.0,0.8758206715438003
Chile,1.0,0.8960940462646947
Norway,1.0,0.8964536317087048
Belgium,1.0,0.9179133103183736
Finland,1.0,0.9212295869356389
Ireland,1.0,0.9264110961279138
Greece,1.0,0.9297568506368198
Sweden,1.0,0.9310544611819235
Germany,1.0,0.9409937888198756
Czechia,0.946,0.9455252918287939
Spain,1.0,0.9688915140775743
Switzerland,0.97,0.9704433497536946
Denmark,1.0,0.971608832807571
Colombia,0.979,0.9786307874950535
Mexico,0.981,0.9809825673534074
Netherlands,0.981,0.9813750743015653
Luxembourg,0.982,0.9817677368212445
United Kingdom,0.992,0.9916351324437362
South Korea,1.0,0.9936204146730464
Austria,1.0,0.9984012789768186
Japan,,
New Zealand,,
