country,page_number,score,rank,diff,left,right
Albania,83,0.742,28.0,-4.6,13.2,17.8
Algeria,85,0.19,141.0,-15.07,3.53,18.6
Angola,87,0.674,53.0,-2.31,4.76,7.07
Argentina,89,0.543,106.0,-13.35,15.85,29.2
Armenia,91,0.607,87.0,-8.04,12.44,20.48
Australia,93,0.629,75.0,-23.28,39.53,62.81
Austria,95,0.585,97.0,-29.4,41.4,70.79
Azerbaijan,97,0.654,65.0,-6.33,11.97,18.3
Bahrain,99,0.636,73.0,-21.94,38.26,60.2
Bangladesh,101,0.102,144.0,-10.29,1.16,11.45
Barbados,103,0.866,4.0,-2.23,14.35,16.58
Belarus,105,0.638,72.0,-8.59,15.14,23.73
Belgium,107,0.683,50.0,-20.12,43.34,63.47
Belize,109,0.712,37.0,-3.19,7.87,11.06
Benin,111,0.522,112.0,-2.16,2.35,4.51
Bhutan,113,,,,,
Bolivia,115,0.611,86.0,-3.97,6.25,10.23
Bosnia and Herzegovina,117,0.598,91.0,-8.45,12.58,21.03
Botswana,119,0.778,19.0,-3.89,13.6,17.49
Brazil,121,0.618,81.0,-7.17,11.57,18.74
Brunei Darussalam,123,0.687,48.0,-21.64,47.48,69.12
Bulgaria,125,0.736,30.0,-8.25,22.96,31.21
Burkina Faso,127,0.446,125.0,-1.66,1.33,2.99
Burundi,129,0.843,7.0,-0.12,0.65,0.77
Cambodia,131,0.746,23.0,-1.32,3.88,5.2
Cameroon,133,0.495,118.0,-2.52,2.47,4.99
Canada,135,0.695,44.0,-17.78,40.46,58.24
Cape Verde,137,0.742,26.0,-2.18,6.29,8.48
Chad,139,0.551,105.0,-0.82,1.0,1.82
Chile,141,0.615,82.0,-12.36,19.75,32.11
China,143,0.642,71.0,-7.9,14.16,22.06
Colombia,145,0.67,54.0,-6.18,12.57,18.75
Comoros,147,0.45,123.0,-2.46,2.01,4.47
"Congo, Democratic Republic of t",149,0.693,46.0,-0.41,0.93,1.34
Costa Rica,151,0.669,55.0,-8.75,17.69,26.45
Côte D'Ivoire,153,0.59,94.0,-2.85,4.1,6.95
Croatia,155,0.661,60.0,-14.08,27.45,41.52
Cyprus,157,0.613,84.0,-21.6,34.18,55.78
Czechia,159,0.587,95.0,-21.45,30.49,51.94
Denmark,161,0.768,20.0,-15.77,52.09,67.86
Dominican Republic,163,0.613,85.0,-9.28,14.68,23.96
Ecuador,165,0.729,32.0,-3.41,9.16,12.57
Egypt,167,0.209,140.0,-16.6,4.39,20.99
El Salvador,169,0.602,90.0,-4.72,7.15,11.87
Estonia,171,0.708,38.0,-13.03,31.53,44.55
Eswatini,173,0.806,13.0,-1.94,8.09,10.04
Ethiopia,175,0.663,59.0,-0.97,1.9,2.86
Fiji,177,0.494,119.0,-8.38,8.19,16.57
Finland,179,0.744,25.0,-14.49,42.11,56.61
France,181,0.669,56.0,-18.34,37.04,55.38
Gambia,183,0.804,15.0,-0.46,1.89,2.34
Georgia,185,0.604,89.0,-8.55,13.06,21.61
Germany,187,0.585,96.0,-28.36,39.98,68.34
Ghana,189,0.578,100.0,-2.93,4.02,6.95
Greece,191,0.659,62.0,-13.09,25.3,38.39
Guatemala,193,0.446,124.0,-7.05,5.67,12.72
