code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.7415730337078651,28.0,28.0,0.742,0.7415730337078651
DZA,Algeria,0.18978494623655912,141.0,141.0,0.19,0.18978494623655912
AGO,Angola,0.6732673267326732,53.0,53.0,0.674,0.6732673267326732
ARG,Argentina,0.5428082191780822,106.0,106.0,0.543,0.5428082191780822
ARM,Armenia,0.607421875,87.0,87.0,0.607,0.607421875
AUS,Australia,0.629358382423181,75.0,75.0,0.629,0.629358382423181
AUT,Austria,0.5848283655883598,97.0,97.0,0.585,0.5848283655883598
AZE,Azerbaijan,0.6540983606557377,65.0,65.0,0.654,0.6540983606557377
BHR,Bahrain,0.635548172757475,73.0,73.0,0.636,0.635548172757475
BGD,Bangladesh,0.10131004366812227,144.0,144.0,0.102,0.10131004366812227
BRB,Barbados,0.8655006031363088,4.0,4.0,0.866,0.8655006031363088
BLR,Belarus,0.6380109565950274,72.0,72.0,0.638,0.6380109565950274
BEL,Belgium,0.682842287694974,50.0,50.0,0.683,0.682842287694974
BLZ,Belize,0.7115732368896925,37.0,37.0,0.712,0.7115732368896925
BEN,Benin,0.5210643015521065,112.0,112.0,0.522,0.5210643015521065
BTN,Bhutan,,,,,
BOL,Bolivia,0.6109481915933529,86.0,86.0,0.611,0.6109481915933529
BIH,Bosnia-Herzegovina,0.598193057536852,91.0,91.0,0.598,0.598193057536852
BWA,Botswana,0.7775871926815323,19.0,19.0,0.778,0.7775871926815323
BRA,Brazil,0.6173959445037354,81.0,81.0,0.618,0.6173959445037354
BRN,Brunei,0.6869212962962962,48.0,48.0,0.687,0.6869212962962962
BGR,Bulgaria,0.7356616469080423,30.0,30.0,0.736,0.7356616469080423
BFA,Burkina Faso,0.44481605351170567,125.0,125.0,0.446,0.44481605351170567
BDI,Burundi,0.8441558441558442,7.0,6.0,0.843,0.8441558441558442
KHM,Cambodia,0.7461538461538461,23.0,23.0,0.746,0.7461538461538461
CMR,Cameroon,0.49498997995991983,118.0,118.0,0.495,0.49498997995991983
CAN,Canada,0.6947115384615384,44.0,44.0,0.695,0.6947115384615384
CPV,Cape Verde,0.7417452830188679,26.0,27.0,0.742,0.7417452830188679
TCD,Chad,0.5494505494505494,105.0,105.0,0.551,0.5494505494505494
CHL,Chile,0.6150731859233883,82.0,82.0,0.615,0.6150731859233883
CHN,China,0.6418857660924752,71.0,71.0,0.642,0.6418857660924752
COL,Colombia,0.6704,54.0,54.0,0.67,0.6704
COM,Comoros,0.4496644295302013,123.0,123.0,0.45,0.4496644295302013
COD,D.R. Congo,0.6940298507462687,46.0,45.0,0.693,0.6940298507462687
CRI,Costa Rica,0.6688090737240077,55.0,56.0,0.669,0.6688090737240077
CIV,Côte D'Ivoire,0.5899280575539567,94.0,94.0,0.59,0.5899280575539567
HRV,Croatia,0.6611271676300577,60.0,60.0,0.661,0.6611271676300577
CYP,Cyprus,0.6127644316959483,84.0,84.0,0.613,0.6127644316959483
CZE,Czechia,0.5870234886407393,95.0,95.0,0.587,0.5870234886407393
DNK,Denmark,0.7676097848511643,20.0,20.0,0.768,0.7676097848511643
DOM,Dominican Republic,0.6126878130217028,85.0,85.0,0.613,0.6126878130217028
ECU,Ecuador,0.7287191726332538,32.0,32.0,0.729,0.7287191726332538
EGY,Egypt,0.20914721295855168,140.0,140.0,0.209,0.20914721295855168
SLV,El Salvador,0.6023588879528223,90.0,90.0,0.602,0.6023588879528223
EST,Estonia,0.7077441077441078,38.0,38.0,0.708,0.7077441077441078
SWZ,Eswatini,0.805776892430279,13.0,14.0,0.806,0.805776892430279
ETH,Ethiopia,0.6643356643356644,59.0,59.0,0.663,0.6643356643356644
FJI,Fiji,0.49426674713337354,119.0,119.0,0.494,0.49426674713337354
FIN,Finland,0.743861508567391,25.0,25.0,0.744,0.743861508567391
FRA,France,0.6688335139039364,56.0,55.0,0.669,0.6688335139039364
GMB,Gambia,0.8076923076923077,15.0,13.0,0.804,0.8076923076923077
GEO,Georgia,0.6043498380379454,89.0,88.0,0.604,0.6043498380379454
DEU,Germany,0.585016095990635,96.0,96.0,0.585,0.585016095990635
GHA,Ghana,0.5784172661870502,100.0,100.0,0.578,0.5784172661870502
GRC,Greece,0.6590257879656161,62.0,62.0,0.659,0.6590257879656161
GTM,Guatemala,0.44575471698113206,124.0,124.0,0.446,0.44575471698113206
GIN,Guinea,0.5013850415512465,115.0,116.0,0.502,0.5013850415512465
GUY,Guyana,0.5608534726758111,103.0,102.0,0.561,0.5608534726758111
HND,Honduras,0.7168674698795181,35.0,35.0,0.718,0.7168674698795181
