code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
ALB,16,0.783,0.7999284227353783,0.7708533962559555,7.0,10.0,-0.02907502647942284,3.0,Albania
DZA,139,0.47,0.5318476670602421,0.5360207738837359,134.0,133.0,0.004173106823493811,-1.0,Algeria
AGO,114,0.599,0.5935938700189183,0.5853122172720837,120.0,122.0,-0.008281652746834567,2.0,Angola
ARG,97,0.651,0.656003033566812,0.6425811748231431,95.0,99.0,-0.013421858743668857,4.0,Argentina
ARM,65,0.707,0.7149222301079053,0.6739178595612636,54.0,74.0,-0.041004370546641744,20.0,Armenia
AUS,42,0.736,0.7333101290933064,0.6969116910125484,43.0,49.0,-0.036398438080758044,6.0,Australia
AUT,67,0.706,0.7087371561468361,0.7135183217062784,60.0,40.0,0.004781165559442302,-20.0,Austria
AZE,31,0.75,0.7549823323725259,0.7190880844933701,25.0,37.0,-0.03589424787915574,12.0,Azerbaijan
BHR,119,0.573,0.5954707788853479,0.5894514706780306,118.0,117.0,-0.006019308207317331,-1.0,Bahrain
BGD,146,0.312,0.3519290300950766,0.34649439376258057,146.0,146.0,-0.005434636332496023,0.0,Bangladesh
BRB,3,0.848,0.8294705996292738,0.7957169614529778,3.0,3.0,-0.033753638176296064,0.0,Barbados
BLR,6,0.818,0.770973273514603,0.6900507769672329,16.0,58.0,-0.08092249654737005,42.0,Belarus
BEL,57,0.718,0.7119031730705304,0.7051404926526587,57.0,42.0,-0.006762680417871758,-15.0,Belgium
BLZ,46,0.729,0.671118215867689,0.6739179272630166,88.0,73.0,0.002799711395327531,-15.0,Belize
BEN,128,0.538,0.5496965128078231,0.5381895658945448,132.0,132.0,-0.011506946913278249,0.0,Benin
BTN,103,0.634,0.6264485474097153,0.6508244989428079,107.0,92.0,0.024375951533092577,-15.0,Bhutan
BOL,95,0.653,0.6443805832176462,0.6482235065186939,100.0,94.0,0.0038429233010476294,-6.0,Bolivia
BIH,107,0.62,0.6251625815148241,0.6253759073221875,108.0,104.0,0.0002133258073634403,-4.0,Bosnia-Herzegovina
BWA,2,0.854,0.847423358874689,0.8195551473142705,2.0,2.0,-0.02786821156041852,0.0,Botswana
BRA,88,0.667,0.6584774673283217,0.6488862079754079,93.0,93.0,-0.009591259352913828,0.0,Brazil
BRN,60,0.715,0.7247812324605863,0.7198426585172787,47.0,36.0,-0.004938573943307656,-11.0,Brunei
BGR,32,0.748,0.7418135292967324,0.7047545118823586,35.0,43.0,-0.037059017414373785,8.0,Bulgaria
BFA,84,0.674,0.6820056844645669,0.6180378458979464,79.0,109.0,-0.06396783856662047,30.0,Burkina Faso
BDI,15,0.784,0.7373776017122522,0.7521716307331481,40.0,13.0,0.014794029020895882,-27.0,Burundi
KHM,59,0.717,0.7204474795361391,0.7189239867953197,50.0,38.0,-0.001523492740819421,-12.0,Cambodia
CMR,68,0.705,0.7003497547131039,0.6697374210200402,63.0,78.0,-0.03061233369306371,15.0,Cameroon
CAN,33,0.746,0.745469843724224,0.7105706670922882,32.0,41.0,-0.03489917663193576,9.0,Canada
CPV,34,0.746,0.7301829797972126,0.7362789315469671,45.0,24.0,0.006095951749754525,-21.0,Cape Verde
TCD,134,0.506,0.477396982803447,0.47004181516307253,139.0,140.0,-0.0073551676403744715,1.0,Chad
CHL,92,0.662,0.666435424373958,0.6567153809497497,89.0,86.0,-0.009720043424208291,-3.0,Chile
CHN,39,0.738,0.7664264933240216,0.738257360858365,18.0,22.0,-0.028169132465656554,4.0,China
COL,71,0.701,0.6930314017147732,0.7005977232140679,72.0,46.0,0.007566321499294704,-26.0,Colombia
COM,93,0.655,0.679660925780566,0.668093451438533,81.0,81.0,-0.01156747434203298,0.0,Comoros
COD,85,0.669,0.6488758696594537,0.6447424386432176,98.0,97.0,-0.004133431016236089,-1.0,D.R. Congo
CRI,81,0.679,0.6724823594008408,0.6772413469625145,87.0,70.0,0.0047589875616737,-17.0,Costa Rica
CIV,110,0.611,0.6197800359591195,0.6105967312087288,109.0,112.0,-0.009183304750390642,3.0,Côte D'Ivoire
HRV,106,0.623,0.6160348787131368,0.5868864144523431,112.0,118.0,-0.02914846426079365,6.0,Croatia
CYP,90,0.666,0.6726374578509936,0.6697507081635379,86.0,77.0,-0.0028867496874557252,-9.0,Cyprus
CZE,104,0.632,0.6350091094067359,0.6394254538284977,105.0,100.0,0.004416344421761753,-5.0,Czechia
DNK,37,0.741,0.7411078612387311,0.7396509845682373,38.0,20.0,-0.0014568766704937675,-18.0,Denmark
DOM,70,0.702,0.6988097553473589,0.6745342063802727,66.0,72.0,-0.02427554896708617,6.0,Dominican Republic
ECU,66,0.707,0.6969799943863404,0.6881579864702376,70.0,61.0,-0.00882200791610277,-9.0,Ecuador
EGY,140,0.406,0.4572516019877513,0.45556828126848736,141.0,141.0,-0.0016833207192639144,0.0,Egypt
SLV,116,0.592,0.5849949570666835,0.5861922607565715,121.0,119.0,0.0011973036898880185,-2.0,El Salvador
EST,19,0.777,0.7789592025475767,0.7343038024170083,13.0,27.0,-0.044655400130568346,14.0,Estonia
SWZ,4,0.84,0.791437580090134,0.7886471771951143,8.0,5.0,-0.002790402895019639,-3.0,Eswatini
ETH,118,0.587,0.6352021642577287,0.6106218350311731,104.0,111.0,-0.02458032922655562,7.0,Ethiopia
FJI,117,0.589,0.6321924837861452,0.6372602903770711,106.0,101.0,0.005067806590925872,-5.0,Fiji
FIN,10,0.797,0.8022100057254345,0.7929012129115534,6.0,4.0,-0.009308792813881195,-2.0,Finland
FRA,48,0.726,0.7165799729748189,0.7042724492513508,53.0,44.0,-0.012307523723468106,-9.0,France
GMB,56,0.718,0.7076966669249676,0.6938766918035923,61.0,52.0,-0.013819975121375228,-9.0,Gambia
GEO,54,0.72,0.7314445118431224,0.6800506959308305,44.0,66.0,-0.051393815912291974,22.0,Georgia
DEU,82,0.676,0.6807139648806279,0.6766181589058617,80.0,71.0,-0.004095805974766109,-9.0,Germany
GHA,30,0.75,0.7490065287578946,0.7487581171190897,28.0,15.0,-0.0002484116388049573,-13.0,Ghana
