country,page_number,score,rank,diff,left,right
Albania,83,0.783,16,,,
Algeria,85,0.47,139,,,
Angola,87,0.599,114,,,
Argentina,89,0.651,97,,,
Armenia,91,0.707,65,,,
Australia,93,0.736,42,,,
Austria,95,0.706,67,,,
Azerbaijan,97,0.75,31,,,
Bahrain,99,0.573,119,,,
Bangladesh,101,0.312,146,,,
Barbados,103,0.848,3,,,
Belarus,105,0.818,6,,,
Belgium,107,0.718,57,,,
Belize,109,0.729,46,,,
Benin,111,0.538,128,,,
Bhutan,113,0.634,103,,,
Bolivia,115,0.653,95,,,
Bosnia and Herzegovina,117,0.62,107,,,
Botswana,119,0.854,2,,,
Brazil,121,0.667,88,,,
Brunei Darussalam,123,0.715,60,,,
Bulgaria,125,0.748,32,,,
Burkina Faso,127,0.674,84,,,
Burundi,129,0.784,15,,,
Cambodia,131,0.717,59,,,
Cameroon,133,0.705,68,,,
Canada,135,0.746,33,,,
Cape Verde,137,0.746,34,,,
Chad,139,0.506,134,,,
Chile,141,0.662,92,,,
China,143,0.738,39,,,
Colombia,145,0.701,71,,,
Comoros,147,0.655,93,,,
"Congo, Democratic Republic of t",149,0.669,85,,,
Costa Rica,151,0.679,81,,,
Côte D'Ivoire,153,0.611,110,,,
Croatia,155,0.623,106,,,
Cyprus,157,0.666,90,,,
Czechia,159,0.632,104,,,
Denmark,161,0.741,37,,,
Dominican Republic,163,0.702,70,,,
Ecuador,165,0.707,66,,,
Egypt,167,0.406,140,,,
El Salvador,169,0.592,116,,,
Estonia,171,0.777,19,,,
Eswatini,173,0.84,4,,,
Ethiopia,175,0.587,118,,,
Fiji,177,0.589,117,,,
Finland,179,0.797,10,,,
France,181,0.726,48,,,
Gambia,183,0.718,56,,,
Georgia,185,0.72,54,,,
Germany,187,0.676,82,,,
Ghana,189,0.75,30,,,
Greece,191,0.68,80,,,
Guatemala,193,0.562,121,,,
Guinea,195,0.489,136,,,
Guyana,197,0.728,47,,,
Honduras,199,0.654,94,,,
Hungary,201,0.697,72,,,
Iceland,203,0.815,7,,,
India,205,0.398,142,,,
Indonesia,207,0.667,89,,,
Iran,209,0.343,144,,,
Ireland,211,0.737,41,,,
Israel,213,0.69,75,,,
Italy,215,0.608,111,,,
Jamaica,217,0.81,8,,,
Japan,219,0.568,120,,,
Jordan,221,0.536,129,,,
Kazakhstan,223,0.751,28,,,
Kenya,225,0.789,13,,,
Kuwait,227,0.55,126,,,
Kyrgyzstan,229,0.695,73,,,
Lao PDR,231,0.714,61,,,
Latvia,233,0.755,26,,,
Lebanon,235,0.558,122,,,
Lesotho,237,0.648,98,,,
Liberia,239,0.874,1,,,
Lithuania,241,0.76,24,,,
Luxembourg,243,0.735,44,,,
Madagascar,245,0.759,25,,,
Malaysia,247,0.634,102,,,
Maldives,249,0.514,132,,,
Mali,251,0.495,135,,,
Malta,253,0.68,78,,,
Mauritius,255,0.603,113,,,
Mexico,257,0.612,109,,,
"Moldova, Republic of",259,0.837,5,,,
Mongolia,261,0.736,43,,,
Montenegro,263,0.724,50,,,
Morocco,265,0.406,141,,,
Mozambique,267,0.69,76,,,
Namibia,269,0.783,17,,,
Nepal,271,0.475,137,,,
Netherlands,273,0.694,74,,,
New Zealand,275,0.741,36,,,
Nicaragua,277,0.642,100,,,
Niger,279,0.664,91,,,
Nigeria,281,0.726,49,,,
North Macedonia,283,0.635,101,,,
Norway,285,0.799,9,,,
Oman,287,0.52,130,,,
Pakistan,289,0.36,143,,,
Panama,291,0.723,51,,,
Paraguay,293,0.68,79,,,
Peru,295,0.686,77,,,
Philippines,297,0.775,20,,,
Poland,299,0.712,62,,,
Portugal,301,0.754,27,,,
Qatar,303,0.557,123,,,
Romania,305,0.676,83,,,
Rwanda,307,0.668,86,,,
Saudi Arabia,309,0.551,125,,,
Senegal,311,0.473,138,,,
Serbia,313,0.71,63,,,
Sierra Leone,315,0.668,87,,,
Singapore,317,0.779,18,,,
Slovakia,319,0.72,52,,,
Slovenia,321,0.762,23,,,
South Africa,323,0.653,96,,,
South Korea,325,0.605,112,,,
Spain,327,0.732,45,,,
Sri Lanka,329,0.544,127,,,
Sudan,331,0.337,145,,,
Suriname,333,0.742,35,,,
Sweden,335,0.794,12,,,
Switzerland,337,0.72,53,,,
Tajikistan,339,0.619,108,,,
Thailand,341,0.772,21,,,
Timor-Leste,343,0.631,105,,,
Togo,345,0.796,11,,,
Tunisia,347,0.517,131,,,
Türkiye,349,0.507,133,,,
Uganda,351,0.645,99,,,
Ukraine,353,0.737,40,,,
United Arab Emirates,355,0.553,124,,,
United Kingdom,357,0.717,58,,,
United Republic of Tanzania,359,0.705,69,,,
United States of America,361,0.765,22,,,
Uruguay,363,0.709,64,,,
Uzbekistan,365,0.598,115,,,
Vanuatu,367,0.719,55,,,
Viet Nam,369,0.751,29,,,
Zambia,371,0.74,38,,,
Zimbabwe,373,0.786,14,,,
