code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
ALB,116,0.958,0.9550908423600837,0.9170831571145923,125.0,115.0,-0.03800768524549136,-10.0,Albania
DZA,119,0.951,0.9748526232678297,0.9220419055548519,109.0,109.0,-0.05281071771297785,0.0,Algeria
AGO,143,0.743,0.8551404449296013,0.8199147392825732,139.0,141.0,-0.035225705647028094,2.0,Angola
ARG,1,1.0,0.9998912544465187,0.9311217376176484,26.0,102.0,-0.06876951682887034,76.0,Argentina
ARM,83,0.991,0.9900858336070544,0.9623467976325535,87.0,38.0,-0.027739035974500892,-49.0,Armenia
AUS,84,0.991,0.9916026308123552,0.9521615183934906,82.0,58.0,-0.03944111241886461,-24.0,Australia
AUT,61,0.995,0.9948215184506931,0.9695805945272861,68.0,24.0,-0.025240923923407044,-44.0,Austria
AZE,94,0.985,0.9851770179240322,0.9682019130826378,98.0,26.0,-0.016975104841394417,-72.0,Azerbaijan
BHR,92,0.986,0.9883871503210933,0.9474540718405549,92.0,74.0,-0.0409330784805384,-18.0,Bahrain
BGD,125,0.94,0.9729970688309744,0.9071434436476618,113.0,120.0,-0.06585362518331261,7.0,Bangladesh
BRB,59,0.995,0.9944003414286235,0.947572487867204,69.0,73.0,-0.0468278535614195,4.0,Barbados
BLR,109,0.967,0.9628981525898965,0.9510734558112358,120.0,61.0,-0.011824696778660715,-59.0,Belarus
BEL,30,1.0,1.0,0.9479513603807385,1.0,70.0,-0.05204863961926154,69.0,Belgium
BLZ,1,1.0,0.9985514409922562,0.9332014191836419,39.0,98.0,-0.06535002180861438,59.0,Belize
BEN,140,0.817,0.839992548080196,0.81479833345773,141.0,142.0,-0.02519421462246596,1.0,Benin
BTN,113,0.963,0.9754761501320566,0.8897054593955062,107.0,128.0,-0.08577069073655041,21.0,Bhutan
BOL,96,0.985,0.9831655221368979,0.957274117230497,99.0,47.0,-0.02589140490640085,-52.0,Bolivia
BIH,78,0.992,0.9927276465293342,0.9492675924282159,77.0,63.0,-0.043460054101118306,-14.0,Bosnia-Herzegovina
BWA,1,1.0,0.9985514409922562,0.9230637891989231,39.0,107.0,-0.07548765179333317,68.0,Botswana
BRA,54,0.996,0.9951064500933405,0.9434755860824589,67.0,85.0,-0.05163086401088168,18.0,Brazil
BRN,47,0.997,0.9982210678852269,0.947599397291734,44.0,72.0,-0.05062167059349287,28.0,Brunei
BGR,75,0.993,0.9933357866594551,0.9674737012153927,73.0,29.0,-0.025862085444062433,-44.0,Bulgaria
BFA,131,0.903,0.9224887499016716,0.8823622711931398,133.0,131.0,-0.04012647870853181,-2.0,Burkina Faso
