country,page_number,score,rank,diff,left,right
Albania,83,0.958,116,,,
Algeria,85,0.951,119,,,
Angola,87,0.743,143,,,
Argentina,89,1.0,1,,,
Armenia,91,0.991,83,,,
Australia,93,0.991,84,,,
Austria,95,0.995,61,,,
Azerbaijan,97,0.985,94,,,
Bahrain,99,0.986,92,,,
Bangladesh,101,0.94,125,,,
Barbados,103,0.995,59,,,
Belarus,105,0.967,109,,,
Belgium,107,1.0,30,,,
Belize,109,1.0,1,,,
Benin,111,0.817,140,,,
Bhutan,113,0.963,113,,,
Bolivia,115,0.985,96,,,
Bosnia and Herzegovina,117,0.992,78,,,
Botswana,119,1.0,1,,,
Brazil,121,0.996,54,,,
Brunei Darussalam,123,0.997,47,,,
Bulgaria,125,0.993,75,,,
Burkina Faso,127,0.903,131,,,
Burundi,129,0.943,123,,,
Cambodia,131,0.968,108,,,
Cameroon,133,0.894,132,,,
Canada,135,0.996,55,,,
Cape Verde,137,0.985,93,,,
Chad,139,0.667,146,,,
Chile,141,0.99,88,,,
China,143,0.934,127,,,
Colombia,145,1.0,1,,,
Comoros,147,0.945,121,,,
"Congo, Democratic Republic of t",149,0.683,145,,,
Costa Rica,151,1.0,1,,,
Côte D'Ivoire,153,0.924,129,,,
Croatia,155,0.998,40,,,
Cyprus,157,0.993,73,,,
Czechia,159,1.0,1,,,
Denmark,161,0.998,46,,,
Dominican Republic,163,1.0,1,,,
Ecuador,165,0.996,52,,,
Egypt,167,0.966,110,,,
El Salvador,169,0.993,69,,,
Estonia,171,1.0,1,,,
Eswatini,173,0.982,97,,,
Ethiopia,175,0.865,136,,,
Fiji,177,0.969,107,,,
Finland,179,1.0,33,,,
France,181,1.0,1,,,
Gambia,183,0.957,117,,,
Georgia,185,0.991,85,,,
Germany,187,0.987,91,,,
Ghana,189,0.972,103,,,
Greece,191,0.994,66,,,
Guatemala,193,0.982,98,,,
Guinea,195,0.732,144,,,
Guyana,197,0.994,63,,,
Honduras,199,1.0,1,,,
Hungary,201,0.999,34,,,
Iceland,203,0.992,79,,,
India,205,0.964,112,,,
Indonesia,207,0.971,105,,,
Iran,209,0.977,102,,,
Ireland,211,1.0,1,,,
Israel,213,1.0,1,,,
Italy,215,0.996,56,,,
Jamaica,217,0.991,81,,,
Japan,219,0.993,72,,,
Jordan,221,0.998,45,,,
Kazakhstan,223,0.999,36,,,
Kenya,225,0.877,135,,,
Kuwait,227,0.997,50,,,
Kyrgyzstan,229,0.991,82,,,
Lao PDR,231,0.972,104,,,
Latvia,233,1.0,1,,,
Lebanon,235,0.966,111,,,
Lesotho,237,1.0,1,,,
Liberia,239,0.892,134,,,
Lithuania,241,0.995,60,,,
Luxembourg,243,0.999,38,,,
Madagascar,245,0.993,71,,,
Malaysia,247,1.0,1,,,
Maldives,249,1.0,1,,,
Mali,251,0.776,142,,,
Malta,253,1.0,1,,,
Mauritius,255,0.993,70,,,
Mexico,257,0.994,62,,,
"Moldova, Republic of",259,0.999,37,,,
Mongolia,261,1.0,1,,,
Montenegro,263,0.998,44,,,
Morocco,265,0.956,118,,,
Mozambique,267,0.894,133,,,
Namibia,269,1.0,1,,,
Nepal,271,0.923,130,,,
Netherlands,273,1.0,1,,,
New Zealand,275,1.0,1,,,
Nicaragua,277,1.0,32,,,
Niger,279,0.786,141,,,
Nigeria,281,0.842,138,,,
North Macedonia,283,1.0,1,,,
Norway,285,0.993,74,,,
Oman,287,0.989,89,,,
Pakistan,289,0.836,139,,,
Panama,291,0.998,42,,,
Paraguay,293,0.998,43,,,
Peru,295,0.99,86,,,
Philippines,297,1.0,1,,,
Poland,299,0.996,53,,,
Portugal,301,0.994,68,,,
Qatar,303,0.996,58,,,
Romania,305,0.999,35,,,
Rwanda,307,0.962,115,,,
Saudi Arabia,309,0.994,67,,,
Senegal,311,0.936,126,,,
Serbia,313,0.999,39,,,
Sierra Leone,315,0.943,122,,,
Singapore,317,0.994,65,,,
Slovakia,319,1.0,1,,,
Slovenia,321,1.0,1,,,
South Africa,323,0.997,48,,,
South Korea,325,0.98,100,,,
Spain,327,0.998,41,,,
Sri Lanka,329,0.997,49,,,
Sudan,331,0.94,124,,,
Suriname,333,0.992,80,,,
Sweden,335,1.0,29,,,
Switzerland,337,0.992,77,,,
Tajikistan,339,0.947,120,,,
Thailand,341,0.985,95,,,
Timor-Leste,343,0.98,99,,,
Togo,345,0.843,137,,,
Tunisia,347,0.97,106,,,
Türkiye,349,0.987,90,,,
Uganda,351,0.931,128,,,
Ukraine,353,1.0,1,,,
United Arab Emirates,355,0.996,57,,,
United Kingdom,357,1.0,1,,,
United Republic of Tanzania,359,0.963,114,,,
United States of America,361,1.0,1,,,
Uruguay,363,1.0,31,,,
Uzbekistan,365,0.99,87,,,
Vanuatu,367,0.997,51,,,
Viet Nam,369,0.992,76,,,
Zambia,371,0.979,101,,,
Zimbabwe,373,0.994,64,,,
