country,page_number,score,rank,diff,left,right
Albania,83,0.78,23,,,
Algeria,85,0.612,139,,,
Angola,87,0.668,113,,,
Argentina,89,0.772,32,,,
Armenia,91,0.721,64,,,
Australia,93,0.78,24,,,
Austria,95,0.743,49,,,
Azerbaijan,97,0.685,103,,,
Bahrain,99,0.666,116,,,
Bangladesh,101,0.689,99,,,
Barbados,103,0.773,31,,,
Belarus,105,0.733,55,,,
Belgium,107,0.793,12,,,
Belize,109,0.696,95,,,
Benin,111,0.629,134,,,
Bhutan,113,0.651,124,,,
Bolivia,115,0.746,44,,,
Bosnia and Herzegovina,117,0.71,78,,,
Botswana,119,0.73,57,,,
Brazil,121,0.716,70,,,
Brunei Darussalam,123,0.684,105,,,
Bulgaria,125,0.723,60,,,
Burkina Faso,127,0.661,120,,,
Burundi,129,0.757,38,,,
Cambodia,131,0.685,102,,,
Cameroon,133,0.693,97,,,
Canada,135,0.761,36,,,
Cape Verde,137,0.755,41,,,
Chad,139,0.576,144,,,
Chile,141,0.781,21,,,
China,143,0.684,106,,,
Colombia,145,0.746,45,,,
Comoros,147,0.663,119,,,
"Congo, Democratic Republic of t",149,0.609,140,,,
Costa Rica,151,0.785,19,,,
Côte D'Ivoire,153,0.655,121,,,
Croatia,155,0.723,61,,,
Cyprus,157,0.705,84,,,
Czechia,159,0.684,104,,,
Denmark,161,0.789,15,,,
Dominican Republic,163,0.707,82,,,
Ecuador,165,0.788,16,,,
Egypt,167,0.629,135,,,
El Salvador,169,0.695,96,,,
Estonia,171,0.774,29,,,
Eswatini,173,0.744,47,,,
Ethiopia,175,0.709,79,,,
Fiji,177,0.642,128,,,
Finland,179,0.875,2,,,
France,181,0.781,22,,,
Gambia,183,0.679,110,,,
Georgia,185,0.716,69,,,
Germany,187,0.81,7,,,
Ghana,189,0.701,88,,,
Greece,191,0.714,73,,,
Guatemala,193,0.697,93,,,
Guinea,195,0.601,142,,,
Guyana,197,0.765,35,,,
Honduras,199,0.726,59,,,
Hungary,201,0.686,101,,,
Iceland,203,0.935,1,,,
India,205,0.641,129,,,
Indonesia,207,0.686,100,,,
Iran,209,0.579,143,,,
Ireland,211,0.802,9,,,
Israel,213,0.699,91,,,
Italy,215,0.703,87,,,
Jamaica,217,0.758,37,,,
Japan,219,0.663,118,,,
Jordan,221,0.652,123,,,
Kazakhstan,223,0.71,76,,,
Kenya,225,0.712,75,,,
Kuwait,227,0.636,131,,,
Kyrgyzstan,229,0.7,90,,,
Lao PDR,231,0.7,89,,,
Latvia,233,0.773,30,,,
Lebanon,235,0.632,133,,,
Lesotho,237,0.691,98,,,
Liberia,239,0.754,42,,,
Lithuania,241,0.794,11,,,
Luxembourg,243,0.744,46,,,
Madagascar,245,0.72,66,,,
Malaysia,247,0.668,114,,,
Maldives,249,0.633,132,,,
Mali,251,0.604,141,,,
Malta,253,0.723,62,,,
Mauritius,255,0.684,107,,,
Mexico,257,0.768,33,,,
"Moldova, Republic of",259,0.791,13,,,
Mongolia,261,0.705,85,,,
Montenegro,263,0.718,67,,,
Morocco,265,0.628,137,,,
Mozambique,267,0.776,27,,,
Namibia,269,0.805,8,,,
Nepal,271,0.664,117,,,
Netherlands,273,0.775,28,,,
New Zealand,275,0.835,4,,,
Nicaragua,277,0.811,6,,,
Niger,279,0.628,138,,,
Nigeria,281,0.65,125,,,
North Macedonia,283,0.727,58,,,
Norway,285,0.875,3,,,
Oman,287,0.628,136,,,
Pakistan,289,0.57,145,,,
Panama,291,0.742,50,,,
Paraguay,293,0.707,81,,,
Peru,295,0.755,40,,,
Philippines,297,0.779,25,,,
Poland,299,0.74,51,,,
Portugal,301,0.787,17,,,
Qatar,303,0.64,130,,,
Romania,305,0.717,68,,,
Rwanda,307,0.757,39,,,
Saudi Arabia,309,0.647,126,,,
Senegal,311,0.679,109,,,
Serbia,313,0.779,26,,,
Sierra Leone,315,0.708,80,,,
Singapore,317,0.744,48,,,
Slovakia,319,0.731,56,,,
Slovenia,321,0.766,34,,,
South Africa,323,0.785,18,,,
South Korea,325,0.696,94,,,
Spain,327,0.798,10,,,
Sri Lanka,329,0.653,122,,,
Sudan,331,0.568,146,,,
Suriname,333,0.739,53,,,
Sweden,335,0.816,5,,,
Switzerland,337,0.785,20,,,
Tajikistan,339,0.673,112,,,
Thailand,341,0.72,65,,,
Timor-Leste,343,0.704,86,,,
Togo,345,0.71,77,,,
Tunisia,347,0.668,115,,,
Türkiye,349,0.645,127,,,
Uganda,351,0.706,83,,,
Ukraine,353,0.722,63,,,
United Arab Emirates,355,0.713,74,,,
United Kingdom,357,0.789,14,,,
United Republic of Tanzania,359,0.734,54,,,
United States of America,361,0.747,43,,,
Uruguay,363,0.715,71,,,
Uzbekistan,365,0.681,108,,,
Vanuatu,367,0.673,111,,,
Viet Nam,369,0.715,72,,,
Zambia,371,0.697,92,,,
Zimbabwe,373,0.74,52,,,
