country,page_number,score,rank,diff,left,right
Albania,83,0.0,80,-50.0,0.0,50.0
Algeria,85,0.0,80,-50.0,0.0,50.0
Angola,87,0.0,80,-50.0,0.0,50.0
Argentina,89,0.242,15,-30.53,9.74,40.26
Armenia,91,0.0,80,-50.0,0.0,50.0
Australia,93,0.064,46,-43.98,3.01,46.99
Austria,95,0.024,63,-47.69,1.16,48.84
Azerbaijan,97,0.0,80,-50.0,0.0,50.0
Bahrain,99,0.0,80,-50.0,0.0,50.0
Bangladesh,101,1.0,1,10.62,19.69,30.31
Barbados,103,0.191,20,-33.95,8.02,41.98
Belarus,105,0.0,80,-50.0,0.0,50.0
Belgium,107,0.019,65,-48.14,0.93,49.07
Belize,109,0.0,80,-50.0,0.0,50.0
Benin,111,0.0,80,-50.0,0.0,50.0
Bhutan,113,0.0,80,-50.0,0.0,50.0
Bolivia,115,0.034,60,-46.68,1.66,48.34
Bosnia and Herzegovina,117,0.346,12,-24.29,12.85,37.15
Botswana,119,0.0,80,-50.0,0.0,50.0
Brazil,121,0.12,34,-39.28,5.36,44.64
Brunei Darussalam,123,0.0,80,-50.0,0.0,50.0
Bulgaria,125,0.006,72,-49.45,0.27,49.73
Burkina Faso,127,0.0,80,-50.0,0.0,50.0
Burundi,129,0.012,69,-48.84,0.58,49.42
Cambodia,131,0.0,80,-50.0,0.0,50.0
Cameroon,133,0.0,80,-50.0,0.0,50.0
Canada,135,0.007,71,-49.28,0.36,49.64
Cape Verde,137,0.0,80,-50.0,0.0,50.0
Chad,139,0.0,80,-50.0,0.0,50.0
Chile,141,0.191,21,-33.99,8.01,41.99
China,143,0.001,75,-49.93,0.03,49.97
Colombia,145,0.0,80,-50.0,0.0,50.0
Comoros,147,0.0,80,-50.0,0.0,50.0
"Congo, Democratic Republic of t",149,0.0,80,-50.0,0.0,50.0
Costa Rica,151,0.087,41,-41.99,4.0,46.0
Côte D'Ivoire,153,0.0,80,-50.0,0.0,50.0
Croatia,155,0.176,24,-35.07,7.47,42.53
Cyprus,157,0.0,80,-50.0,0.0,50.0
Czechia,159,0.0,80,-50.0,0.0,50.0
Denmark,161,0.203,18,-33.16,8.42,41.58
Dominican Republic,163,0.0,80,-50.0,0.0,50.0
Ecuador,165,0.0,77,-49.99,0.01,49.99
Egypt,167,0.0,80,-50.0,0.0,50.0
El Salvador,169,0.0,80,-50.0,0.0,50.0
Estonia,171,0.193,19,-33.8,8.1,41.9
Eswatini,173,0.0,80,-50.0,0.0,50.0
Ethiopia,175,0.12,35,-39.29,5.35,44.65
Fiji,177,0.0,80,-50.0,0.0,50.0
Finland,179,0.503,5,-16.55,16.72,33.28
France,181,0.054,53,-44.93,2.54,47.46
Gambia,183,0.0,80,-50.0,0.0,50.0
Georgia,185,0.125,33,-38.93,5.54,44.46
Germany,187,0.495,6,-16.9,16.55,33.45
Ghana,189,0.0,80,-50.0,0.0,50.0
Greece,191,0.088,40,-41.92,4.04,45.96
Guatemala,193,0.0,80,-50.0,0.0,50.0
Guinea,195,0.0,80,-50.0,0.0,50.0
Guyana,197,0.051,55,-45.13,2.43,47.57
Honduras,199,0.044,56,-45.81,2.09,47.91
Hungary,201,0.036,59,-46.49,1.76,48.24
Iceland,203,1.0,1,3.15,23.43,26.57
India,205,0.407,10,-21.05,14.47,35.53
Indonesia,207,0.069,44,-43.51,3.25,46.75
Iran,209,0.0,80,-50.0,0.0,50.0
Ireland,211,0.712,3,-8.43,20.79,29.21
Israel,213,0.015,67,-48.55,0.73,49.27
Italy,215,0.028,62,-47.28,1.36,48.64
Jamaica,217,0.127,32,-38.77,5.61,44.39
Japan,219,0.0,80,-50.0,0.0,50.0
Jordan,221,0.0,80,-50.0,0.0,50.0
Kazakhstan,223,0.0,80,-50.0,0.0,50.0
Kenya,225,0.0,80,-50.0,0.0,50.0
Kuwait,227,0.0,80,-50.0,0.0,50.0
Kyrgyzstan,229,0.034,61,-46.7,1.65,48.35
Lao PDR,231,0.0,80,-50.0,0.0,50.0
Latvia,233,0.268,14,-28.85,10.58,39.42
Lebanon,235,0.0,80,-50.0,0.0,50.0
Lesotho,237,0.0,80,-50.0,0.0,50.0
Liberia,239,0.329,13,-25.25,12.37,37.63
Lithuania,241,0.393,11,-21.79,14.1,35.9
Luxembourg,243,0.0,80,-50.0,0.0,50.0
Madagascar,245,0.0,77,-49.99,0.01,49.99
Malaysia,247,0.0,80,-50.0,0.0,50.0
Maldives,249,0.0,80,-50.0,0.0,50.0
Mali,251,0.02,64,-48.06,0.97,49.03
Malta,253,0.227,16,-31.51,9.24,40.76
Mauritius,255,0.066,45,-43.79,3.11,46.89
Mexico,257,0.0,80,-50.0,0.0,50.0
"Moldova, Republic of",259,0.155,27,-36.57,6.72,43.28
Mongolia,261,0.0,76,-49.96,0.02,49.98
Montenegro,263,0.0,80,-50.0,0.0,50.0
Morocco,265,0.0,80,-50.0,0.0,50.0
Mozambique,267,0.134,31,-38.16,5.92,44.08
Namibia,269,0.218,17,-32.09,8.95,41.05
Nepal,271,0.173,25,-35.25,7.38,42.62
Netherlands,273,0.0,80,-50.0,0.0,50.0
New Zealand,275,0.48,7,-17.58,16.21,33.79
Nicaragua,277,0.155,26,-36.56,6.72,43.28
Niger,279,0.0,80,-50.0,0.0,50.0
Nigeria,281,0.0,80,-50.0,0.0,50.0
North Macedonia,283,0.003,73,-49.73,0.14,49.86
Norway,285,0.568,4,-13.8,18.1,31.9
Oman,287,0.0,80,-50.0,0.0,50.0
Pakistan,289,0.104,37,-40.55,4.73,45.27
Panama,291,0.111,36,-39.99,5.01,44.99
Paraguay,293,0.0,80,-50.0,0.0,50.0
Peru,295,0.094,39,-41.39,4.3,45.7
Philippines,297,0.462,8,-18.41,15.79,34.21
Poland,299,0.082,42,-42.43,3.78,46.22
Portugal,301,0.009,70,-49.15,0.42,49.58
Qatar,303,0.0,80,-50.0,0.0,50.0
Romania,305,0.037,58,-46.47,1.76,48.24
Rwanda,307,0.015,68,-48.56,0.72,49.28
Saudi Arabia,309,0.0,80,-50.0,0.0,50.0
Senegal,311,0.053,54,-44.95,2.52,47.48
Serbia,313,0.189,23,-34.14,7.93,42.07
Sierra Leone,315,0.0,80,-50.0,0.0,50.0
Singapore,317,0.136,29,-37.99,6.0,44.0
Slovakia,319,0.148,28,-37.08,6.46,43.54
Slovenia,321,0.057,52,-44.62,2.69,47.31
South Africa,323,0.0,79,-49.99,0.0,50.0
South Korea,325,0.104,37,-40.55,4.73,45.27
Spain,327,0.0,80,-50.0,0.0,50.0
Sri Lanka,329,0.136,30,-38.05,5.97,44.03
Sudan,331,0.0,80,-50.0,0.0,50.0
Suriname,333,0.0,80,-50.0,0.0,50.0
Sweden,335,0.018,66,-48.24,0.88,49.12
Switzerland,337,0.19,22,-34.03,7.98,42.02
Tajikistan,339,0.0,80,-50.0,0.0,50.0
Thailand,341,0.058,49,-44.49,2.76,47.24
Timor-Leste,343,0.0,80,-50.0,0.0,50.0
Togo,345,0.074,43,-43.15,3.42,46.58
Tunisia,347,0.038,57,-46.39,1.81,48.19
Türkiye,349,0.057,50,-44.6,2.7,47.3
Uganda,351,0.057,51,-44.61,2.7,47.3
Ukraine,353,0.06,48,-44.33,2.83,47.17
United Arab Emirates,355,0.0,80,-50.0,0.0,50.0
United Kingdom,357,0.418,9,-20.51,14.74,35.26
United Republic of Tanzania,359,0.063,47,-44.1,2.95,47.05
United States of America,361,0.0,80,-50.0,0.0,50.0
Uruguay,363,0.0,80,-50.0,0.0,50.0
Uzbekistan,365,0.0,80,-50.0,0.0,50.0
Vanuatu,367,0.0,80,-50.0,0.0,50.0
Viet Nam,369,0.002,74,-49.82,0.09,49.91
Zambia,371,0.0,80,-50.0,0.0,50.0
Zimbabwe,373,0.0,80,-50.0,0.0,50.0
