code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.0,80,79.0,0.0,0.0
DZA,Algeria,0.0,80,79.0,0.0,0.0
AGO,Angola,0.0,80,79.0,0.0,0.0
ARG,Argentina,0.24192747143566817,15,15.0,0.242,0.24192747143566817
ARM,Armenia,0.0,80,79.0,0.0,0.0
AUS,Australia,0.06405618216641838,46,46.0,0.064,0.06405618216641838
AUT,Austria,0.023751023751023746,63,63.0,0.024,0.023751023751023746
AZE,Azerbaijan,0.0,80,79.0,0.0,0.0
BHR,Bahrain,0.0,80,79.0,0.0,0.0
BGD,Bangladesh,0.6496205872649291,1,3.0,1.0,0.6496205872649291
BRB,Barbados,0.1910433539780848,20,20.0,0.191,0.1910433539780848
BLR,Belarus,0.0,80,79.0,0.0,0.0
BEL,Belgium,0.01895251681271653,65,65.0,0.019,0.01895251681271653
BLZ,Belize,0.0,80,79.0,0.0,0.0
BEN,Benin,0.0,80,79.0,0.0,0.0
BTN,Bhutan,0.0,80,79.0,0.0,0.0
BOL,Bolivia,0.034340091021928004,60,60.0,0.034,0.034340091021928004
BIH,Bosnia-Herzegovina,0.34589502018842533,12,12.0,0.346,0.34589502018842533
BWA,Botswana,0.0,80,79.0,0.0,0.0
BRA,Brazil,0.12007168458781363,34,34.0,0.12,0.12007168458781363
BRN,Brunei,0.0,80,79.0,0.0,0.0
BGR,Bulgaria,0.00542931831892218,72,72.0,0.006,0.00542931831892218
BFA,Burkina Faso,0.0,80,79.0,0.0,0.0
BDI,Burundi,0.011736139214892754,69,69.0,0.012,0.011736139214892754
KHM,Cambodia,0.0,80,79.0,0.0,0.0
CMR,Cameroon,0.0,80,79.0,0.0,0.0
CAN,Canada,0.0072522159548751,71,71.0,0.007,0.0072522159548751
CPV,Cape Verde,0.0,80,79.0,0.0,0.0
TCD,Chad,0.0,80,79.0,0.0,0.0
CHL,Chile,0.19075970469159323,21,21.0,0.191,0.19075970469159323
CHN,China,0.0006003602161296778,75,75.0,0.001,0.0006003602161296778
COL,Colombia,0.0,80,79.0,0.0,0.0
COM,Comoros,0.0,80,79.0,0.0,0.0
COD,D.R. Congo,0.0,80,79.0,0.0,0.0
CRI,Costa Rica,0.08695652173913043,41,41.0,0.087,0.08695652173913043
CIV,Côte D'Ivoire,0.0,80,79.0,0.0,0.0
HRV,Croatia,0.1756407241946861,24,24.0,0.176,0.1756407241946861
CYP,Cyprus,0.0,80,79.0,0.0,0.0
CZE,Czechia,0.0,80,79.0,0.0,0.0
DNK,Denmark,0.20250120250120252,18,18.0,0.203,0.20250120250120252
DOM,Dominican Republic,0.0,80,79.0,0.0,0.0
ECU,Ecuador,0.00020004000800160032,77,77.0,0.0,0.00020004000800160032
EGY,Egypt,0.0,80,79.0,0.0,0.0
SLV,El Salvador,0.0,80,79.0,0.0,0.0
EST,Estonia,0.19331742243436753,19,19.0,0.193,0.19331742243436753
SWZ,Eswatini,0.0,80,79.0,0.0,0.0
ETH,Ethiopia,0.11982082866741321,35,35.0,0.12,0.11982082866741321
FJI,Fiji,0.0,80,79.0,0.0,0.0
FIN,Finland,0.5024038461538461,5,5.0,0.503,0.5024038461538461
FRA,France,0.05351875263379688,53,53.0,0.054,0.05351875263379688
GMB,Gambia,0.0,80,79.0,0.0,0.0
GEO,Georgia,0.1246063877642825,33,33.0,0.125,0.1246063877642825
DEU,Germany,0.4947683109118087,6,6.0,0.495,0.4947683109118087
GHA,Ghana,0.0,80,79.0,0.0,0.0
GRC,Greece,0.08790252393385553,40,40.0,0.088,0.08790252393385553
GTM,Guatemala,0.0,80,79.0,0.0,0.0
GIN,Guinea,0.0,80,79.0,0.0,0.0
GUY,Guyana,0.051082615093546356,55,55.0,0.051,0.051082615093546356
HND,Honduras,0.04362346065539553,56,56.0,0.044,0.04362346065539553
HUN,Hungary,0.03648424543946932,59,58.0,0.036,0.03648424543946932
ISL,Iceland,0.881821603312006,1,1.0,1.0,0.881821603312006
IND,India,0.40726146918097383,10,10.0,0.407,0.40726146918097383
IDN,Indonesia,0.06951871657754011,44,44.0,0.069,0.06951871657754011
IRN,Iran,0.0,80,79.0,0.0,0.0
IRL,Ireland,0.7117425539198904,3,2.0,0.712,0.7117425539198904
ISR,Israel,0.014816318246397401,67,67.0,0.015,0.014816318246397401
ITA,Italy,0.027960526315789474,62,62.0,0.028,0.027960526315789474
JAM,Jamaica,0.1263798152737103,32,32.0,0.127,0.1263798152737103
JPN,Japan,0.0,80,79.0,0.0,0.0
JOR,Jordan,0.0,80,79.0,0.0,0.0
KAZ,Kazakhstan,0.0,80,79.0,0.0,0.0
KEN,Kenya,0.0,80,79.0,0.0,0.0
KWT,Kuwait,0.0,80,79.0,0.0,0.0
KGZ,Kyrgyzstan,0.03412616339193381,61,61.0,0.034,0.03412616339193381
LAO,Laos,0.0,80,79.0,0.0,0.0
LVA,Latvia,0.26839167935058345,14,14.0,0.268,0.26839167935058345
LBN,Lebanon,0.0,80,79.0,0.0,0.0
LSO,Lesotho,0.0,80,79.0,0.0,0.0
LBR,Liberia,0.3287270794578793,13,13.0,0.329,0.3287270794578793
LTU,Lithuania,0.39275766016713093,11,11.0,0.393,0.39275766016713093
LUX,Luxembourg,0.0,80,79.0,0.0,0.0
MDG,Madagascar,0.00020004000800160032,77,77.0,0.0,0.00020004000800160032
MYS,Malaysia,0.0,80,79.0,0.0,0.0
MDV,Maldives,0.0,80,79.0,0.0,0.0
MLI,Mali,0.01978380583316337,64,64.0,0.02,0.01978380583316337
MLT,Malta,0.22669283611383712,16,16.0,0.227,0.22669283611383712
MUS,Mauritius,0.06632544252505865,45,45.0,0.066,0.06632544252505865
MEX,Mexico,0.0,80,79.0,0.0,0.0
MDA,Moldova,0.15526802218114602,27,26.0,0.155,0.15526802218114602
MNG,Mongolia,0.00040016006402561027,76,76.0,0.0,0.00040016006402561027
MNE,Montenegro,0.0,80,79.0,0.0,0.0
MAR,Morocco,0.0,80,79.0,0.0,0.0
MOZ,Mozambique,0.13430127041742287,31,31.0,0.134,0.13430127041742287
NAM,Namibia,0.21802679658952498,17,17.0,0.218,0.21802679658952498
NPL,Nepal,0.17315814171750352,25,25.0,0.173,0.17315814171750352
NLD,Netherlands,0.0,80,79.0,0.0,0.0
NZL,New Zealand,0.47972773009766206,7,7.0,0.48,0.47972773009766206
NIC,Nicaragua,0.15526802218114602,26,26.0,0.155,0.15526802218114602
NER,Niger,0.0,80,79.0,0.0,0.0
NGA,Nigeria,0.0,80,79.0,0.0,0.0
MKD,North Macedonia,0.0028078620136381873,73,73.0,0.003,0.0028078620136381873
NOR,Norway,0.5673981191222571,4,4.0,0.568,0.5673981191222571
OMN,Oman,0.0,80,79.0,0.0,0.0
PAK,Pakistan,0.10448420587585598,37,37.0,0.104,0.10448420587585598
PAN,Panama,0.11135807957323848,36,36.0,0.111,0.11135807957323848
PRY,Paraguay,0.0,80,79.0,0.0,0.0
