country,page_number,score,rank,diff,left,right
Albania,83,0.962,128,,,
Algeria,85,0.958,139,,,
Angola,87,0.976,45,,,
Argentina,89,0.977,41,,,
Armenia,91,0.958,138,,,
Australia,93,0.968,88,,,
Austria,95,0.97,76,,,
Azerbaijan,97,0.938,146,,,
Bahrain,99,0.959,137,,,
Bangladesh,101,0.962,129,,,
Barbados,103,0.968,91,,,
Belarus,105,0.98,1,,,
Belgium,107,0.968,90,,,
Belize,109,0.98,1,,,
Benin,111,0.973,61,,,
Bhutan,113,0.962,122,,,
Bolivia,115,0.962,127,,,
Bosnia and Herzegovina,117,0.97,73,,,
Botswana,119,0.98,1,,,
Brazil,121,0.98,1,,,
Brunei Darussalam,123,0.954,141,,,
Bulgaria,125,0.979,28,,,
Burkina Faso,127,0.978,39,,,
Burundi,129,0.98,27,,,
Cambodia,131,0.978,38,,,
Cameroon,133,0.973,56,,,
Canada,135,0.968,92,,,
Cape Verde,137,0.98,1,,,
Chad,139,0.97,71,,,
Chile,141,0.971,68,,,
China,143,0.94,145,,,
Colombia,145,0.975,51,,,
Comoros,147,0.968,84,,,
"Congo, Democratic Republic of t",149,0.976,44,,,
Costa Rica,151,0.973,59,,,
Côte D'Ivoire,153,0.979,33,,,
Croatia,155,0.978,35,,,
Cyprus,157,0.963,120,,,
Czechia,159,0.978,37,,,
Denmark,161,0.964,112,,,
Dominican Republic,163,0.98,1,,,
Ecuador,165,0.968,85,,,
Egypt,167,0.968,89,,,
El Salvador,169,0.98,1,,,
Estonia,171,0.979,32,,,
Eswatini,173,0.98,1,,,
Ethiopia,175,0.971,66,,,
Fiji,177,0.965,106,,,
Finland,179,0.97,70,,,
France,181,0.97,75,,,
Gambia,183,0.968,83,,,
Georgia,185,0.974,54,,,
Germany,187,0.972,63,,,
Ghana,189,0.978,36,,,
Greece,191,0.967,95,,,
Guatemala,193,0.98,1,,,
Guinea,195,0.966,101,,,
Guyana,197,0.98,1,,,
Honduras,199,0.964,110,,,
Hungary,201,0.98,1,,,
Iceland,203,0.962,124,,,
India,205,0.951,142,,,
Indonesia,207,0.97,72,,,
Iran,209,0.964,116,,,
Ireland,211,0.964,111,,,
Israel,213,0.965,109,,,
Italy,215,0.967,94,,,
Jamaica,217,0.967,93,,,
Japan,219,0.973,58,,,
Jordan,221,0.957,140,,,
Kazakhstan,223,0.976,46,,,
Kenya,225,0.975,52,,,
Kuwait,227,0.968,87,,,
Kyrgyzstan,229,0.98,1,,,
Lao PDR,231,0.975,50,,,
Latvia,233,0.976,48,,,
Lebanon,235,0.971,67,,,
Lesotho,237,0.98,1,,,
Liberia,239,0.962,125,,,
Lithuania,241,0.98,1,,,
Luxembourg,243,0.965,108,,,
Madagascar,245,0.966,102,,,
Malaysia,247,0.969,80,,,
Maldives,249,0.963,121,,,
Mali,251,0.959,135,,,
Malta,253,0.96,133,,,
Mauritius,255,0.98,1,,,
Mexico,257,0.975,49,,,
"Moldova, Republic of",259,0.977,40,,,
Mongolia,261,0.98,1,,,
Montenegro,263,0.969,78,,,
Morocco,265,0.961,131,,,
Mozambique,267,0.98,1,,,
Namibia,269,0.98,1,,,
Nepal,271,0.969,82,,,
Netherlands,273,0.962,126,,,
New Zealand,275,0.966,99,,,
Nicaragua,277,0.978,34,,,
Niger,279,0.964,113,,,
Nigeria,281,0.967,97,,,
North Macedonia,283,0.96,134,,,
Norway,285,0.962,123,,,
Oman,287,0.961,130,,,
Pakistan,289,0.961,132,,,
Panama,291,0.973,57,,,
Paraguay,293,0.975,53,,,
Peru,295,0.964,117,,,
Philippines,297,0.968,86,,,
Poland,299,0.98,1,,,
Portugal,301,0.973,62,,,
Qatar,303,0.947,143,,,
Romania,305,0.98,1,,,
Rwanda,307,0.974,55,,,
Saudi Arabia,309,0.964,114,,,
Senegal,311,0.967,96,,,
Serbia,313,0.969,79,,,
Sierra Leone,315,0.966,103,,,
Singapore,317,0.971,65,,,
Slovakia,319,0.98,1,,,
Slovenia,321,0.973,60,,,
South Africa,323,0.979,29,,,
South Korea,325,0.976,47,,,
Spain,327,0.966,100,,,
Sri Lanka,329,0.98,1,,,
Sudan,331,0.965,107,,,
Suriname,333,0.979,31,,,
Sweden,335,0.963,118,,,
Switzerland,337,0.964,115,,,
Tajikistan,339,0.97,69,,,
Thailand,341,0.977,42,,,
Timor-Leste,343,0.965,105,,,
Togo,345,0.979,30,,,
Tunisia,347,0.969,81,,,
Türkiye,349,0.966,98,,,
Uganda,351,0.98,1,,,
Ukraine,353,0.977,42,,,
United Arab Emirates,355,0.963,119,,,
United Kingdom,357,0.966,104,,,
United Republic of Tanzania,359,0.97,74,,,
United States of America,361,0.97,77,,,
Uruguay,363,0.98,1,,,
Uzbekistan,365,0.959,136,,,
Vanuatu,367,0.971,64,,,
Viet Nam,369,0.947,144,,,
Zambia,371,0.98,1,,,
Zimbabwe,373,0.98,1,,,
