code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
ALB,128,0.962,0.9577941646274012,0.9537763871567878,132.0,120.0,-0.004017777470613382,-12.0,Albania
DZA,139,0.958,0.9564129278918491,0.9653074629216223,137.0,51.0,0.00889453502977322,-86.0,Algeria
AGO,45,0.976,0.9726037034029567,0.9617528986339536,42.0,81.0,-0.01085080476900302,39.0,Angola
ARG,41,0.977,0.972873549661475,0.9610660578244987,41.0,86.0,-0.01180749183697627,45.0,Argentina
ARM,138,0.958,0.9526674000022135,0.9275933020878818,140.0,143.0,-0.025074097914331683,3.0,Armenia
AUS,88,0.968,0.9653178544229581,0.9673676834181988,81.0,37.0,0.0020498289952406434,-44.0,Australia
AUT,76,0.97,0.9666670857155505,0.9666872719242545,72.0,44.0,2.018620870403165e-05,-28.0,Austria
AZE,146,0.938,0.9319849401385087,0.9210678670783752,146.0,145.0,-0.010917073060133564,-1.0,Azerbaijan
BHR,137,0.959,0.9572224666674045,0.965666471289896,134.0,48.0,0.008444004622491508,-86.0,Bahrain
BGD,129,0.962,0.9596510829940705,0.9703335116112729,125.0,9.0,0.010682428617202366,-116.0,Bangladesh
BRB,91,0.968,0.9650480081644397,0.9677140189652258,85.0,33.0,0.0026660108007861005,-52.0,Barbados
BLR,1,0.98,0.9753021659881411,0.946997823651548,1.0,136.0,-0.02830434233659307,135.0,Belarus
BEL,90,0.968,0.9650480081644397,0.9681071798891792,85.0,31.0,0.0030591717247394623,-54.0,Belgium
BLZ,1,0.98,0.9753021659881411,0.9624645266429015,1.0,73.0,-0.012837639345239626,72.0,Belize
BEN,61,0.973,0.9696353945592535,0.9632013705356428,56.0,68.0,-0.006434024023610707,12.0,Benin
BTN,122,0.962,0.9601907755111074,0.9707051172983813,120.0,7.0,0.01051434178727384,-113.0,Bhutan
BOL,127,0.962,0.9596510829940705,0.9706377922535916,125.0,8.0,0.010986709259521055,-117.0,Bolivia
BIH,73,0.97,0.9656830884370304,0.9555650791673641,77.0,112.0,-0.010118009269666328,35.0,Bosnia-Herzegovina
BWA,1,0.98,0.9753021659881411,0.9630749643762316,1.0,70.0,-0.012227201611909488,69.0,Botswana
BRA,1,0.98,0.9753021659881411,0.9596591465102748,1.0,97.0,-0.015643019477866282,96.0,Brazil
BRN,141,0.954,0.9504766244911058,0.953035555882056,141.0,125.0,0.002558931390950203,-16.0,Brunei
BGR,28,0.979,0.9745720122466597,0.9538806112877037,28.0,119.0,-0.02069140095895594,91.0,Bulgaria
BFA,39,0.978,0.9736830884370304,0.961179912805835,36.0,85.0,-0.012503175631195407,49.0,Burkina Faso
BDI,27,0.98,0.9753021659881411,0.9619260930027826,1.0,75.0,-0.013376072985358478,74.0,Burundi
KHM,38,0.978,0.9736830884370304,0.9598342281482286,36.0,96.0,-0.013848860288801834,60.0,Cambodia
CMR,56,0.973,0.969905240817772,0.9651279862547057,55.0,53.0,-0.004777254563066213,-2.0,Cameroon
CAN,92,0.968,0.9647781619059212,0.9670484560485353,91.0,41.0,0.0022702941426140377,-50.0,Canada
CPV,1,0.98,0.9753021659881411,0.9533082720907281,1.0,124.0,-0.02199389389741302,123.0,Cape Verde
TCD,71,0.97,0.9669369319740689,0.9674773972552491,71.0,36.0,0.0005404652811801247,-35.0,Chad
CHL,68,0.971,0.9672067782325874,0.9664597170410507,67.0,46.0,-0.0007470611915366687,-21.0,Chile
CHN,145,0.94,0.9346674000022135,0.9229660068035487,145.0,144.0,-0.011701393198664811,-1.0,China
COL,51,0.975,0.9712544721103642,0.961046238109559,49.0,88.0,-0.010208234000805172,39.0,Colombia
COM,84,0.968,0.9653178544229581,0.9687901018629674,81.0,23.0,0.0034722474400092906,-58.0,Comoros
COD,44,0.976,0.9726037034029567,0.9617609306129657,42.0,79.0,-0.010842772789990907,37.0,D.R. Congo
CRI,59,0.973,0.9696353945592535,0.9634840632325622,56.0,66.0,-0.006151331326691323,10.0,Costa Rica
CIV,33,0.979,0.9744926272125858,0.9616639395261654,30.0,83.0,-0.012828687686420426,53.0,Côte D'Ivoire
HRV,35,0.978,0.9737624734711041,0.9585150240360472,35.0,101.0,-0.015247449435056959,66.0,Croatia
CYP,120,0.963,0.9597781619059211,0.9645829653501647,124.0,58.0,0.0048048034442436105,-66.0,Cyprus
CZE,37,0.978,0.9736830884370304,0.9604211943501927,36.0,92.0,-0.013261894086837756,56.0,Czechia
DNK,112,0.964,0.9618098530622182,0.9682735021824229,108.0,28.0,0.006463649120204695,-80.0,Denmark
DOM,1,0.98,0.9753021659881411,0.9577051258827771,1.0,107.0,-0.017597040105364004,106.0,Dominican Republic
ECU,85,0.968,0.9653178544229581,0.9627853879333635,81.0,72.0,-0.002532466489594598,-9.0,Ecuador
EGY,89,0.968,0.9650480081644397,0.9646521721633485,85.0,57.0,-0.00039583600109116546,-28.0,Egypt
SLV,1,0.98,0.9753021659881411,0.9453174983581896,1.0,139.0,-0.029984667629951556,138.0,El Salvador
EST,32,0.979,0.9745720122466597,0.9533958835820906,28.0,122.0,-0.021176128664569083,94.0,Estonia
SWZ,1,0.98,0.9753021659881411,0.949885460795687,1.0,132.0,-0.025416705192454092,131.0,Eswatini
ETH,66,0.971,0.9674766244911058,0.9654503981771223,65.0,49.0,-0.0020262263139835257,-16.0,Ethiopia
FJI,106,0.965,0.9613338571444382,0.9543257907548435,116.0,117.0,-0.007008066389594725,1.0,Fiji
FIN,70,0.97,0.9672067782325874,0.9636434952981096,67.0,64.0,-0.0035632829344778294,-3.0,Finland
FRA,75,0.97,0.9666670857155505,0.9651570528923098,72.0,52.0,-0.0015100328232406923,-20.0,France
GMB,83,0.968,0.9655877006814766,0.9686693450119217,78.0,24.0,0.00308164433044511,-54.0,Gambia
GEO,54,0.974,0.9694609360562889,0.940823277125552,61.0,142.0,-0.028637658930736887,81.0,Georgia
DEU,63,0.972,0.9685560095251797,0.9683456315121655,63.0,27.0,-0.0002103780130142674,-36.0,Germany
GHA,36,0.978,0.9736830884370304,0.9618327120301817,36.0,78.0,-0.011850376406848717,42.0,Ghana
GRC,95,0.967,0.9640163170081427,0.9637186546339286,95.0,63.0,-0.000297662374214136,-32.0,Greece
GTM,1,0.98,0.9753021659881411,0.9609241195191411,1.0,90.0,-0.014378046468999983,89.0,Guatemala
GIN,101,0.966,0.963428930613329,0.969945371049284,101.0,13.0,0.0065164404359550065,-88.0,Guinea
GUY,1,0.98,0.9753021659881411,0.9554041687605578,1.0,113.0,-0.01989799722758334,112.0,Guyana
HND,110,0.964,0.9618098530622182,0.9674852524758407,108.0,35.0,0.005675399413622495,-73.0,Honduras
