country,page_number,score,rank,diff,left,right
Albania,83,0.778,73,-15.06,52.87,67.93
Algeria,85,0.255,142,-49.55,16.94,66.49
Angola,87,0.956,4,-3.44,74.72,78.16
Argentina,89,0.726,92,-19.66,52.08,71.74
Armenia,91,0.874,30,-9.04,62.8,71.84
Australia,93,0.877,28,-8.79,62.61,71.4
Austria,95,0.853,43,-9.81,56.8,66.61
Azerbaijan,97,0.889,19,-7.7,61.9,69.6
Bahrain,99,0.501,130,-43.4,43.54,86.94
Bangladesh,101,0.307,139,-55.14,24.41,79.55
Barbados,103,0.896,15,-6.84,59.03,65.87
Belarus,105,0.874,31,-9.47,65.79,75.26
Belgium,107,0.853,42,-8.74,50.8,59.54
Belize,109,0.642,114,-27.05,48.56,75.61
Benin,111,0.812,63,-13.11,56.62,69.73
Bhutan,113,0.728,89,-19.96,53.48,73.45
Bolivia,115,0.845,47,-13.18,71.84,85.03
Bosnia and Herzegovina,117,0.679,104,-19.9,42.17,62.07
Botswana,119,0.862,38,-10.06,63.07,73.13
Brazil,121,0.726,91,-20.0,53.1,73.1
Brunei Darussalam,123,0.739,86,-18.71,52.89,71.6
Bulgaria,125,0.801,66,-12.54,50.57,63.11
Burkina Faso,127,0.768,79,-12.65,41.8,54.45
Burundi,129,0.991,1,-0.69,78.25,78.94
Cambodia,131,0.859,39,-12.09,73.73,85.82
Cameroon,133,0.769,76,-14.75,49.0,63.75
Canada,135,0.884,22,-8.06,61.63,69.69
Cape Verde,137,0.784,70,-13.93,50.53,64.46
Chad,139,0.677,106,-23.49,49.29,72.77
Chile,141,0.729,88,-19.36,52.04,71.4
China,143,0.815,61,-14.43,63.73,78.16
Colombia,145,0.681,103,-24.43,52.04,76.47
Comoros,147,0.693,97,-18.22,41.13,59.35
"Congo, Democratic Republic of t",149,0.903,11,-6.47,60.29,66.75
Costa Rica,151,0.629,116,-25.86,43.86,69.72
Côte D'Ivoire,153,0.772,74,-16.6,56.24,72.84
Croatia,155,0.804,65,-11.39,46.85,58.24
Cyprus,157,0.839,52,-11.44,59.63,71.07
Czechia,159,0.768,77,-15.73,52.16,67.89
Denmark,161,0.881,25,-8.0,59.42,67.42
Dominican Republic,163,0.687,99,-24.09,52.78,76.87
Ecuador,165,0.685,100,-24.38,52.92,77.3
Egypt,167,0.217,145,-54.2,15.0,69.2
El Salvador,169,0.597,123,-31.33,46.38,77.71
Estonia,171,0.849,44,-10.75,60.63,71.38
Eswatini,173,0.885,21,-5.96,45.68,51.64
Ethiopia,175,0.727,90,-21.6,57.6,79.2
Fiji,177,0.501,131,-38.44,38.55,76.99
Finland,179,0.906,8,-6.01,58.17,64.18
France,181,0.873,32,-7.66,52.52,60.18
Gambia,183,0.906,9,-4.69,45.38,50.07
Georgia,185,0.753,84,-18.04,55.0,73.05
Germany,187,0.843,49,-10.46,56.13,66.59
Ghana,189,0.95,5,-3.27,61.98,65.24
Greece,191,0.74,85,-15.69,44.67,60.36
Guatemala,193,0.502,129,-41.26,41.53,82.79
Guinea,195,0.658,110,-22.32,42.87,65.19
Guyana,197,0.635,115,-22.58,39.29,61.86
Honduras,199,0.612,121,-31.45,49.63,81.07
Hungary,201,0.792,67,-14.07,53.68,67.75
Iceland,203,0.903,12,-7.59,70.7,78.29
India,205,0.459,134,-41.32,35.09,76.41
Indonesia,207,0.645,112,-28.95,52.5,81.45
Iran,209,0.201,146,-53.96,13.58,67.54
Ireland,211,0.842,50,-11.12,59.4,70.51
Israel,213,0.892,17,-7.39,61.15,68.54
Italy,215,0.701,96,-17.39,40.69,58.08
Jamaica,217,0.821,58,-12.73,58.37,71.1
Japan,219,0.768,80,-16.6,54.8,71.4
