code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.7783011924039451,73,73.0,0.778,0.7783011924039451
DZA,Algeria,0.2547751541585201,142,142.0,0.255,0.2547751541585201
AGO,Angola,0.9559877175025588,4,4.0,0.956,0.9559877175025588
ARG,Argentina,0.7259548369110678,92,92.0,0.726,0.7259548369110678
ARM,Armenia,0.8741648106904231,30,31.0,0.874,0.8741648106904231
AUS,Australia,0.8768907563025209,28,28.0,0.877,0.8768907563025209
AUT,Austria,0.8527248160936796,43,43.0,0.853,0.8527248160936796
AZE,Azerbaijan,0.889367816091954,19,19.0,0.889,0.889367816091954
BHR,Bahrain,0.500805152979066,130,130.0,0.501,0.500805152979066
BGD,Bangladesh,0.30685103708359523,139,139.0,0.307,0.30685103708359523
BRB,Barbados,0.8961591012600576,15,15.0,0.896,0.8961591012600576
BLR,Belarus,0.8741695455753389,31,30.0,0.874,0.8741695455753389
BEL,Belgium,0.8532079274437353,42,42.0,0.853,0.8532079274437353
BLZ,Belize,0.6422430895384209,114,114.0,0.642,0.6422430895384209
BEN,Benin,0.8119891008174386,63,63.0,0.812,0.8119891008174386
BTN,Bhutan,0.7281143635125935,89,89.0,0.728,0.7281143635125935
BOL,Bolivia,0.8448782782547336,47,47.0,0.845,0.8448782782547336
BIH,Bosnia-Herzegovina,0.6793942323183503,104,104.0,0.679,0.6793942323183503
BWA,Botswana,0.8624367564610967,38,38.0,0.862,0.8624367564610967
BRA,Brazil,0.7264021887824899,91,91.0,0.726,0.7264021887824899
BRN,Brunei,0.7386871508379889,86,86.0,0.739,0.7386871508379889
BGR,Bulgaria,0.8012993186499763,66,66.0,0.801,0.8012993186499763
BFA,Burkina Faso,0.7676767676767676,79,79.0,0.768,0.7676767676767676
BDI,Burundi,0.9912591841905245,1,1.0,0.991,0.9912591841905245
KHM,Cambodia,0.8591237473782336,39,39.0,0.859,0.8591237473782336
CMR,Cameroon,0.7686274509803922,76,76.0,0.769,0.7686274509803922
CAN,Canada,0.884344956234754,22,22.0,0.884,0.884344956234754
CPV,Cape Verde,0.7838969903816321,70,70.0,0.784,0.7838969903816321
TCD,Chad,0.6773395630067336,106,106.0,0.677,0.6773395630067336
CHL,Chile,0.7288515406162465,88,88.0,0.729,0.7288515406162465
CHN,China,0.8153787103377687,61,62.0,0.815,0.8153787103377687
COL,Colombia,0.6805283117562443,103,103.0,0.681,0.6805283117562443
COM,Comoros,0.6930075821398484,97,97.0,0.693,0.6930075821398484
COD,D.R. Congo,0.9032209737827716,11,11.0,0.903,0.9032209737827716
CRI,Costa Rica,0.6290877796901894,116,116.0,0.629,0.6290877796901894
CIV,Côte D'Ivoire,0.772103239978034,74,74.0,0.772,0.772103239978034
HRV,Croatia,0.804429945054945,65,65.0,0.804,0.804429945054945
CYP,Cyprus,0.8390319403405094,52,52.0,0.839,0.8390319403405094
CZE,Czechia,0.7683016644572102,77,77.0,0.768,0.7683016644572102
DNK,Denmark,0.8813408484129338,25,25.0,0.881,0.8813408484129338
DOM,Dominican Republic,0.6866137634968128,99,99.0,0.687,0.6866137634968128
ECU,Ecuador,0.6846054333764554,100,100.0,0.685,0.6846054333764554
EGY,Egypt,0.21676300578034682,145,145.0,0.217,0.21676300578034682
SLV,El Salvador,0.5968343842491315,123,123.0,0.597,0.5968343842491315
EST,Estonia,0.8493975903614459,44,44.0,0.849,0.8493975903614459
SWZ,Eswatini,0.8845855925639039,21,21.0,0.885,0.8845855925639039
ETH,Ethiopia,0.7272727272727273,90,90.0,0.727,0.7272727272727273
FJI,Fiji,0.5007143784907131,131,131.0,0.501,0.5007143784907131
FIN,Finland,0.9063571205983172,8,8.0,0.906,0.9063571205983172
FRA,France,0.8727151877700233,32,32.0,0.873,0.8727151877700233
GMB,Gambia,0.9063311364090274,9,9.0,0.906,0.9063311364090274
GEO,Georgia,0.7529089664613279,84,84.0,0.753,0.7529089664613279
DEU,Germany,0.84291935726085,49,49.0,0.843,0.84291935726085
GHA,Ghana,0.9500306560392398,5,5.0,0.95,0.9500306560392398
GRC,Greece,0.7400596421471173,85,85.0,0.74,0.7400596421471173
GTM,Guatemala,0.5016306317188066,129,129.0,0.502,0.5016306317188066
GIN,Guinea,0.6576161988034974,110,110.0,0.658,0.6576161988034974
GUY,Guyana,0.635143873262205,115,115.0,0.635,0.635143873262205
HND,Honduras,0.6121869988898484,121,121.0,0.612,0.6121869988898484
HUN,Hungary,0.7923247232472325,67,67.0,0.792,0.7923247232472325
ISL,Iceland,0.9030527525865372,12,12.0,0.903,0.9030527525865372
IND,India,0.45923308467478086,134,134.0,0.459,0.45923308467478086
IDN,Indonesia,0.6445672191528545,112,112.0,0.645,0.6445672191528545
IRN,Iran,0.20106603494225642,146,146.0,0.201,0.20106603494225642
IRL,Ireland,0.8424336973478939,50,50.0,0.842,0.8424336973478939
ISR,Israel,0.8921797490516485,17,17.0,0.892,0.8921797490516485
ITA,Italy,0.7005853994490358,96,96.0,0.701,0.7005853994490358
JAM,Jamaica,0.8209563994374122,58,58.0,0.821,0.8209563994374122
JPN,Japan,0.7675070028011204,80,80.0,0.768,0.7675070028011204
JOR,Jordan,0.22712256359431782,144,144.0,0.227,0.22712256359431782
KAZ,Kazakhstan,0.8485254691689008,45,45.0,0.849,0.8485254691689008
KEN,Kenya,0.8659410305869386,37,37.0,0.866,0.8659410305869386
KWT,Kuwait,0.567899829254411,126,126.0,0.568,0.567899829254411
KGZ,Kyrgyzstan,0.6728624535315985,108,108.0,0.673,0.6728624535315985
LAO,Laos,0.868711136235161,35,35.0,0.869,0.868711136235161
LVA,Latvia,0.8191191633524819,60,60.0,0.819,0.8191191633524819
LBN,Lebanon,0.41595804988662133,137,137.0,0.416,0.41595804988662133
LSO,Lesotho,0.7288842544316997,87,87.0,0.729,0.7288842544316997
LBR,Liberia,0.8693306693306694,33,33.0,0.869,0.8693306693306694
LTU,Lithuania,0.8688718251624337,34,34.0,0.869,0.8688718251624337
LUX,Luxembourg,0.8909202642495007,18,18.0,0.891,0.8909202642495007
MDG,Madagascar,0.8445316331535065,48,48.0,0.845,0.8445316331535065
MYS,Malaysia,0.6813629702002931,102,102.0,0.681,0.6813629702002931
MDV,Maldives,0.6438931297709924,113,113.0,0.644,0.6438931297709924
MLI,Mali,0.6254095376774663,117,117.0,0.625,0.6254095376774663
MLT,Malta,0.8154084798345398,62,61.0,0.815,0.8154084798345398
MUS,Mauritius,0.6174663545933294,119,119.0,0.617,0.6174663545933294
MEX,Mexico,0.6056319580877538,122,122.0,0.606,0.6056319580877538
MDA,Moldova,0.9769392033542978,2,2.0,0.977,0.9769392033542978
MNG,Mongolia,0.7818713450292396,71,71.0,0.782,0.7818713450292396
MNE,Montenegro,0.7680733310273261,78,78.0,0.768,0.7680733310273261
MAR,Morocco,0.28448275862068967,141,141.0,0.285,0.28448275862068967
MOZ,Mozambique,0.9756523910600574,3,3.0,0.976,0.9756523910600574
NAM,Namibia,0.8838915470494417,23,23.0,0.884,0.8838915470494417
NPL,Nepal,0.5079162875341219,128,128.0,0.508,0.5079162875341219
NLD,Netherlands,0.8787836903939185,27,27.0,0.879,0.8787836903939185
NZL,New Zealand,0.8817007956175817,24,24.0,0.882,0.8817007956175817
NIC,Nicaragua,0.5765538756899448,125,125.0,0.577,0.5765538756899448
NER,Niger,0.7121212121212122,94,94.0,0.712,0.7121212121212122
NGA,Nigeria,0.89936960074714,13,13.0,0.899,0.89936960074714
MKD,North Macedonia,0.664572864321608,109,109.0,0.665,0.664572864321608
NOR,Norway,0.8985486420462709,14,14.0,0.899,0.8985486420462709
OMN,Oman,0.4617252543940795,133,133.0,0.462,0.4617252543940795
PAK,Pakistan,0.30407834387008803,140,140.0,0.304,0.30407834387008803
PAN,Panama,0.6778360920468308,105,105.0,0.678,0.6778360920468308
PRY,Paraguay,0.7140270400772574,93,93.0,0.714,0.7140270400772574
PER,Peru,0.8086956521739129,64,64.0,0.809,0.8086956521739129
PHL,Philippines,0.6925834022608216,98,98.0,0.693,0.6925834022608216
POL,Poland,0.7646160891466951,81,81.0,0.765,0.7646160891466951
PRT,Portugal,0.8666032953105197,36,36.0,0.867,0.8666032953105197
QAT,Qatar,0.6475401237805517,111,111.0,0.648,0.6475401237805517
ROU,Romania,0.6815471394037067,101,101.0,0.682,0.6815471394037067
RWA,Rwanda,0.8270653979761365,55,55.0,0.827,0.8270653979761365
SAU,Saudi Arabia,0.4326971371170266,136,136.0,0.433,0.4326971371170266
SEN,Senegal,0.5807251317012704,124,124.0,0.581,0.5807251317012704
SRB,Serbia,0.7711043872919819,75,75.0,0.771,0.7711043872919819
SLE,Sierra Leone,0.9105030891438658,7,7.0,0.911,0.9105030891438658
SGP,Singapore,0.8229870129870129,57,57.0,0.823,0.8229870129870129
SVK,Slovakia,0.8353903345724907,53,53.0,0.835,0.8353903345724907
SVN,Slovenia,0.8758288125376733,29,29.0,0.876,0.8758288125376733
ZAF,South Africa,0.8197737486440415,59,59.0,0.82,0.8197737486440415
KOR,South Korea,0.7640005450333833,82,82.0,0.764,0.7640005450333833
ESP,Spain,0.8461660833598472,46,46.0,0.846,0.8461660833598472
LKA,Sri Lanka,0.4538745387453875,135,135.0,0.454,0.4538745387453875
SDN,Sudan,0.2325844512687894,143,143.0,0.233,0.2325844512687894
SUR,Suriname,0.6732996732996733,107,107.0,0.673,0.6732996732996733
SWE,Sweden,0.9048025007104291,10,10.0,0.905,0.9048025007104291
CHE,Switzerland,0.8547400611620796,41,41.0,0.855,0.8547400611620796
TJK,Tajikistan,0.617363344051447,120,120.0,0.617,0.617363344051447
THA,Thailand,0.7880463401790416,69,69.0,0.788,0.7880463401790416
TLS,Timor-Leste,0.7103629417382998,95,95.0,0.71,0.7103629417382998
TGO,Togo,0.9283341849770056,6,6.0,0.928,0.9283341849770056
TUN,Tunisia,0.41115734319617814,138,138.0,0.411,0.41115734319617814
TUR,Türkiye,0.49153016939661204,132,132.0,0.492,0.49153016939661204
UGA,Uganda,0.8847340930674265,20,20.0,0.885,0.8847340930674265
UKR,Ukraine,0.7598218546206459,83,83.0,0.76,0.7598218546206459
ARE,United Arab Emirates,0.6184460592509782,118,118.0,0.618,0.6184460592509782
GBR,United Kingdom,0.8575619774094176,40,40.0,0.858,0.8575619774094176
TZA,Tanzania,0.8956838762789603,16,16.0,0.896,0.8956838762789603
USA,United States,0.8416030534351144,51,51.0,0.842,0.8416030534351144
URY,Uruguay,0.7796301485009807,72,72.0,0.78,0.7796301485009807
UZB,Uzbekistan,0.5458025704129068,127,127.0,0.546,0.5458025704129068
VUT,Vanuatu,0.7907801418439716,68,68.0,0.791,0.7907801418439716
VNM,Vietnam,0.880524152106886,26,26.0,0.881,0.880524152106886
ZMB,Zambia,0.8265727843257309,56,56.0,0.827,0.8265727843257309
ZWE,Zimbabwe,0.8335892782353763,54,54.0,0.834,0.8335892782353763
