country,page_number,score,rank,diff,left,right
Albania,83,0.518,77.0,-31.77,34.12,65.89
Algeria,85,0.091,138.0,-83.27,8.36,91.64
Angola,87,0.181,128.0,-69.28,15.36,84.64
Argentina,89,0.507,80.0,-32.71,33.65,66.35
Armenia,91,0.422,94.0,-40.69,29.65,70.35
Australia,93,0.658,43.0,-20.6,39.7,60.3
Austria,95,0.546,70.0,-29.41,35.3,64.7
Azerbaijan,97,0.548,68.0,-29.22,35.39,64.61
Bahrain,99,0.275,120.0,-56.88,21.56,78.44
Bangladesh,101,0.079,139.0,-85.33,7.33,92.67
Barbados,103,0.971,11.0,-1.46,49.27,50.73
Belarus,105,0.862,17.0,-7.43,46.29,53.71
Belgium,107,0.572,60.0,-27.25,36.38,63.62
Belize,109,0.651,45.0,-21.19,39.42,60.61
Benin,111,0.159,133.0,-72.51,13.75,86.25
Bhutan,113,0.59,54.0,-25.75,37.12,62.88
Bolivia,115,0.524,76.0,-31.27,34.37,65.63
Bosnia and Herzegovina,117,0.349,106.0,-48.24,25.88,74.12
Botswana,119,1.0,1.0,3.77,48.11,51.89
Brazil,121,0.661,42.0,-20.43,39.79,60.21
Brunei Darussalam,123,0.479,84.0,-35.23,32.39,67.62
Bulgaria,125,0.69,36.0,-18.35,40.83,59.17
Burkina Faso,127,1.0,1.0,39.83,30.09,69.91
Burundi,129,0.51,78.0,-32.42,33.79,66.2
Cambodia,131,0.413,96.0,-41.53,29.23,70.77
Cameroon,133,1.0,1.0,15.47,42.26,57.74
Canada,135,0.551,66.0,-28.96,35.52,64.48
Cape Verde,137,0.853,18.0,-7.94,46.04,53.98
Chad,139,,,,,
Chile,141,0.454,88.0,-37.58,31.21,68.79
China,143,,,,,
Colombia,145,0.785,22.0,-12.06,43.97,56.03
Comoros,147,1.0,1.0,2.25,48.84,51.09
"Congo, Democratic Republic of t",149,0.723,32.0,-16.11,41.94,58.06
Costa Rica,151,0.796,20.0,-11.38,44.31,55.69
Côte D'Ivoire,153,0.443,89.0,-38.57,30.72,69.28
Croatia,155,0.276,119.0,-56.75,21.63,78.37
Cyprus,157,0.3,116.0,-53.85,23.08,76.92
Czechia,159,0.352,104.0,-47.92,26.04,73.96
Denmark,161,0.414,95.0,-41.47,29.26,70.74
Dominican Republic,163,0.784,23.0,-12.11,43.95,56.05
Ecuador,165,0.73,30.0,-15.62,42.19,57.81
Egypt,167,0.162,131.0,-72.08,13.96,86.04
El Salvador,169,0.682,38.0,-18.93,40.53,59.47
Estonia,171,0.671,40.0,-19.7,40.15,59.85
Eswatini,173,0.702,34.0,-17.54,41.23,58.77
Ethiopia,175,0.341,109.0,-49.14,25.43,74.57
Fiji,177,0.636,46.0,-22.23,38.89,61.11
Finland,179,0.57,62.0,-27.39,36.31,63.69
France,181,0.664,41.0,-20.22,39.89,60.11
Gambia,183,0.442,91.0,-38.7,30.65,69.35
Georgia,185,0.566,63.0,-27.75,36.13,63.87
Germany,187,0.407,97.0,-42.19,28.9,71.1
Ghana,189,0.794,21.0,-11.47,44.27,55.73
Greece,191,0.456,87.0,-37.36,31.32,68.68
Guatemala,193,0.546,69.0,-29.38,35.31,64.69
Guinea,195,0.305,115.0,-53.24,23.38,76.62
Guyana,197,0.879,15.0,-6.42,46.79,53.21
Honduras,199,0.423,93.0,-40.53,29.73,70.27
Hungary,201,0.601,52.0,-24.91,37.54,62.46
Iceland,203,0.656,44.0,-20.76,39.62,60.38
India,205,0.144,136.0,-74.84,12.58,87.42
Indonesia,207,0.463,86.0,-36.67,31.66,68.34
Iran,209,0.225,125.0,-63.3,18.35,81.65
Ireland,211,0.618,50.0,-23.61,38.2,61.8
Israel,213,0.467,85.0,-36.32,31.84,68.16
Italy,215,0.387,102.0,-44.24,27.88,72.12
Jamaica,217,1.0,1.0,24.2,37.9,62.1
Japan,219,0.171,130.0,-70.73,14.63,85.37
Jordan,221,0.903,13.0,-5.07,47.46,52.54
Kazakhstan,223,0.689,37.0,-18.41,40.79,59.21
Kenya,225,0.985,9.0,-0.75,49.62,50.38
Kuwait,227,0.158,134.0,-72.77,13.61,86.39
Kyrgyzstan,229,0.75,28.0,-14.31,42.85,57.15
Lao PDR,231,0.346,107.0,-48.64,25.68,74.32
Latvia,233,0.819,19.0,-9.98,45.01,54.99
Lebanon,235,0.269,122.0,-57.59,21.21,78.79
Lesotho,237,0.51,79.0,-32.43,33.78,66.22
Liberia,239,1.0,1.0,4.9,47.55,52.45
Lithuania,241,0.627,49.0,-22.89,38.55,61.45
Luxembourg,243,0.342,108.0,-49.06,25.47,74.53
Madagascar,245,0.391,100.0,-43.8,28.1,71.9
Malaysia,247,0.326,110.0,-50.8,24.6,75.4
Maldives,249,0.229,123.0,-62.69,18.66,81.34
Mali,251,0.211,126.0,-65.11,17.44,82.55
Malta,253,0.53,75.0,-30.74,34.63,65.37
Mauritius,255,0.386,103.0,-44.25,27.87,72.13
Mexico,257,0.633,47.0,-22.5,38.75,61.25
"Moldova, Republic of",259,0.776,24.0,-12.64,43.68,56.32
Mongolia,261,0.723,31.0,-16.1,41.95,58.05
Montenegro,263,0.571,61.0,-27.35,36.33,63.67
Morocco,265,0.141,137.0,-75.24,12.38,87.62
Mozambique,267,0.322,111.0,-51.34,24.33,75.67
Namibia,269,0.772,25.0,-12.87,43.57,56.43
Nepal,271,0.152,135.0,-73.67,13.17,86.83
Netherlands,273,0.397,99.0,-43.15,28.42,71.58
New Zealand,275,,,,,
Nicaragua,277,0.543,71.0,-29.59,35.21,64.79
Niger,279,0.973,10.0,-1.38,49.31,50.69
Nigeria,281,1.0,1.0,35.05,32.48,67.52
North Macedonia,283,0.402,98.0,-42.62,28.69,71.31
Norway,285,0.496,82.0,-33.69,33.16,66.84
Oman,287,0.434,92.0,-39.5,30.25,69.75
Pakistan,289,0.061,140.0,-88.59,5.71,94.29
Panama,291,0.864,16.0,-7.31,46.35,53.65
Paraguay,293,0.632,48.0,-22.54,38.73,61.27
Peru,295,0.594,53.0,-25.51,37.24,62.76
Philippines,297,0.947,12.0,-2.73,48.63,51.37
Poland,299,0.752,27.0,-14.18,42.91,57.09
Portugal,301,0.584,56.0,-26.3,36.85,63.15
Qatar,303,0.16,132.0,-72.45,13.78,86.22
Romania,305,0.493,83.0,-33.94,33.03,66.97
Rwanda,307,0.31,113.0,-52.71,23.65,76.35
Saudi Arabia,309,,,,,
Senegal,311,0.18,129.0,-69.56,15.22,84.78
Serbia,313,0.55,67.0,-29.0,35.5,64.5
Sierra Leone,315,0.56,65.0,-28.17,35.91,64.08
Singapore,317,0.674,39.0,-19.45,40.28,59.72
