code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.5178327515556229,77.0,74.0,0.518,0.5178327515556229
DZA,Algeria,0.09122653862941946,138.0,138.0,0.091,0.09122653862941946
AGO,Angola,0.18147448015122872,128.0,128.0,0.181,0.18147448015122872
ARG,Argentina,0.5071590052750565,80.0,77.0,0.507,0.5071590052750565
ARM,Armenia,0.4214641080312722,94.0,94.0,0.422,0.4214641080312722
AUS,Australia,0.658374792703151,43.0,39.0,0.658,0.658374792703151
AUT,Austria,0.5455950540958269,70.0,67.0,0.546,0.5455950540958269
AZE,Azerbaijan,0.5477480266212661,68.0,65.0,0.548,0.5477480266212661
BHR,Bahrain,0.27485976542580315,120.0,120.0,0.275,0.27485976542580315
BGD,Bangladesh,0.07909787417718787,139.0,139.0,0.079,0.07909787417718787
BRB,Barbados,0.9712201852946976,11.0,3.0,0.971,0.9712201852946976
BLR,Belarus,0.861850679575498,17.0,12.0,0.862,0.861850679575498
BEL,Belgium,0.5718327569946559,60.0,57.0,0.572,0.5718327569946559
BLZ,Belize,0.6503877247978882,45.0,41.0,0.651,0.6503877247978882
BEN,Benin,0.15942028985507245,133.0,133.0,0.159,0.15942028985507245
BTN,Bhutan,0.5903307888040712,54.0,51.0,0.59,0.5903307888040712
BOL,Bolivia,0.5236934328813043,76.0,73.0,0.524,0.5236934328813043
BIH,Bosnia-Herzegovina,0.3491635186184565,106.0,106.0,0.349,0.3491635186184565
BWA,Botswana,0.927153594141453,1.0,6.0,1.0,0.927153594141453
BRA,Brazil,0.6608536787908985,42.0,38.0,0.661,0.6608536787908985
BRN,Brunei,0.4790002957704821,84.0,82.0,0.479,0.4790002957704821
BGR,Bulgaria,0.6900456312320432,36.0,32.0,0.69,0.6900456312320432
BFA,Burkina Faso,0.4304105278214848,1.0,91.0,1.0,0.4304105278214848
BDI,Burundi,0.5104229607250755,78.0,75.0,0.51,0.5104229607250755
KHM,Cambodia,0.4130281192595733,96.0,96.0,0.413,0.4130281192595733
CMR,Cameroon,0.7319016279875302,1.0,25.0,1.0,0.7319016279875302
CAN,Canada,0.5508684863523573,66.0,63.0,0.551,0.5508684863523573
CPV,Cape Verde,0.8529084846239349,18.0,13.0,0.853,0.8529084846239349
TCD,Chad,,,,,
CHL,Chile,0.4536996656490769,88.0,86.0,0.454,0.4536996656490769
CHN,China,,,,,
COL,Colombia,0.7847581652686061,22.0,17.0,0.785,0.7847581652686061
COM,Comoros,0.9559600704638873,1.0,4.0,1.0,0.9559600704638873
COD,D.R. Congo,0.7223561832586979,32.0,28.0,0.723,0.7223561832586979
CRI,Costa Rica,0.795654516071108,20.0,15.0,0.796,0.795654516071108
CIV,Côte D'Ivoire,0.4434180138568129,89.0,87.0,0.443,0.4434180138568129
HRV,Croatia,0.2759984688018374,119.0,119.0,0.276,0.2759984688018374
CYP,Cyprus,0.3000520020800832,116.0,116.0,0.3,0.3000520020800832
CZE,Czechia,0.3520822065981612,104.0,104.0,0.352,0.3520822065981612
DNK,Denmark,0.41362736782584114,95.0,95.0,0.414,0.41362736782584114
DOM,Dominican Republic,0.7841213202497771,23.0,18.0,0.784,0.7841213202497771
ECU,Ecuador,0.729804532087874,30.0,26.0,0.73,0.729804532087874
EGY,Egypt,0.16225011622501162,131.0,131.0,0.162,0.16225011622501162
SLV,El Salvador,0.6815200941651253,38.0,34.0,0.682,0.6815200941651253
EST,Estonia,0.6708437761069339,40.0,36.0,0.671,0.6708437761069339
SWZ,Eswatini,0.7015484090522375,34.0,30.0,0.702,0.7015484090522375
ETH,Ethiopia,0.34102185865629614,109.0,109.0,0.341,0.34102185865629614
FJI,Fiji,0.6363933889707086,46.0,42.0,0.636,0.6363933889707086
FIN,Finland,0.5701051970482023,62.0,59.0,0.57,0.5701051970482023
FRA,France,0.6636167027116953,41.0,37.0,0.664,0.6636167027116953
GMB,Gambia,0.44196106705118965,91.0,88.0,0.442,0.44196106705118965
GEO,Georgia,0.5656802880851731,63.0,60.0,0.566,0.5656802880851731
DEU,Germany,0.40646976090014064,97.0,97.0,0.407,0.40646976090014064
GHA,Ghana,0.7943656917279742,21.0,16.0,0.794,0.7943656917279742
GRC,Greece,0.4560279557367501,87.0,85.0,0.456,0.4560279557367501
GTM,Guatemala,0.545833977430824,69.0,66.0,0.546,0.545833977430824
GIN,Guinea,0.30514226050639515,115.0,115.0,0.305,0.30514226050639515
GUY,Guyana,0.8793459875963164,15.0,10.0,0.879,0.8793459875963164
HND,Honduras,0.4230823964707557,93.0,93.0,0.423,0.4230823964707557
HUN,Hungary,0.601024655779699,52.0,49.0,0.601,0.601024655779699
ISL,Iceland,0.6561775422325272,44.0,40.0,0.656,0.6561775422325272
IND,India,0.14390299702585221,136.0,136.0,0.144,0.14390299702585221
IDN,Indonesia,0.4632718759145449,86.0,84.0,0.463,0.4632718759145449
IRN,Iran,0.224739742804654,125.0,125.0,0.225,0.224739742804654
IRL,Ireland,0.6181229773462784,50.0,46.0,0.618,0.6181229773462784
ISR,Israel,0.4671361502347418,85.0,83.0,0.467,0.4671361502347418
ITA,Italy,0.3865779256794231,102.0,102.0,0.387,0.3865779256794231
JAM,Jamaica,0.610305958132045,1.0,48.0,1.0,0.610305958132045
JPN,Japan,0.1713716762328687,130.0,130.0,0.171,0.1713716762328687
JOR,Jordan,0.9033117624666921,13.0,8.0,0.903,0.9033117624666921
KAZ,Kazakhstan,0.6889039013680122,37.0,33.0,0.689,0.6889039013680122
KEN,Kenya,0.984914648670107,9.0,1.0,0.985,0.984914648670107
KWT,Kuwait,0.15754138210441024,134.0,134.0,0.158,0.15754138210441024
KGZ,Kyrgyzstan,0.7497812773403325,28.0,23.0,0.75,0.7497812773403325
LAO,Laos,0.34553283100107646,107.0,107.0,0.346,0.34553283100107646
LVA,Latvia,0.8185124568103291,19.0,14.0,0.819,0.8185124568103291
LBN,Lebanon,0.26919659855311584,122.0,122.0,0.269,0.26919659855311584
LSO,Lesotho,0.5101177891875567,79.0,76.0,0.51,0.5101177891875567
LBR,Liberia,0.9065776930409913,1.0,7.0,1.0,0.9065776930409913
LTU,Lithuania,0.6273393002441008,49.0,45.0,0.627,0.6273393002441008
LUX,Luxembourg,0.3417415805715819,108.0,108.0,0.342,0.3417415805715819
MDG,Madagascar,0.3908205841446453,100.0,100.0,0.391,0.3908205841446453
MYS,Malaysia,0.32625994694960214,110.0,110.0,0.326,0.32625994694960214
MDV,Maldives,0.22940742562085073,123.0,123.0,0.229,0.22940742562085073
MLI,Mali,0.21126589945487587,126.0,126.0,0.211,0.21126589945487587
MLT,Malta,0.5297537096527459,75.0,72.0,0.53,0.5297537096527459
MUS,Mauritius,0.38638569249965343,103.0,103.0,0.386,0.38638569249965343
MEX,Mexico,0.6326530612244898,47.0,43.0,0.633,0.6326530612244898
MDA,Moldova,0.7755681818181818,24.0,19.0,0.776,0.7755681818181818
MNG,Mongolia,0.7226528854435832,31.0,27.0,0.723,0.7226528854435832
MNE,Montenegro,0.570598397989634,61.0,58.0,0.571,0.570598397989634
MAR,Morocco,0.1412919424788861,137.0,137.0,0.141,0.1412919424788861
MOZ,Mozambique,0.3215276860050218,111.0,111.0,0.322,0.3215276860050218
NAM,Namibia,0.77210703526493,25.0,20.0,0.772,0.77210703526493
NPL,Nepal,0.15167568812622365,135.0,135.0,0.152,0.15167568812622365
NLD,Netherlands,0.39703827884884046,99.0,99.0,0.397,0.39703827884884046
NZL,New Zealand,,,,,
NIC,Nicaragua,0.5434480629726809,71.0,68.0,0.543,0.5434480629726809
NER,Niger,0.9727756954034327,10.0,2.0,0.973,0.9727756954034327
NGA,Nigeria,0.481042654028436,1.0,81.0,1.0,0.481042654028436
MKD,North Macedonia,0.40232786425466277,98.0,98.0,0.402,0.40232786425466277
NOR,Norway,0.4961101137043686,82.0,79.0,0.496,0.4961101137043686
OMN,Oman,0.4336917562724014,92.0,90.0,0.434,0.4336917562724014
PAK,Pakistan,0.060557853430904654,140.0,140.0,0.061,0.060557853430904654
PAN,Panama,0.8639328984156571,16.0,11.0,0.864,0.8639328984156571
PRY,Paraguay,0.6321201240411294,48.0,44.0,0.632,0.6321201240411294
PER,Peru,0.5933715742511154,53.0,50.0,0.594,0.5933715742511154
PHL,Philippines,0.9466614755693986,12.0,5.0,0.947,0.9466614755693986
POL,Poland,0.7516202487300753,27.0,22.0,0.752,0.7516202487300753
PRT,Portugal,0.5835312747426762,56.0,53.0,0.584,0.5835312747426762
QAT,Qatar,0.1598237067965669,132.0,132.0,0.16,0.1598237067965669
ROU,Romania,0.4932059130954159,83.0,80.0,0.493,0.4932059130954159
RWA,Rwanda,0.3097576948264571,113.0,113.0,0.31,0.3097576948264571
