country,page_number,score,rank,diff,left,right
Albania,83,1.033,79,,,
Algeria,85,0.99,144,,,
Angola,87,1.05,55,,,
Argentina,89,1.051,51,,,
Armenia,91,1.06,1,,,
Australia,93,1.023,98,,,
Austria,95,1.028,90,,,
Azerbaijan,97,1.051,52,,,
Bahrain,99,0.993,143,,,
Bangladesh,101,1.002,137,,,
Barbados,103,1.022,102,,,
Belarus,105,1.06,1,,,
Belgium,107,1.022,101,,,
Belize,109,1.06,1,,,
Benin,111,1.039,70,,,
Bhutan,113,1.004,133,,,
Bolivia,115,1.002,136,,,
Bosnia and Herzegovina,117,1.046,58,,,
Botswana,119,1.06,1,,,
Brazil,121,1.06,1,,,
Brunei Darussalam,123,1.014,115,,,
Bulgaria,125,1.06,1,,,
Burkina Faso,127,1.054,50,,,
Burundi,129,1.06,38,,,
Cambodia,131,1.054,48,,,
Cameroon,133,1.04,66,,,
Canada,135,1.021,103,,,
Cape Verde,137,1.06,1,,,
Chad,139,1.029,86,,,
Chile,141,1.03,83,,,
China,143,1.042,64,,,
Colombia,145,1.045,61,,,
Comoros,147,1.023,95,,,
"Congo, Democratic Republic of t",149,1.05,54,,,
Costa Rica,151,1.039,69,,,
Côte D'Ivoire,153,1.057,43,,,
Croatia,155,1.057,42,,,
Cyprus,157,1.016,110,,,
Czechia,159,1.054,47,,,
Denmark,161,1.01,122,,,
Dominican Republic,163,1.06,1,,,
Ecuador,165,1.023,96,,,
Egypt,167,1.022,99,,,
El Salvador,169,1.06,1,,,
Estonia,171,1.06,1,,,
Eswatini,173,1.06,1,,,
Ethiopia,175,1.031,81,,,
Fiji,177,1.038,73,,,
Finland,179,1.03,85,,,
France,181,1.028,89,,,
Gambia,183,1.024,94,,,
Georgia,185,1.06,1,,,
Germany,187,1.035,77,,,
Ghana,189,1.054,46,,,
Greece,191,1.029,87,,,
Guatemala,193,1.06,1,,,
Guinea,195,1.016,111,,,
Guyana,197,1.06,1,,,
Honduras,199,1.01,120,,,
Hungary,201,1.06,1,,,
Iceland,203,1.008,129,,,
India,205,1.002,138,,,
Indonesia,207,1.03,84,,,
Iran,209,1.009,126,,,
Ireland,211,1.01,121,,,
Israel,213,1.011,119,,,
Italy,215,1.02,105,,,
Jamaica,217,1.02,104,,,
Japan,219,1.039,68,,,
Jordan,221,0.987,145,,,
Kazakhstan,223,1.06,1,,,
Kenya,225,1.045,62,,,
Kuwait,227,1.023,97,,,
Kyrgyzstan,229,1.06,1,,,
Lao PDR,231,1.045,60,,,
Latvia,233,1.06,1,,,
Lebanon,235,1.031,82,,,
Lesotho,237,1.06,1,,,
Liberia,239,1.002,134,,,
Lithuania,241,1.06,1,,,
Luxembourg,243,1.012,118,,,
Madagascar,245,1.015,112,,,
Malaysia,247,1.038,72,,,
Maldives,249,1.004,132,,,
Mali,251,0.993,142,,,
Malta,253,1.015,114,,,
Mauritius,255,1.06,1,,,
Mexico,257,1.046,59,,,
"Moldova, Republic of",259,1.06,1,,,
Mongolia,261,1.06,1,,,
Montenegro,263,1.054,49,,,
Morocco,265,1.0,140,,,
Mozambique,267,1.06,1,,,
Namibia,269,1.06,1,,,
Nepal,271,1.024,93,,,
Netherlands,273,1.002,135,,,
New Zealand,275,1.017,109,,,
Nicaragua,277,1.056,44,,,
Niger,279,1.01,123,,,
Nigeria,281,1.018,107,,,
North Macedonia,283,1.034,78,,,
Norway,285,1.008,127,,,
Oman,287,1.0,139,,,
Pakistan,289,0.999,141,,,
Panama,291,1.039,67,,,
Paraguay,293,1.045,63,,,
Peru,295,1.008,128,,,
Philippines,297,1.06,1,,,
Poland,299,1.06,1,,,
Portugal,301,1.039,71,,,
Qatar,303,0.955,146,,,
Romania,305,1.06,1,,,
Rwanda,307,1.042,65,,,
Saudi Arabia,309,1.009,124,,,
Senegal,311,1.019,106,,,
Serbia,313,1.046,57,,,
Sierra Leone,315,1.015,113,,,
Singapore,317,1.032,80,,,
Slovakia,319,1.06,1,,,
Slovenia,321,1.05,53,,,
South Africa,323,1.057,39,,,
South Korea,325,1.047,56,,,
Spain,327,1.022,100,,,
Sri Lanka,329,1.06,1,,,
Sudan,331,1.012,117,,,
Suriname,333,1.057,41,,,
Sweden,335,1.006,130,,,
Switzerland,337,1.009,125,,,
Tajikistan,339,1.038,74,,,
Thailand,341,1.06,1,,,
Timor-Leste,343,1.037,75,,,
Togo,345,1.057,40,,,
Tunisia,347,1.024,92,,,
Türkiye,349,1.017,108,,,
Uganda,351,1.06,1,,,
Ukraine,353,1.06,1,,,
United Arab Emirates,355,1.005,131,,,
United Kingdom,357,1.014,116,,,
United Republic of Tanzania,359,1.028,88,,,
United States of America,361,1.028,91,,,
Uruguay,363,1.06,1,,,
Uzbekistan,365,1.036,76,,,
Vanuatu,367,1.054,45,,,
Viet Nam,369,1.06,1,,,
Zambia,371,1.06,1,,,
Zimbabwe,373,1.06,1,,,
