code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,1.0289177452769265,79,67.0,1.033,1.0310822547230736
DZA,Algeria,0.9745859405948898,144,59.0,0.99,1.0345859405948898
AGO,Angola,1.0405258327113878,55,90.0,1.05,1.0194741672886123
ARG,Argentina,1.0434458481535025,51,97.0,1.051,1.0165541518464976
ARM,Armenia,1.0849584514177586,1,137.0,1.06,0.9750415485822415
AUS,Australia,1.0166552967029647,98,42.0,1.023,1.0433447032970353
AUT,Austria,1.0195479787363557,90,50.0,1.028,1.0404520212636443
AZE,Azerbaijan,1.031416212348695,52,71.0,1.051,1.028583787651305
BHR,Bahrain,0.9761122185399055,143,57.0,0.993,1.0361122185399054
BGD,Bangladesh,0.9959535407499367,137,11.0,1.002,1.0559535407499367
BRB,Barbados,1.0151828956290174,102,37.0,1.022,1.0448171043709826
BLR,Belarus,1.103255137966824,1,142.0,1.06,0.956744862033176
BEL,Belgium,1.0135114224821453,101,35.0,1.022,1.0464885775178547
BLZ,Belize,1.037500437675792,1,82.0,1.06,1.0224995623242081
BEN,Benin,1.034367840550499,70,76.0,1.039,1.025632159449501
BTN,Bhutan,0.9975333745772179,133,8.0,1.004,1.057533374577218
BOL,Bolivia,0.9972471508005866,136,9.0,1.002,1.0572471508005865
BIH,Bosnia-Herzegovina,1.0408215800394216,58,92.0,1.046,1.0191784199605785
BWA,Botswana,1.0349052400940002,1,78.0,1.06,1.0250947599059999
BRA,Brazil,1.049427150817333,1,110.0,1.06,1.010572849182667
BRN,Brunei,1.022313179745415,115,55.0,1.014,1.037686820254585
BGR,Bulgaria,1.070742479272658,1,127.0,1.06,0.989257520727342
BFA,Burkina Faso,1.0429618083307561,50,96.0,1.054,1.017038191669244
BDI,Burundi,1.039789519107848,38,84.0,1.06,1.0202104808921522
KHM,Cambodia,1.0486828137316242,48,108.0,1.054,1.0113171862683759
CMR,Cameroon,1.0261770813916922,66,62.0,1.04,1.0338229186083079
CAN,Canada,1.0180124508442612,103,46.0,1.021,1.0419875491557389
CPV,Cape Verde,1.0764270773224667,1,133.0,1.06,0.9835729226775334
TCD,Chad,1.0161888624230115,86,41.0,1.029,1.0438111375769885
CHL,Chile,1.020515399081415,83,52.0,1.03,1.039484600918585
CHN,China,1.0461061157163027,64,104.0,1.042,1.0138938842836973
COL,Colombia,1.0435301091247289,61,99.0,1.045,1.0164698908752712
COM,Comoros,1.0106080674662954,95,26.0,1.023,1.0493919325337047
COD,D.R. Congo,1.04049168578473,54,88.0,1.05,1.01950831421527
CRI,Costa Rica,1.033166008875656,69,74.0,1.039,1.026833991124344
CIV,Côte D'Ivoire,1.0409040309268733,43,93.0,1.057,1.0190959690731267
HRV,Croatia,1.0510398689967242,42,112.0,1.057,1.0089601310032759
CYP,Cyprus,1.0122373102337097,110,30.0,1.016,1.0477626897662904
CZE,Czechia,1.0461874023493343,47,105.0,1.054,1.0138125976506658
DNK,Denmark,1.0128043246248921,122,32.0,1.01,1.047195675375108
