country,page_number,score,rank,diff,left,right
Albania,83,0.996,65.0,,,
Algeria,85,0.862,119.0,,,
Angola,87,0.755,130.0,,,
Argentina,89,1.0,1.0,,,
Armenia,91,0.999,58.0,,,
Australia,93,1.0,1.0,,,
Austria,95,1.0,1.0,,,
Azerbaijan,97,0.999,60.0,,,
Bahrain,99,0.973,90.0,,,
Bangladesh,101,0.93,104.0,,,
Barbados,103,1.0,1.0,,,
Belarus,105,1.0,1.0,,,
Belgium,107,1.0,1.0,,,
Belize,109,,,,,
Benin,111,0.629,140.0,,,
Bhutan,113,0.807,126.0,,,
Bolivia,115,0.929,105.0,,,
Bosnia and Herzegovina,117,0.977,87.0,,,
Botswana,119,,,,,
Brazil,121,1.0,1.0,,,
Brunei Darussalam,123,0.986,78.0,,,
Bulgaria,125,0.995,68.0,,,
Burkina Faso,127,0.727,134.0,,,
Burundi,129,0.849,122.0,,,
Cambodia,131,0.904,113.0,,,
Cameroon,133,0.877,117.0,,,
Canada,135,1.0,1.0,,,
Cape Verde,137,0.927,106.0,,,
Chad,139,0.527,143.0,,,
Chile,141,0.999,56.0,,,
China,143,0.966,94.0,,,
Colombia,145,1.0,1.0,,,
Comoros,147,0.855,121.0,,,
"Congo, Democratic Republic of t",149,0.8,127.0,,,
Costa Rica,151,1.0,1.0,,,
Côte D'Ivoire,153,0.931,103.0,,,
Croatia,155,0.996,67.0,,,
Cyprus,157,0.996,66.0,,,
Czechia,159,1.0,1.0,,,
Denmark,161,1.0,1.0,,,
Dominican Republic,163,1.0,1.0,,,
Ecuador,165,0.98,85.0,,,
Egypt,167,0.862,118.0,,,
El Salvador,169,0.965,95.0,,,
Estonia,171,1.0,1.0,,,
Eswatini,173,1.0,1.0,,,
Ethiopia,175,0.75,131.0,,,
Fiji,177,1.0,1.0,,,
Finland,179,1.0,1.0,,,
France,181,1.0,1.0,,,
Gambia,183,0.8,128.0,,,
Georgia,185,0.999,57.0,,,
Germany,187,1.0,1.0,,,
Ghana,189,0.902,116.0,,,
Greece,191,1.0,1.0,,,
Guatemala,193,0.91,110.0,,,
Guinea,195,0.511,144.0,,,
Guyana,197,0.992,75.0,,,
Honduras,199,1.0,1.0,,,
Hungary,201,1.0,1.0,,,
Iceland,203,1.0,1.0,,,
India,205,0.828,124.0,,,
Indonesia,207,0.97,92.0,,,
Iran,209,0.913,109.0,,,
Ireland,211,1.0,1.0,,,
Israel,213,1.0,1.0,,,
Italy,215,0.997,64.0,,,
Jamaica,217,1.0,1.0,,,
Japan,219,1.0,1.0,,,
Jordan,221,0.994,69.0,,,
Kazakhstan,223,0.999,59.0,,,
Kenya,225,0.938,102.0,,,
Kuwait,227,0.983,83.0,,,
Kyrgyzstan,229,0.998,61.0,,,
Lao PDR,231,0.91,111.0,,,
Latvia,233,1.0,1.0,,,
Lebanon,235,0.902,114.0,,,
Lesotho,237,1.0,1.0,,,
Liberia,239,0.544,142.0,,,
Lithuania,241,1.0,1.0,,,
Luxembourg,243,1.0,1.0,,,
Madagascar,245,0.963,97.0,,,
Malaysia,247,1.0,1.0,,,
Maldives,249,1.0,1.0,,,
Mali,251,0.546,141.0,,,
Malta,253,1.0,1.0,,,
Mauritius,255,0.963,96.0,,,
Mexico,257,0.984,81.0,,,
"Moldova, Republic of",259,0.998,61.0,,,
Mongolia,261,1.0,1.0,,,
Montenegro,263,0.991,76.0,,,
Morocco,265,0.807,125.0,,,
Mozambique,267,0.67,138.0,,,
Namibia,269,1.0,1.0,,,
Nepal,271,0.782,129.0,,,
Netherlands,273,1.0,1.0,,,
New Zealand,275,1.0,1.0,,,
Nicaragua,277,1.0,1.0,,,
Niger,279,0.642,139.0,,,
Nigeria,281,0.739,132.0,,,
North Macedonia,283,1.0,1.0,,,
Norway,285,1.0,1.0,,,
Oman,287,0.962,98.0,,,
Pakistan,289,0.671,137.0,,,
Panama,291,0.992,73.0,,,
Paraguay,293,0.992,71.0,,,
Peru,295,0.949,100.0,,,
Philippines,297,1.0,1.0,,,
Poland,299,1.0,1.0,,,
Portugal,301,0.981,84.0,,,
Qatar,303,0.998,63.0,,,
Romania,305,1.0,1.0,,,
Rwanda,307,0.947,101.0,,,
Saudi Arabia,309,0.974,89.0,,,
Senegal,311,0.682,136.0,,,
Serbia,313,0.992,70.0,,,
Sierra Leone,315,0.737,133.0,,,
Singapore,317,0.975,88.0,,,
Slovakia,319,1.0,1.0,,,
Slovenia,321,1.0,1.0,,,
South Africa,323,0.986,79.0,,,
South Korea,325,0.992,72.0,,,
Spain,327,0.992,74.0,,,
Sri Lanka,329,0.983,82.0,,,
Sudan,331,0.857,120.0,,,
Suriname,333,0.968,93.0,,,
Sweden,335,1.0,1.0,,,
Switzerland,337,1.0,1.0,,,
Tajikistan,339,1.0,1.0,,,
Thailand,341,0.972,91.0,,,
Timor-Leste,343,0.907,112.0,,,
Togo,345,0.688,135.0,,,
Tunisia,347,0.84,123.0,,,
Türkiye,349,0.953,99.0,,,
Uganda,351,0.902,115.0,,,
Ukraine,353,1.0,1.0,,,
United Arab Emirates,355,0.987,77.0,,,
United Kingdom,357,1.0,1.0,,,
United Republic of Tanzania,359,0.92,108.0,,,
United States of America,361,1.0,1.0,,,
Uruguay,363,1.0,1.0,,,
Uzbekistan,365,1.0,1.0,,,
Vanuatu,367,0.984,80.0,,,
Viet Nam,369,0.978,86.0,,,
Zambia,371,0.926,107.0,,,
Zimbabwe,373,1.0,1.0,,,
