code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.98989898989899,65.0,47.0,0.996,0.98989898989899
DZA,Algeria,0.8620689655172413,119.0,119.0,0.862,0.8620689655172413
AGO,Angola,0.7590361445783133,130.0,130.0,0.755,0.7590361445783133
ARG,Argentina,,1.0,1.0,1.0,1.0
ARM,Armenia,,58.0,32.0,0.999,0.999
AUS,Australia,,1.0,1.0,1.0,1.0
AUT,Austria,1.0093496038525978,1.0,43.0,1.0,0.9906503961474022
AZE,Azerbaijan,,60.0,32.0,0.999,0.999
BHR,Bahrain,0.978494623655914,90.0,64.0,0.973,0.978494623655914
BGD,Bangladesh,0.88,104.0,115.0,0.93,0.88
BRB,Barbados,,1.0,1.0,1.0,1.0
BLR,Belarus,,1.0,1.0,1.0,1.0
BEL,Belgium,,1.0,1.0,1.0,1.0
BLZ,Belize,1.0125,,54.0,,0.9875
BEN,Benin,0.4888888888888889,140.0,146.0,0.629,0.48888888888888893
BTN,Bhutan,0.810126582278481,126.0,125.0,0.807,0.810126582278481
BOL,Bolivia,,105.0,98.0,0.929,0.929
BIH,Bosnia-Herzegovina,0.9797979797979798,87.0,62.0,0.977,0.9797979797979798
BWA,Botswana,1.0116279069767442,,52.0,,0.9883720930232558
BRA,Brazil,1.0106382978723405,1.0,51.0,1.0,0.9893617021276595
BRN,Brunei,0.9897959183673469,78.0,49.0,0.986,0.9897959183673469
BGR,Bulgaria,0.98989898989899,68.0,47.0,0.995,0.98989898989899
BFA,Burkina Faso,0.725,134.0,135.0,0.727,0.725
BDI,Burundi,0.8414634146341463,122.0,122.0,0.849,0.8414634146341463
KHM,Cambodia,0.9090909090909091,113.0,107.0,0.904,0.9090909090909091
CMR,Cameroon,0.8795180722891566,117.0,116.0,0.877,0.8795180722891566
CAN,Canada,1.009921648027962,1.0,44.0,1.0,0.990078351972038
CPV,Cape Verde,0.9361702127659575,106.0,95.0,0.927,0.9361702127659575
TCD,Chad,0.5277777777777778,143.0,144.0,0.527,0.5277777777777778
CHL,Chile,0.993336188365219,56.0,39.0,0.999,0.993336188365219
CHN,China,,94.0,77.0,0.966,0.966
COL,Colombia,,1.0,1.0,1.0,1.0
COM,Comoros,0.8507462686567164,121.0,121.0,0.855,0.8507462686567164
COD,D.R. Congo,0.8,127.0,127.0,0.8,0.8
CRI,Costa Rica,1.0,1.0,1.0,1.0,1.0
CIV,Côte D'Ivoire,0.5769230769230769,103.0,141.0,0.931,0.5769230769230769
HRV,Croatia,0.99,67.0,45.0,0.996,0.99
CYP,Cyprus,0.99,66.0,45.0,0.996,0.99
CZE,Czechia,1.0358553292955506,1.0,80.0,1.0,0.9641446707044494
DNK,Denmark,1.0486470922295656,1.0,88.0,1.0,0.9513529077704344
DOM,Dominican Republic,1.0105263157894737,1.0,50.0,1.0,0.9894736842105263
ECU,Ecuador,,85.0,61.0,0.98,0.98
EGY,Egypt,0.8625,118.0,118.0,0.862,0.8625
SLV,El Salvador,,95.0,79.0,0.965,0.965
EST,Estonia,1.0930161011720614,1.0,109.0,1.0,0.9069838988279386
SWZ,Eswatini,1.0,1.0,1.0,1.0,1.0
ETH,Ethiopia,0.7457627118644068,131.0,133.0,0.75,0.7457627118644068
FJI,Fiji,,1.0,1.0,1.0,1.0
FIN,Finland,1.0437239134800622,1.0,85.0,1.0,0.9562760865199378
FRA,France,1.0492235087951003,1.0,89.0,1.0,0.9507764912048997
GMB,Gambia,0.8,128.0,127.0,0.8,0.8
GEO,Georgia,,57.0,32.0,0.999,0.999
DEU,Germany,1.0492440428105994,1.0,90.0,1.0,0.9507559571894006
GHA,Ghana,,116.0,112.0,0.902,0.902
GRC,Greece,,1.0,1.0,1.0,1.0
GTM,Guatemala,0.9090909090909091,110.0,107.0,0.91,0.9090909090909091
GIN,Guinea,0.5081967213114754,144.0,145.0,0.511,0.5081967213114754
GUY,Guyana,1.0,75.0,1.0,0.992,1.0
HND,Honduras,,1.0,1.0,1.0,1.0
HUN,Hungary,1.0892042159919846,1.0,106.0,1.0,0.9107957840080154
ISL,Iceland,,1.0,1.0,1.0,1.0
IND,India,,124.0,124.0,0.828,0.828
IDN,Indonesia,,92.0,72.0,0.97,0.97
IRN,Iran,0.9139784946236559,109.0,104.0,0.913,0.9139784946236559
IRL,Ireland,1.0534445604810447,1.0,93.0,1.0,0.9465554395189553
ISR,Israel,1.0883584602081002,1.0,105.0,1.0,0.9116415397918998
ITA,Italy,1.0656581487186456,64.0,96.0,0.997,0.9343418512813544
JAM,Jamaica,,1.0,1.0,1.0,1.0
JPN,Japan,1.0249752995614203,1.0,67.0,1.0,0.9750247004385797
JOR,Jordan,,69.0,38.0,0.994,0.994
KAZ,Kazakhstan,1.0,59.0,1.0,0.999,1.0
KEN,Kenya,0.9302325581395349,102.0,97.0,0.938,0.9302325581395349
KWT,Kuwait,,83.0,59.0,0.983,0.983
KGZ,Kyrgyzstan,1.0,61.0,1.0,0.998,1.0
