country,page_number,score,rank,diff,left,right
Albania,83,1.0,1,0.0,50.0,50.0
Algeria,85,0.167,107,-71.43,14.29,85.71
Angola,87,0.643,26,-21.74,39.13,60.87
Argentina,89,0.5,36,-33.33,33.33,66.67
Armenia,91,0.2,98,-66.67,16.67,83.33
Australia,93,0.833,17,-9.09,45.45,54.55
Austria,95,0.333,65,-50.0,25.0,75.0
Azerbaijan,97,0.0,143,-100.0,0.0,100.0
Bahrain,99,0.278,76,-56.52,21.74,78.26
Bangladesh,101,0.091,126,-83.33,8.33,91.67
Barbados,103,0.333,65,-50.0,25.0,75.0
Belarus,105,0.046,141,-91.3,4.35,95.65
Belgium,107,1.0,1,14.29,42.86,57.14
Belize,109,0.067,133,-87.5,6.25,93.75
Benin,111,0.313,73,-52.38,23.81,76.19
Bhutan,113,0.125,116,-77.78,11.11,88.89
Bolivia,115,0.417,52,-41.18,29.41,70.59
Bosnia and Herzegovina,117,0.125,116,-77.78,11.11,88.89
Botswana,119,0.2,98,-66.67,16.67,83.33
Brazil,121,0.409,56,-41.94,29.03,70.97
Brunei Darussalam,123,0.111,123,-80.0,10.0,90.0
Bulgaria,125,0.267,80,-57.89,21.05,78.95
Burkina Faso,127,0.111,123,-80.0,10.0,90.0
Burundi,129,0.5,36,-33.33,33.33,66.67
Cambodia,131,0.125,116,-77.78,11.11,88.89
Cameroon,133,0.172,106,-70.59,14.71,85.29
Canada,135,0.79,18,-11.76,44.12,55.88
Cape Verde,137,0.455,48,-37.5,31.25,68.75
Chad,139,0.208,96,-65.52,17.24,82.76
Chile,141,1.0,1,8.33,45.83,54.17
China,143,0.044,142,-91.67,4.17,95.83
Colombia,145,0.727,21,-15.79,42.11,57.89
Comoros,147,0.083,127,-84.62,7.69,92.31
"Congo, Democratic Republic of t",149,0.257,85,-59.09,20.45,79.55
Costa Rica,151,0.692,23,-18.18,40.91,59.09
Côte D'Ivoire,153,0.24,86,-61.29,19.35,80.65
Croatia,155,0.231,88,-62.5,18.75,81.25
Cyprus,157,0.6,28,-25.0,37.5,62.5
Czechia,159,0.071,131,-86.67,6.67,93.33
Denmark,161,0.429,49,-40.0,30.0,70.0
Dominican Republic,163,0.1,125,-81.82,9.09,90.91
Ecuador,165,1.0,1,0.0,50.0,50.0
Egypt,167,0.231,88,-62.5,18.75,81.25
El Salvador,169,0.6,28,-25.0,37.5,62.5
Estonia,171,0.5,36,-33.33,33.33,66.67
Eswatini,173,0.357,61,-47.37,26.32,73.68
Ethiopia,175,0.571,31,-27.27,36.36,63.64
Fiji,177,0.056,136,-89.47,5.26,94.74
Finland,179,1.0,1,26.32,36.84,63.16
France,181,0.889,15,-5.88,47.06,52.94
Gambia,183,0.177,103,-70.0,15.0,85.0
Georgia,185,0.2,98,-66.67,16.67,83.33
Germany,187,0.875,16,-6.67,46.67,53.33
Ghana,189,0.208,96,-65.52,17.24,82.76
Greece,191,0.333,65,-50.0,25.0,75.0
Guatemala,193,0.75,19,-14.29,42.86,57.14
Guinea,195,0.35,64,-48.15,25.93,74.07
Guyana,197,0.546,34,-29.41,35.29,64.71
Honduras,199,0.615,27,-23.81,38.1,61.9
Hungary,201,0.0,143,-100.0,0.0,100.0
Iceland,203,1.0,1,0.0,50.0,50.0
India,205,0.069,132,-87.1,6.45,93.55
Indonesia,207,0.261,84,-58.62,20.69,79.31
Iran,209,0.053,137,-90.0,5.0,95.0
Ireland,211,0.4,57,-42.86,28.57,71.43
Israel,213,0.12,122,-78.57,10.71,89.29
Italy,215,0.333,65,-50.0,25.0,75.0
Jamaica,217,0.364,60,-46.67,26.67,73.33
Japan,219,0.333,65,-50.0,25.0,75.0
Jordan,221,0.286,75,-55.56,22.22,77.78
Kazakhstan,223,0.167,107,-71.43,14.29,85.71
Kenya,225,0.467,45,-36.36,31.82,68.18
Kuwait,227,0.077,130,-85.71,7.14,92.86
Kyrgyzstan,229,0.143,112,-75.0,12.5,87.5
Lao PDR,231,0.214,91,-64.71,17.65,82.35
Latvia,233,0.4,57,-42.86,28.57,71.43
Lebanon,235,0.048,140,-90.91,4.55,95.45
Lesotho,237,0.133,115,-76.47,11.76,88.24
Liberia,239,0.417,52,-41.18,29.41,70.59
Lithuania,241,0.556,33,-28.57,35.71,64.29
Luxembourg,243,0.5,36,-33.33,33.33,66.67
Madagascar,245,0.368,59,-46.15,26.92,73.08
Malaysia,247,0.08,129,-85.19,7.41,92.59
Maldives,249,0.158,111,-72.73,13.64,86.36
Mali,251,0.217,90,-64.29,17.86,82.14
Malta,253,0.125,116,-77.78,11.11,88.89
Mauritius,255,0.211,94,-65.22,17.39,82.61
Mexico,257,0.727,21,-15.79,42.11,57.89
"Moldova, Republic of",259,0.273,77,-57.14,21.43,78.57
Mongolia,261,0.143,112,-75.0,12.5,87.5
Montenegro,263,0.267,80,-57.89,21.05,78.95
Morocco,265,0.357,61,-47.37,26.32,73.68
Mozambique,267,1.0,1,0.0,50.0,50.0
Namibia,269,0.462,46,-36.84,31.58,68.42
Nepal,271,0.235,87,-61.9,19.05,80.95
Netherlands,273,1.0,1,0.0,50.0,50.0
New Zealand,275,0.647,25,-21.43,39.29,60.71
Nicaragua,277,1.0,1,25.0,37.5,62.5
Niger,279,0.267,80,-57.89,21.05,78.95
Nigeria,281,0.214,91,-64.71,17.65,82.35
North Macedonia,283,0.333,65,-50.0,25.0,75.0
Norway,285,1.0,1,5.26,47.37,52.63
Oman,287,0.177,103,-70.0,15.0,85.0
Pakistan,289,0.063,134,-88.24,5.88,94.12
Panama,291,0.546,34,-29.41,35.29,64.71
Paraguay,293,0.308,74,-52.94,23.53,76.47
Peru,295,0.583,30,-26.32,36.84,63.16
Philippines,297,0.211,94,-65.22,17.39,82.61
Poland,299,0.429,49,-40.0,30.0,70.0
Portugal,301,1.0,1,5.88,47.06,52.94
Qatar,303,0.188,101,-68.42,15.79,84.21
Romania,305,0.5,36,-33.33,33.33,66.67
Rwanda,307,0.429,49,-40.0,30.0,70.0
Saudi Arabia,309,0.0,143,-100.0,0.0,100.0
Senegal,311,0.214,91,-64.71,17.65,82.35
Serbia,313,0.667,24,-20.0,40.0,60.0
Sierra Leone,315,0.5,36,-33.33,33.33,66.67
Singapore,317,0.167,107,-71.43,14.29,85.71
Slovakia,319,0.273,77,-57.14,21.43,78.57
Slovenia,321,0.462,46,-36.84,31.58,68.42
South Africa,323,1.0,1,0.0,50.0,50.0
South Korea,325,0.417,52,-41.18,29.41,70.59
Spain,327,1.0,1,0.0,50.0,50.0
Sri Lanka,329,0.053,137,-90.0,5.0,95.0
Sudan,331,0.083,127,-84.62,7.69,92.31
Suriname,333,0.417,52,-41.18,29.41,70.59
Sweden,335,0.917,14,-4.35,47.83,52.17
Switzerland,337,0.75,19,-14.29,42.86,57.14
Tajikistan,339,0.167,107,-71.43,14.29,85.71
Thailand,341,0.188,101,-68.42,15.79,84.21
Timor-Leste,343,0.177,103,-70.0,15.0,85.0
Togo,345,0.474,44,-35.71,32.14,67.86
