code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,1.0,1,1.0,1.0,1.0
DZA,Algeria,0.1667250029168125,107,107.0,0.167,0.1667250029168125
AGO,Angola,0.642845408247084,26,24.0,0.643,0.642845408247084
ARG,Argentina,0.49992500374981247,36,36.0,0.5,0.49992500374981247
ARM,Armenia,0.20004800192007682,98,98.0,0.2,0.20004800192007682
AUS,Australia,0.8331805682859763,17,14.0,0.833,0.8331805682859763
AUT,Austria,0.3333333333333333,65,65.0,0.333,0.3333333333333333
AZE,Azerbaijan,0.0,143,143.0,0.0,0.0
BHR,Bahrain,0.27779197546639406,76,76.0,0.278,0.27779197546639406
BGD,Bangladesh,0.09086942293007527,126,126.0,0.091,0.09086942293007527
BRB,Barbados,0.3333333333333333,65,65.0,0.333,0.3333333333333333
BLR,Belarus,0.04547830632514375,141,141.0,0.046,0.04547830632514375
BEL,Belgium,0.7500875043752188,1,16.0,1.0,0.7500875043752188
BLZ,Belize,0.06666666666666667,133,133.0,0.067,0.06666666666666667
BEN,Benin,0.3125082031762698,73,73.0,0.313,0.3125082031762698
BTN,Bhutan,0.12498593767577905,116,116.0,0.125,0.12498593767577905
BOL,Bolivia,0.4166312508853945,52,52.0,0.417,0.4166312508853945
BIH,Bosnia-Herzegovina,0.12498593767577905,116,116.0,0.125,0.12498593767577905
BWA,Botswana,0.20004800192007682,98,98.0,0.2,0.20004800192007682
BRA,Brazil,0.4090460758066789,56,56.0,0.409,0.4090460758066789
BRN,Brunei,0.1111111111111111,123,123.0,0.111,0.1111111111111111
BGR,Bulgaria,0.26662444585180495,80,80.0,0.267,0.26662444585180495
BFA,Burkina Faso,0.1111111111111111,123,123.0,0.111,0.1111111111111111
BDI,Burundi,0.49992500374981247,36,36.0,0.5,0.49992500374981247
KHM,Cambodia,0.12498593767577905,116,116.0,0.125,0.12498593767577905
CMR,Cameroon,0.17247039512252316,106,106.0,0.172,0.17247039512252316
CAN,Canada,0.7895490336435218,18,15.0,0.79,0.7895490336435218
CPV,Cape Verde,0.45454545454545453,48,48.0,0.455,0.45454545454545453
TCD,Chad,0.20831319478008697,96,96.0,0.208,0.20831319478008697
CHL,Chile,0.8460402436773121,1,13.0,1.0,0.8460402436773121
CHN,China,0.04351455702807054,142,142.0,0.044,0.04351455702807054
COL,Colombia,0.7274140611504577,21,19.0,0.727,0.7274140611504577
COM,Comoros,0.08330625067706642,127,127.0,0.083,0.08330625067706642
COD,D.R. Congo,0.257071024512885,85,85.0,0.257,0.257071024512885
CRI,Costa Rica,0.6923337282112032,23,21.0,0.692,0.6923337282112032
CIV,Côte D'Ivoire,0.23992560446373218,86,86.0,0.24,0.23992560446373218
HRV,Croatia,0.23076923076923078,88,88.0,0.231,0.23076923076923078
CYP,Cyprus,0.6,28,26.0,0.6,0.6
CZE,Czechia,0.07146683810136076,131,131.0,0.071,0.07146683810136076
DNK,Denmark,0.42857142857142855,49,49.0,0.429,0.42857142857142855
DOM,Dominican Republic,0.09998900010999891,125,125.0,0.1,0.09998900010999891
ECU,Ecuador,1.0,1,1.0,1.0,1.0
EGY,Egypt,0.23076923076923078,88,88.0,0.231,0.23076923076923078
SLV,El Salvador,0.6,28,26.0,0.6,0.6
EST,Estonia,0.49992500374981247,36,36.0,0.5,0.49992500374981247
SWZ,Eswatini,0.3572204125950054,61,61.0,0.357,0.3572204125950054
ETH,Ethiopia,0.5713387806411062,31,31.0,0.571,0.5713387806411062
FJI,Fiji,0.055520371543170785,136,136.0,0.056,0.055520371543170785
FIN,Finland,0.5832805573147563,1,29.0,1.0,0.5832805573147563
FRA,France,0.8889308651303363,15,10.0,0.889,0.8889308651303363
GMB,Gambia,0.17647058823529413,103,103.0,0.177,0.17647058823529413
GEO,Georgia,0.20004800192007682,98,98.0,0.2,0.20004800192007682
DEU,Germany,0.8751171948246766,16,12.0,0.875,0.8751171948246766
GHA,Ghana,0.20831319478008697,96,96.0,0.208,0.20831319478008697
GRC,Greece,0.3333333333333333,65,65.0,0.333,0.3333333333333333
GTM,Guatemala,0.7500875043752188,19,16.0,0.75,0.7500875043752188
GIN,Guinea,0.35007425408397463,64,64.0,0.35,0.35007425408397463
GUY,Guyana,0.5453562046051615,34,34.0,0.546,0.5453562046051615
HND,Honduras,0.6155088852988692,27,25.0,0.615,0.6155088852988692
HUN,Hungary,0.0,143,143.0,0.0,0.0
ISL,Iceland,1.0,1,1.0,1.0,1.0
IND,India,0.06894708711918761,132,132.0,0.069,0.06894708711918761
IDN,Indonesia,0.2608750472828143,84,84.0,0.261,0.2608750472828143
IRN,Iran,0.05263157894736842,137,137.0,0.053,0.05263157894736842
IRL,Ireland,0.39997200055998877,57,57.0,0.4,0.39997200055998877
ISR,Israel,0.11994624258035615,122,122.0,0.12,0.11994624258035615
ITA,Italy,0.3333333333333333,65,65.0,0.333,0.3333333333333333
JAM,Jamaica,0.3636983499249966,60,60.0,0.364,0.3636983499249966
JPN,Japan,0.3333333333333333,65,65.0,0.333,0.3333333333333333
JOR,Jordan,0.28567755206994083,75,75.0,0.286,0.28567755206994083
KAZ,Kazakhstan,0.1667250029168125,107,107.0,0.167,0.1667250029168125
KEN,Kenya,0.4667057788207685,45,45.0,0.467,0.4667057788207685
KWT,Kuwait,0.07688994184794314,130,130.0,0.077,0.07688994184794314
KGZ,Kyrgyzstan,0.14285714285714285,112,112.0,0.143,0.14285714285714285
LAO,Laos,0.2143290831815422,91,91.0,0.214,0.2143290831815422
LVA,Latvia,0.39997200055998877,57,57.0,0.4,0.39997200055998877
LBN,Lebanon,0.047668936616029334,140,140.0,0.048,0.047668936616029334
LSO,Lesotho,0.1332728921124207,115,115.0,0.133,0.1332728921124207
LBR,Liberia,0.4166312508853945,52,52.0,0.417,0.4166312508853945
LTU,Lithuania,0.5554518587649712,33,33.0,0.556,0.5554518587649712
LUX,Luxembourg,0.49992500374981247,36,36.0,0.5,0.49992500374981247
MDG,Madagascar,0.3683634373289546,59,59.0,0.368,0.3683634373289546
MYS,Malaysia,0.0800302408467437,129,129.0,0.08,0.0800302408467437
MDV,Maldives,0.15794349235757296,111,111.0,0.158,0.15794349235757296
MLI,Mali,0.2174336498660823,90,90.0,0.217,0.2174336498660823
MLT,Malta,0.12498593767577905,116,116.0,0.125,0.12498593767577905
MUS,Mauritius,0.21050720251785499,94,94.0,0.211,0.21050720251785499
MEX,Mexico,0.7274140611504577,21,19.0,0.727,0.7274140611504577
MDA,Moldova,0.27275041364388447,77,77.0,0.273,0.27275041364388447
MNG,Mongolia,0.14285714285714285,112,112.0,0.143,0.14285714285714285
MNE,Montenegro,0.26662444585180495,80,80.0,0.267,0.26662444585180495
MAR,Morocco,0.3572204125950054,61,61.0,0.357,0.3572204125950054
MOZ,Mozambique,1.0,1,1.0,1.0,1.0
NAM,Namibia,0.4615609470914937,46,46.0,0.462,0.4615609470914937
NPL,Nepal,0.23533045089561458,87,87.0,0.235,0.23533045089561458
NLD,Netherlands,1.0,1,1.0,1.0,1.0
NZL,New Zealand,0.647175094712568,25,23.0,0.647,0.647175094712568
NIC,Nicaragua,0.6,1,26.0,1.0,0.6
NER,Niger,0.26662444585180495,80,80.0,0.267,0.26662444585180495
NGA,Nigeria,0.2143290831815422,91,91.0,0.214,0.2143290831815422
MKD,North Macedonia,0.3333333333333333,65,65.0,0.333,0.3333333333333333
NOR,Norway,0.9000570017100512,1,9.0,1.0,0.9000570017100512
OMN,Oman,0.17647058823529413,103,103.0,0.177,0.17647058823529413
PAK,Pakistan,0.062473438164045894,134,134.0,0.063,0.062473438164045894
PAN,Panama,0.5453562046051615,34,34.0,0.546,0.5453562046051615
PRY,Paraguay,0.30770236694128417,74,74.0,0.308,0.30770236694128417
PER,Peru,0.5832805573147563,30,29.0,0.583,0.5832805573147563
PHL,Philippines,0.21050720251785499,94,94.0,0.211,0.21050720251785499
POL,Poland,0.42857142857142855,49,49.0,0.429,0.42857142857142855
PRT,Portugal,0.8889308651303363,1,10.0,1.0,0.8889308651303363
