code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.5552099533437015,40.0,40.0,0.555,0.5552099533437015
DZA,Algeria,0.08577633007600435,132.0,132.0,0.086,0.08577633007600435
AGO,Angola,0.6286644951140066,28.0,28.0,0.629,0.6286644951140066
ARG,Argentina,0.736111111111111,21.0,20.0,0.736,0.736111111111111
ARM,Armenia,0.5748031496062992,38.0,38.0,0.575,0.5748031496062992
AUS,Australia,0.6129032258064516,33.0,33.0,0.613,0.6129032258064516
AUT,Austria,0.6778523489932885,24.0,23.0,0.678,0.6778523489932885
AZE,Azerbaijan,0.221001221001221,108.0,108.0,0.221,0.221001221001221
BHR,Bahrain,0.25,94.0,94.0,0.25,0.25
BGD,Bangladesh,0.25,94.0,94.0,0.25,0.25
BRB,Barbados,0.36425648021828105,74.0,74.0,0.364,0.36425648021828105
BLR,Belarus,0.5060240963855421,48.0,48.0,0.506,0.5060240963855421
BEL,Belgium,0.7452006980802793,19.0,18.0,0.745,0.7452006980802793
BLZ,Belize,0.1848341232227488,115.0,115.0,0.185,0.1848341232227488
BEN,Benin,0.3623978201634877,75.0,75.0,0.362,0.3623978201634877
BTN,Bhutan,0.04493207941483803,138.0,138.0,0.045,0.04493207941483803
BOL,Bolivia,0.858736059479554,8.0,6.0,0.859,0.858736059479554
BIH,Bosnia-Herzegovina,0.23609394313967863,105.0,105.0,0.236,0.23609394313967863
BWA,Botswana,0.124859392575928,127.0,127.0,0.125,0.124859392575928
BRA,Brazil,0.21212121212121213,110.0,110.0,0.212,0.21212121212121213
BRN,Brunei,0.13378684807256236,126.0,126.0,0.134,0.13378684807256236
BGR,Bulgaria,0.34048257372654156,79.0,79.0,0.341,0.34048257372654156
BFA,Burkina Faso,0.20336943441636582,111.0,111.0,0.203,0.20336943441636582
BDI,Burundi,0.6181229773462784,32.0,32.0,0.618,0.6181229773462784
KHM,Cambodia,0.15740740740740738,121.0,121.0,0.157,0.15740740740740738
CMR,Cameroon,0.5128593040847201,45.0,45.0,0.513,0.5128593040847201
CAN,Canada,0.4367816091954023,55.0,55.0,0.437,0.4367816091954023
CPV,Cape Verde,0.6366612111292962,26.0,25.0,0.637,0.6366612111292962
TCD,Chad,0.3531799729364005,77.0,77.0,0.353,0.3531799729364005
CHL,Chile,0.5503875968992248,41.0,41.0,0.55,0.5503875968992248
CHN,China,0.36054421768707484,76.0,76.0,0.361,0.36054421768707484
COL,Colombia,0.40646976090014064,63.0,63.0,0.407,0.40646976090014064
COM,Comoros,0.20048019207683074,112.0,112.0,0.201,0.20048019207683074
COD,D.R. Congo,0.14678899082568808,125.0,125.0,0.147,0.14678899082568808
CRI,Costa Rica,0.9011406844106463,6.0,4.0,0.901,0.9011406844106463
CIV,Côte D'Ivoire,0.15473441108545036,123.0,123.0,0.155,0.15473441108545036
HRV,Croatia,0.5105740181268882,47.0,47.0,0.511,0.5105740181268882
CYP,Cyprus,0.16686114352392065,120.0,120.0,0.167,0.16686114352392065
CZE,Czechia,0.35135135135135137,78.0,78.0,0.351,0.35135135135135137
DNK,Denmark,0.8281535648994515,13.0,12.0,0.828,0.8281535648994515
DOM,Dominican Republic,0.3869625520110957,66.0,66.0,0.387,0.3869625520110957
ECU,Ecuador,0.757469244288225,18.0,17.0,0.758,0.757469244288225
EGY,Egypt,0.3831258644536653,68.0,68.0,0.383,0.3831258644536653
SLV,El Salvador,,,,,
EST,Estonia,0.422475106685633,56.0,56.0,0.423,0.422475106685633
SWZ,Eswatini,0.2755102040816326,91.0,91.0,0.276,0.2755102040816326
ETH,Ethiopia,0.7035775127768312,22.0,21.0,0.704,0.7035775127768312
FJI,Fiji,0.1001100110011001,130.0,130.0,0.1,0.1001100110011001
FIN,Finland,0.8518518518518519,11.0,10.0,0.852,0.8518518518518519
FRA,France,0.5948963317384369,37.0,37.0,0.595,0.5948963317384369
GMB,Gambia,0.09409190371991247,131.0,131.0,0.094,0.09409190371991247
GEO,Georgia,0.23915737298636927,102.0,102.0,0.239,0.23915737298636927
DEU,Germany,0.5455950540958269,42.0,42.0,0.546,0.5455950540958269
GHA,Ghana,0.17096018735362997,118.0,118.0,0.171,0.17096018735362997
GRC,Greece,0.2987012987012987,87.0,87.0,0.299,0.2987012987012987
GTM,Guatemala,0.25,94.0,94.0,0.25,0.25
GIN,Guinea,0.4204545454545454,57.0,57.0,0.421,0.4204545454545454
GUY,Guyana,0.6501650165016502,25.0,24.0,0.65,0.6501650165016502
HND,Honduras,0.37551581843191195,70.0,70.0,0.376,0.37551581843191195
HUN,Hungary,0.17096018735362997,118.0,118.0,0.171,0.17096018735362997
ISL,Iceland,0.9083969465648856,5.0,3.0,0.908,0.9083969465648856
IND,India,0.17233294255568582,117.0,117.0,0.172,0.17233294255568582
IDN,Indonesia,,,,,
IRN,Iran,0.05932203389830508,134.0,134.0,0.059,0.05932203389830508
IRL,Ireland,0.30039011703511054,86.0,86.0,0.3,0.30039011703511054
ISR,Israel,0.3333333333333333,81.0,81.0,0.333,0.3333333333333333
ITA,Italy,0.4771048744460856,51.0,51.0,0.477,0.4771048744460856
JAM,Jamaica,0.3774104683195592,69.0,69.0,0.377,0.3774104683195592
JPN,Japan,0.11482720178372352,129.0,129.0,0.115,0.11482720178372352
JOR,Jordan,0.15074798619102414,124.0,124.0,0.151,0.15074798619102414
KAZ,Kazakhstan,0.24069478908188585,100.0,100.0,0.241,0.24069478908188585
KEN,Kenya,0.30378096479791394,85.0,85.0,0.304,0.30378096479791394
KWT,Kuwait,0.03199174406604747,140.0,140.0,0.032,0.03199174406604747
KGZ,Kyrgyzstan,0.2674271229404309,92.0,92.0,0.267,0.2674271229404309
LAO,Laos,0.28205128205128205,90.0,90.0,0.282,0.28205128205128205
LVA,Latvia,0.47058823529411764,52.0,52.0,0.471,0.47058823529411764
LBN,Lebanon,0.0672358591248666,133.0,133.0,0.067,0.0672358591248666
LSO,Lesotho,0.3333333333333333,81.0,81.0,0.333,0.3333333333333333
LBR,Liberia,0.12359550561797752,128.0,128.0,0.124,0.12359550561797752
LTU,Lithuania,0.4144271570014144,60.0,60.0,0.414,0.4144271570014144
LUX,Luxembourg,0.49925037481259366,49.0,49.0,0.499,0.49925037481259366
MDG,Madagascar,0.22699386503067484,107.0,107.0,0.227,0.22699386503067484
MYS,Malaysia,0.15606936416184972,122.0,122.0,0.156,0.15606936416184972
MDV,Maldives,0.05263157894736842,136.0,136.0,0.053,0.05263157894736842
MLI,Mali,0.4005602240896358,64.0,64.0,0.401,0.4005602240896358
MLT,Malta,0.3869625520110957,66.0,66.0,0.387,0.3869625520110957
MUS,Mauritius,0.25,94.0,94.0,0.25,0.25
MEX,Mexico,0.9841269841269842,1.0,2.0,1.0,0.9841269841269842
MDA,Moldova,0.6891891891891891,23.0,22.0,0.689,0.6891891891891891
MNG,Mongolia,0.221001221001221,108.0,108.0,0.221,0.221001221001221
MNE,Montenegro,0.37362637362637363,72.0,72.0,0.374,0.37362637362637363
MAR,Morocco,0.32100396301188905,83.0,83.0,0.321,0.32100396301188905
MOZ,Mozambique,0.7605633802816902,17.0,16.0,0.761,0.7605633802816902
NAM,Namibia,0.7921146953405018,16.0,15.0,0.792,0.7921146953405018
NPL,Nepal,0.4947683109118087,50.0,50.0,0.495,0.4947683109118087
NLD,Netherlands,0.6313213703099512,27.0,26.0,0.631,0.6313213703099512
NZL,New Zealand,0.8348623853211009,12.0,11.0,0.835,0.8348623853211009
NIC,Nicaragua,0.8552875695732839,1.0,8.0,1.0,0.8552875695732839
NER,Niger,,,,,
NGA,Nigeria,0.04058272632674298,139.0,139.0,0.041,0.04058272632674298
MKD,North Macedonia,0.7391304347826086,20.0,19.0,0.739,0.7391304347826086
NOR,Norway,0.7985611510791366,14.0,13.0,0.799,0.7985611510791366
OMN,Oman,0.0,142.0,142.0,0.0,0.0
PAK,Pakistan,0.19331742243436753,113.0,113.0,0.193,0.19331742243436753
PAN,Panama,0.2903225806451613,89.0,89.0,0.29,0.2903225806451613
PRY,Paraguay,0.3123359580052493,84.0,84.0,0.312,0.3123359580052493
PER,Peru,0.6260162601626016,29.0,29.0,0.626,0.6260162601626016
PHL,Philippines,0.37551581843191195,70.0,70.0,0.376,0.37551581843191195
POL,Poland,0.4204545454545454,57.0,57.0,0.421,0.4204545454545454
PRT,Portugal,0.5748031496062992,38.0,38.0,0.575,0.5748031496062992
QAT,Qatar,0.04602510460251047,137.0,137.0,0.046,0.04602510460251047
ROU,Romania,0.2376237623762376,103.0,103.0,0.238,0.2376237623762376
RWA,Rwanda,0.6313213703099512,1.0,26.0,1.0,0.6313213703099512
SAU,Saudi Arabia,0.2484394506866417,98.0,98.0,0.248,0.2484394506866417
SEN,Senegal,0.8552875695732839,10.0,8.0,0.855,0.8552875695732839
SRB,Serbia,0.6129032258064516,33.0,33.0,0.613,0.6129032258064516
SLE,Sierra Leone,0.41843971631205673,59.0,59.0,0.418,0.41843971631205673
SGP,Singapore,0.4144271570014144,60.0,60.0,0.414,0.4144271570014144
SVK,Slovakia,0.2936610608020699,88.0,88.0,0.294,0.2936610608020699
SVN,Slovenia,0.607717041800643,35.0,35.0,0.608,0.607717041800643
ZAF,South Africa,0.858736059479554,8.0,6.0,0.859,0.858736059479554
KOR,South Korea,0.2376237623762376,103.0,103.0,0.238,0.2376237623762376
ESP,Spain,0.7953321364452423,15.0,14.0,0.795,0.7953321364452423
LKA,Sri Lanka,0.05596620908130939,135.0,135.0,0.056,0.05596620908130939
SDN,Sudan,,,,,
SUR,Suriname,0.4577259475218659,53.0,53.0,0.458,0.4577259475218659
SWE,Sweden,0.876172607879925,7.0,5.0,0.876,0.876172607879925
CHE,Switzerland,0.6260162601626016,29.0,29.0,0.626,0.6260162601626016
TJK,Tajikistan,0.3698630136986301,73.0,73.0,0.37,0.3698630136986301
THA,Thailand,0.24069478908188585,100.0,100.0,0.241,0.24069478908188585
TLS,Timor-Leste,0.6260162601626016,29.0,29.0,0.626,0.6260162601626016
TGO,Togo,0.23304562268803947,106.0,106.0,0.233,0.23304562268803947
TUN,Tunisia,0.18623962040332148,114.0,114.0,0.186,0.18623962040332148
TUR,Türkiye,0.2484394506866417,98.0,98.0,0.248,0.2484394506866417
UGA,Uganda,0.5128593040847201,45.0,45.0,0.513,0.5128593040847201
UKR,Ukraine,0.2674271229404309,92.0,92.0,0.267,0.2674271229404309
ARE,United Arab Emirates,1.0,1.0,1.0,1.0,1.0
GBR,United Kingdom,0.5337423312883435,43.0,43.0,0.534,0.5337423312883435
TZA,Tanzania,0.597444089456869,36.0,36.0,0.597,0.597444089456869
USA,United States,0.4124293785310735,62.0,62.0,0.412,0.4124293785310735
URY,Uruguay,0.3386880856760375,80.0,80.0,0.339,0.3386880856760375
UZB,Uzbekistan,0.5290519877675841,44.0,44.0,0.529,0.5290519877675841
VUT,Vanuatu,0.02040816326530612,141.0,141.0,0.02,0.02040816326530612
VNM,Vietnam,0.44092219020172907,54.0,54.0,0.441,0.44092219020172907
ZMB,Zambia,0.17647058823529413,116.0,116.0,0.177,0.17647058823529413
ZWE,Zimbabwe,0.3908205841446453,65.0,65.0,0.391,0.3908205841446453
