country,page_number,score,rank,diff,left,right
Albania,83,0.419,30,,,
Algeria,85,0.068,135,,,
Angola,87,0.354,37,,,
Argentina,89,0.459,20,,,
Armenia,91,0.228,70,,,
Australia,93,0.424,28,,,
Austria,95,0.303,48,,,
Azerbaijan,97,0.068,133,,,
Bahrain,99,0.146,103,,,
Bangladesh,101,0.543,7,,,
Barbados,103,0.28,54,,,
Belarus,105,0.168,97,,,
Belgium,107,0.486,16,,,
Belize,109,0.074,129,,,
Benin,111,0.19,84,,,
Bhutan,113,0.045,139,,,
Bolivia,115,0.384,32,,,
Bosnia and Herzegovina,117,0.257,61,,,
Botswana,119,0.088,125,,,
Brazil,121,0.22,74,,,
Brunei Darussalam,123,0.069,132,,,
Bulgaria,125,0.174,92,,,
Burkina Faso,127,0.091,122,,,
Burundi,129,0.32,44,,,
Cambodia,131,0.08,127,,,
Cameroon,133,0.202,81,,,
Canada,135,0.334,42,,,
Cape Verde,137,0.31,46,,,
Chad,139,0.161,99,,,
Chile,141,0.502,12,,,
China,143,0.123,111,,,
Colombia,145,0.306,47,,,
Comoros,147,0.083,126,,,
"Congo, Democratic Republic of t",149,0.109,117,,,
Costa Rica,151,0.489,15,,,
Côte D'Ivoire,153,0.107,118,,,
Croatia,155,0.293,50,,,
Cyprus,157,0.2,82,,,
Czechia,159,0.127,110,,,
Denmark,161,0.452,22,,,
Dominican Republic,163,0.145,104,,,
Ecuador,165,0.482,17,,,
Egypt,167,0.176,90,,,
El Salvador,169,0.215,77,,,
Estonia,171,0.34,41,,,
Eswatini,173,0.174,93,,,
Ethiopia,175,0.412,31,,,
Fiji,177,0.045,140,,,
Finland,179,0.734,3,,,
France,181,0.428,27,,,
Gambia,183,0.073,130,,,
Georgia,185,0.179,88,,,
Germany,187,0.605,6,,,
Ghana,189,0.105,119,,,
Greece,191,0.214,78,,,
Guatemala,193,0.263,59,,,
Guinea,195,0.217,75,,,
Guyana,197,0.359,36,,,
Honduras,199,0.288,52,,,
Hungary,201,0.069,131,,,
Iceland,203,0.972,1,,,
India,205,0.251,65,,,
Indonesia,207,0.138,107,,,
Iran,209,0.031,143,,,
Ireland,211,0.507,10,,,
Israel,213,0.139,106,,,
Italy,215,0.243,67,,,
Jamaica,217,0.263,60,,,
Japan,219,0.118,113,,,
Jordan,221,0.117,115,,,
Kazakhstan,223,0.116,116,,,
Kenya,225,0.21,80,,,
Kuwait,227,0.029,145,,,
Kyrgyzstan,229,0.133,109,,,
Lao PDR,231,0.14,105,,,
Latvia,233,0.364,35,,,
Lebanon,235,0.033,142,,,
Lesotho,237,0.136,108,,,
Liberia,239,0.287,53,,,
Lithuania,241,0.44,24,,,
Luxembourg,243,0.278,55,,,
Madagascar,245,0.161,98,,,
Malaysia,247,0.068,134,,,
Maldives,249,0.055,138,,,
Mali,251,0.187,86,,,
Malta,253,0.251,64,,,
Mauritius,255,0.159,100,,,
Mexico,257,0.49,14,,,
"Moldova, Republic of",259,0.35,38,,,
Mongolia,261,0.104,120,,,
Montenegro,263,0.182,87,,,
Morocco,265,0.188,85,,,
Mozambique,267,0.542,8,,,
Namibia,269,0.456,21,,,
Nepal,271,0.288,51,,,
Netherlands,273,0.443,23,,,
New Zealand,275,0.631,4,,,
Nicaragua,277,0.626,5,,,
Niger,279,0.096,121,,,
Nigeria,281,0.066,136,,,
North Macedonia,283,0.313,45,,,
Norway,285,0.746,2,,,
Oman,287,0.044,141,,,
Pakistan,289,0.122,112,,,
Panama,291,0.274,56,,,
Paraguay,293,0.173,94,,,
Peru,295,0.38,33,,,
Philippines,297,0.373,34,,,
Poland,299,0.272,57,,,
Portugal,301,0.429,26,,,
Qatar,303,0.061,137,,,
Romania,305,0.213,79,,,
Rwanda,307,0.422,29,,,
Saudi Arabia,309,0.077,128,,,
Senegal,311,0.341,39,,,
Serbia,313,0.438,25,,,
Sierra Leone,315,0.253,62,,,
Singapore,317,0.23,69,,,
Slovakia,319,0.224,71,,,
Slovenia,321,0.328,43,,,
South Africa,323,0.513,9,,,
South Korea,325,0.223,72,,,
Spain,327,0.494,13,,,
Sri Lanka,329,0.09,123,,,
Sudan,331,0.03,144,,,
Suriname,333,0.245,66,,,
Sweden,335,0.506,11,,,
Switzerland,337,0.464,19,,,
Tajikistan,339,0.156,101,,,
Thailand,341,0.147,102,,,
Timor-Leste,343,0.238,68,,,
Togo,345,0.222,73,,,
Tunisia,347,0.216,76,,,
Türkiye,349,0.118,114,,,
Uganda,351,0.267,58,,,
Ukraine,353,0.175,91,,,
United Arab Emirates,355,0.341,40,,,
United Kingdom,357,0.474,18,,,
United Republic of Tanzania,359,0.3,49,,,
United States of America,361,0.251,63,,,
Uruguay,363,0.172,95,,,
Uzbekistan,365,0.176,89,,,
Vanuatu,367,0.006,146,,,
Viet Nam,369,0.168,96,,,
Zambia,371,0.09,124,,,
Zimbabwe,373,0.199,83,,,
