code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
ALB,30,0.419,0.4285377917856527,0.4210495834072231,29.0,26.0,-0.007488208378429617,-3.0,Albania
DZA,135,0.068,0.06955633510782669,0.06823581159776611,132.0,132.0,-0.001320523510060581,0.0,Algeria
AGO,37,0.354,0.35735216122795477,0.3492483598019007,37.0,36.0,-0.008103801426054047,-1.0,Angola
ARG,20,0.459,0.45801440589619047,0.45203430270327993,20.0,18.0,-0.005980103192910535,-2.0,Argentina
ARM,70,0.228,0.2251835373930427,0.21832230839116767,74.0,77.0,-0.006861229001875024,3.0,Armenia
AUS,28,0.424,0.4302797472669679,0.42312125907329756,28.0,25.0,-0.00715848819367032,-3.0,Australia
AUT,48,0.303,0.3014566631460831,0.2935373840480724,48.0,48.0,-0.007919279098010712,0.0,Austria
AZE,133,0.068,0.06643144691150127,0.06390409840946601,137.0,137.0,-0.0025273485020352593,0.0,Azerbaijan
BHR,103,0.146,0.1479034327403924,0.14465595258014385,104.0,105.0,-0.0032474801602485337,1.0,Bahrain
BGD,7,0.543,0.5366616252125063,0.38850903386270885,8.0,30.0,-0.1481525913497974,22.0,Bangladesh
BRB,54,0.28,0.280165388988288,0.2781966610371393,55.0,54.0,-0.001968727951148719,-1.0,Barbados
BLR,97,0.168,0.16413951352426226,0.15816792009019714,99.0,99.0,-0.0059715934340651144,0.0,Belarus
BEL,16,0.486,0.49396705351343795,0.41941792356496127,14.0,27.0,-0.07454912994847668,13.0,Belgium
BLZ,129,0.074,0.07314444981083132,0.07081322883586313,131.0,131.0,-0.0023312209749681845,0.0,Belize
BEN,84,0.19,0.19072981743403156,0.18620040070626193,85.0,85.0,-0.004529416727769631,0.0,Benin
BTN,139,0.045,0.046240226152085125,0.04555209897175026,141.0,141.0,-0.0006881271803348618,0.0,Bhutan
BOL,32,0.384,0.3822247398161008,0.37230951336905627,32.0,32.0,-0.009915226447044512,0.0,Bolivia
BIH,61,0.257,0.2550971749867058,0.25659696827840583,63.0,62.0,0.0014997932917000245,-1.0,Bosnia-Herzegovina
BWA,125,0.088,0.0899158853108003,0.088217823005384,125.0,124.0,-0.0016980623054163035,-1.0,Botswana
BRA,74,0.22,0.22328824168346478,0.22196821114888618,76.0,74.0,-0.0013200305345786034,-2.0,Brazil
BRN,132,0.069,0.0693292541604162,0.06763061261498607,133.0,133.0,-0.0016986415454301323,0.0,Brunei
BGR,92,0.174,0.17500495855645087,0.1703554449643197,93.0,94.0,-0.0046495135921311714,1.0,Bulgaria
BFA,122,0.091,0.09007029414636003,0.087750919756977,124.0,125.0,-0.002319374389383025,1.0,Burkina Faso
BDI,44,0.32,0.32187378966225266,0.3142537006117065,44.0,43.0,-0.007620089050546175,-1.0,Burundi
KHM,127,0.08,0.07990684178144324,0.07807515199431436,127.0,127.0,-0.0018316897871288734,0.0,Cambodia
CMR,81,0.202,0.1992188456325089,0.1932266492356251,84.0,84.0,-0.005992196396883809,0.0,Cameroon
CAN,42,0.334,0.3411728757864873,0.3352472385139258,40.0,39.0,-0.0059256372725615125,-1.0,Canada
CPV,46,0.31,0.31055587422762787,0.3025072839565488,47.0,45.0,-0.00804859027107907,-2.0,Cape Verde
TCD,99,0.161,0.16054515719954354,0.15639150444500569,100.0,101.0,-0.0041536527545378565,1.0,Chad
CHL,12,0.502,0.5106350461120566,0.46545362249624006,11.0,16.0,-0.04518142361581651,5.0,Chile
CHN,111,0.123,0.12046755223048206,0.11586015720844452,113.0,115.0,-0.004607395022037539,2.0,China
COL,47,0.306,0.312603565288323,0.30702984214272977,45.0,44.0,-0.0055737231455932346,-1.0,Colombia
COM,126,0.083,0.08214128933012524,0.07967212433696566,126.0,126.0,-0.0024691649931595783,0.0,Comoros
COD,117,0.109,0.11144630871411049,0.10941379937730814,118.0,118.0,-0.0020325093368023517,0.0,D.R. Congo
CRI,15,0.489,0.49001730384594294,0.4800885181321738,16.0,11.0,-0.00992878571376915,-5.0,Costa Rica
CIV,118,0.107,0.10940203628498528,0.10724477961955782,119.0,119.0,-0.0021572566654274594,0.0,Côte D'Ivoire
HRV,50,0.293,0.29109317492096815,0.28685044471519555,51.0,52.0,-0.0042427302057725935,1.0,Croatia
CYP,82,0.2,0.20722394119216442,0.20455307466113673,82.0,82.0,-0.002670866531027688,0.0,Cyprus
CZE,110,0.127,0.12409001444026205,0.12021336382250775,111.0,111.0,-0.0038766506177543014,0.0,Czechia
DNK,22,0.452,0.4500176763896149,0.44230588943220056,23.0,21.0,-0.007711786957414313,-2.0,Denmark
DOM,104,0.145,0.14250094954581716,0.13794081150999518,106.0,106.0,-0.004560138035821976,0.0,Dominican Republic
ECU,17,0.482,0.4895585326138643,0.47962440269691736,17.0,12.0,-0.009934129916946921,-5.0,Ecuador
EGY,90,0.176,0.17558227748536345,0.17090052112692716,92.0,92.0,-0.00468175635843629,0.0,Egypt
SLV,77,0.215,0.2777434771443735,0.27239747635184686,57.0,57.0,-0.005346000792526617,0.0,El Salvador
