country,page_number,score,rank,diff,left,right
Albania,83,0.952,115.0,-4.49,88.53,93.02
Algeria,85,,,,,
Angola,87,,,,,
Argentina,89,,,,,
Armenia,91,0.982,108.0,-1.69,89.8,91.5
Australia,93,1.0,1.0,0.21,99.6,99.81
Austria,95,0.998,84.0,-0.19,98.23,98.42
Azerbaijan,97,0.99,104.0,-0.96,95.2,96.16
Bahrain,99,1.0,1.0,0.62,91.62,92.24
Bangladesh,101,,,,,
Barbados,103,0.991,103.0,-0.87,92.72,93.6
Belarus,105,0.948,117.0,-5.05,91.4,96.45
Belgium,107,1.0,73.0,-0.02,98.52,98.53
Belize,109,1.0,1.0,0.95,90.0,90.95
Benin,111,0.939,119.0,-5.94,91.57,97.52
Bhutan,113,1.0,1.0,9.31,89.98,99.29
Bolivia,115,1.0,1.0,0.48,96.39,96.86
Bosnia and Herzegovina,117,0.992,98.0,-0.66,84.8,85.47
Botswana,119,1.0,1.0,1.83,80.77,82.6
Brazil,121,0.991,101.0,-0.83,94.35,95.18
Brunei Darussalam,123,1.0,1.0,0.89,97.11,98.0
Bulgaria,125,1.0,1.0,0.12,86.63,86.75
Burkina Faso,127,1.0,1.0,0.62,67.53,68.15
Burundi,129,1.0,1.0,2.89,78.89,81.77
Cambodia,131,1.0,1.0,3.0,85.67,88.68
Cameroon,133,0.902,122.0,-9.42,86.68,96.11
Canada,135,0.992,97.0,-0.74,95.92,96.65
Cape Verde,137,0.998,86.0,-0.18,89.04,89.22
Chad,139,0.831,126.0,-13.74,67.38,81.12
Chile,141,0.986,106.0,-1.37,98.01,99.38
China,143,,,,,
Colombia,145,1.0,1.0,1.05,92.16,93.21
Comoros,147,0.993,96.0,-0.58,87.06,87.64
"Congo, Democratic Republic of t",149,,,,,
Costa Rica,151,1.0,1.0,0.02,95.26,95.27
Côte D'Ivoire,153,0.962,114.0,-3.67,92.54,96.21
Croatia,155,,,,,
Cyprus,157,0.995,92.0,-0.48,99.18,99.66
Czechia,159,1.0,1.0,0.24,98.35,98.58
Denmark,161,1.0,1.0,0.08,99.37,99.46
Dominican Republic,163,1.0,1.0,1.08,91.92,93.0
