code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.9517308105783703,115.0,109.0,0.952,0.9517308105783703
DZA,Algeria,,,,,
AGO,Angola,,,,,
ARG,Argentina,,,,,
ARM,Armenia,0.9814207650273223,108.0,86.0,0.982,0.9814207650273223
AUS,Australia,0.9978960024045685,1.0,36.0,1.0,0.9978960024045685
AUT,Austria,0.9980694980694981,84.0,32.0,0.998,0.9980694980694981
AZE,Azerbaijan,0.9900166389351083,104.0,75.0,0.99,0.9900166389351083
BHR,Bahrain,0.993278404163053,1.0,62.0,1.0,0.993278404163053
BGD,Bangladesh,,,,,
BRB,Barbados,0.9905982905982906,103.0,74.0,0.991,0.9905982905982906
BLR,Belarus,0.9476412649040954,117.0,112.0,0.948,0.9476412649040954
BEL,Belgium,0.9998985080686085,73.0,2.0,1.0,0.9998985080686085
BLZ,Belize,0.9895547003848268,1.0,76.0,1.0,0.9895547003848268
BEN,Benin,0.9389868744872846,119.0,114.0,0.939,0.9389868744872846
BTN,Bhutan,0.9062342632692114,1.0,119.0,1.0,0.9062342632692114
BOL,Bolivia,0.9951476357629568,1.0,53.0,1.0,0.9951476357629568
BIH,Bosnia-Herzegovina,0.9921609921609922,98.0,65.0,0.992,0.9921609921609922
BWA,Botswana,0.9778450363196126,1.0,91.0,1.0,0.9778450363196126
BRA,Brazil,0.991279680605169,101.0,69.0,0.991,0.991279680605169
BRN,Brunei,0.9909183673469387,1.0,71.0,1.0,0.9909183673469387
BGR,Bulgaria,0.9986167146974063,1.0,19.0,1.0,0.9986167146974063
BFA,Burkina Faso,0.9909024211298605,1.0,72.0,1.0,0.9909024211298605
BDI,Burundi,0.964779258896906,1.0,103.0,1.0,0.964779258896906
KHM,Cambodia,0.9660577356788452,1.0,102.0,1.0,0.9660577356788452
CMR,Cameroon,0.9018832587659974,122.0,120.0,0.902,0.9018832587659974
CAN,Canada,0.9924469736161406,97.0,64.0,0.992,0.9924469736161406
