country,page_number,score,rank,diff,left,right
Albania,83,1.0,1.0,11.66,44.17,55.83
Algeria,85,0.916,83.0,-4.4,47.8,52.2
Angola,87,0.42,129.0,-40.86,29.57,70.43
Argentina,89,1.0,1.0,7.24,46.38,53.62
Armenia,91,1.0,1.0,17.86,41.07,58.93
Australia,93,1.0,1.0,16.57,41.71,58.29
Austria,95,1.0,1.0,0.08,49.96,50.04
Azerbaijan,97,1.0,1.0,15.48,42.26,57.74
Bahrain,99,0.483,123.0,-34.84,32.58,67.42
Bangladesh,101,0.254,138.0,-59.52,20.24,79.76
Barbados,103,1.0,1.0,15.33,42.33,57.66
Belarus,105,1.0,1.0,38.66,30.67,69.33
Belgium,107,1.0,1.0,4.29,47.86,52.14
Belize,109,1.0,1.0,1.6,49.2,50.8
Benin,111,0.235,139.0,-61.97,19.02,80.98
Bhutan,113,0.531,119.0,-30.6,34.7,65.3
Bolivia,115,0.861,89.0,-7.45,46.27,53.73
Bosnia and Herzegovina,117,1.0,1.0,2.04,48.98,51.02
Botswana,119,1.0,1.0,8.68,45.66,54.34
Brazil,121,1.0,1.0,6.33,46.83,53.17
Brunei Darussalam,123,1.0,1.0,3.08,48.46,51.54
Bulgaria,125,1.0,1.0,16.88,41.56,58.44
Burkina Faso,127,0.538,117.0,-30.01,34.99,65.01
Burundi,129,0.673,105.0,-19.57,40.22,59.78
Cambodia,131,0.785,97.0,-12.05,43.98,56.02
Cameroon,133,0.748,99.0,-14.4,42.8,57.2
Canada,135,1.0,1.0,15.17,42.41,57.59
Cape Verde,137,0.938,80.0,-3.2,48.4,51.6
Chad,139,0.217,140.0,-64.3,17.85,82.15
Chile,141,1.0,1.0,5.49,47.26,52.74
China,143,,,,,
Colombia,145,0.979,75.0,-1.08,49.46,50.54
Comoros,147,0.543,115.0,-29.64,35.18,64.82
"Congo, Democratic Republic of t",149,0.433,127.0,-39.58,30.21,69.79
Costa Rica,151,0.823,94.0,-9.69,45.15,54.85
Côte D'Ivoire,153,0.305,135.0,-53.28,23.36,76.64
Croatia,155,1.0,1.0,13.4,43.3,56.7
Cyprus,157,1.0,1.0,2.34,48.83,51.17
Czechia,159,0.946,78.0,-2.8,48.6,51.4
