code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.7911517105498836,1.0,63.0,1.0,0.7911517105498836
DZA,Algeria,0.9157088122605362,83.0,31.0,0.916,0.9157088122605362
AGO,Angola,0.4198494959534289,129.0,129.0,0.42,0.4198494959534289
ARG,Argentina,0.864975755315181,1.0,45.0,1.0,0.864975755315181
ARM,Armenia,0.6969285593076532,1.0,90.0,1.0,0.6969285593076532
AUS,Australia,0.7155601303825699,1.0,85.0,1.0,0.7155601303825699
AUT,Austria,0.9984012789768186,1.0,1.0,1.0,0.9984012789768186
AZE,Azerbaijan,0.7319016279875302,1.0,84.0,1.0,0.7319016279875302
BHR,Bahrain,0.48323939483832684,123.0,121.0,0.483,0.48323939483832684
BGD,Bangladesh,0.2537612838515546,138.0,138.0,0.254,0.2537612838515546
BRB,Barbados,0.7341311134235172,1.0,83.0,1.0,0.7341311134235172
BLR,Belarus,0.4423770373575653,1.0,125.0,1.0,0.4423770373575653
BEL,Belgium,0.9179133103183736,1.0,30.0,1.0,0.9179133103183736
BLZ,Belize,0.9685039370078741,1.0,12.0,1.0,0.9685039370078741
BEN,Benin,0.2348728081007656,139.0,139.0,0.235,0.2348728081007656
BTN,Bhutan,0.5313935681470139,119.0,117.0,0.531,0.5313935681470139
BOL,Bolivia,0.8611576400521125,89.0,46.0,0.861,0.8611576400521125
BIH,Bosnia-Herzegovina,0.9600156801254409,1.0,14.0,1.0,0.9600156801254409
BWA,Botswana,0.8402649981597349,1.0,52.0,1.0,0.8402649981597349
BRA,Brazil,0.8807598269700958,1.0,39.0,1.0,0.8807598269700958
BRN,Brunei,0.9402405898331393,1.0,22.0,1.0,0.9402405898331393
BGR,Bulgaria,0.7111567419575634,1.0,87.0,1.0,0.7111567419575634
BFA,Burkina Faso,0.5382248884786955,117.0,115.0,0.538,0.5382248884786955
BDI,Burundi,0.6728002676480428,105.0,93.0,0.673,0.6728002676480428
KHM,Cambodia,0.7850767583006069,97.0,65.0,0.785,0.7850767583006069
CMR,Cameroon,0.7482517482517481,99.0,76.0,0.748,0.7482517482517481
CAN,Canada,0.7364125716270185,1.0,80.0,1.0,0.7364125716270185
CPV,Cape Verde,0.937984496124031,80.0,23.0,0.938,0.937984496124031
TCD,Chad,0.2172854534388314,140.0,140.0,0.217,0.2172854534388314
CHL,Chile,0.8960940462646947,1.0,35.0,1.0,0.8960940462646947
CHN,China,,,,,
COL,Colombia,0.9786307874950535,75.0,8.0,0.979,0.9786307874950535
COM,Comoros,0.5427337241592102,115.0,113.0,0.543,0.5427337241592102
COD,D.R. Congo,0.432870038687491,127.0,127.0,0.433,0.432870038687491
CRI,Costa Rica,0.8231540565177757,94.0,59.0,0.823,0.8231540565177757
