country,page_number,score,rank,diff,left,right
Albania,83,0.915,128.0,-8.47,91.39,99.86
Algeria,85,1.0,1.0,4.07,100.71,104.78
Angola,87,0.652,139.0,-22.6,42.29,64.9
Argentina,89,1.0,1.0,6.75,113.27,120.03
Armenia,91,1.0,1.0,0.01,96.86,96.87
Australia,93,0.961,121.0,-5.27,130.56,135.83
Austria,95,0.981,107.0,-1.95,100.45,102.41
Azerbaijan,97,0.957,124.0,-3.57,78.72,82.29
Bahrain,99,0.962,120.0,-4.06,101.43,105.49
Bangladesh,101,1.0,1.0,10.87,66.47,77.34
Barbados,103,1.0,1.0,3.68,104.59,108.27
Belarus,105,0.959,123.0,-3.92,92.53,96.46
Belgium,107,1.0,1.0,14.47,136.11,150.59
Belize,109,1.0,1.0,3.21,85.42,88.63
Benin,111,0.861,134.0,-6.79,41.92,48.71
Bhutan,113,1.0,1.0,13.11,81.79,94.9
Bolivia,115,1.0,1.0,0.09,91.42,91.51
Bosnia and Herzegovina,117,1.0,1.0,0.5,83.65,84.15
Botswana,119,1.0,1.0,7.3,66.41,73.71
Brazil,121,1.0,1.0,6.95,103.28,110.23
Brunei Darussalam,123,1.0,1.0,3.08,86.93,90.02
Bulgaria,125,0.972,111.0,-2.57,88.41,90.99
Burkina Faso,127,1.0,1.0,4.97,31.27,36.24
Burundi,129,1.0,1.0,9.85,37.07,46.92
Cambodia,131,1.0,1.0,9.91,53.1,63.01
Cameroon,133,0.9,130.0,-4.74,42.77,47.51
Canada,135,0.998,88.0,-0.25,109.21,109.46
Cape Verde,137,1.0,1.0,8.25,82.42,90.67
Chad,139,0.597,141.0,-12.13,17.95,30.08
Chile,141,0.983,103.0,-1.84,105.13,106.97
China,143,0.873,133.0,-6.76,46.62,53.38
Colombia,145,1.0,1.0,3.95,99.64,103.59
Comoros,147,1.0,1.0,4.27,60.77,65.05
"Congo, Democratic Republic of t",149,0.634,140.0,-25.5,44.15,69.65
Costa Rica,151,1.0,1.0,14.73,125.98,140.71
Côte D'Ivoire,153,0.903,129.0,-5.62,52.22,57.84
Croatia,155,1.0,1.0,5.62,100.25,105.87
Cyprus,157,0.982,104.0,-1.83,101.57,103.4
Czechia,159,1.0,1.0,1.07,99.57,100.65
Denmark,161,0.99,95.0,-1.26,129.68,130.94
Dominican Republic,163,1.0,1.0,7.1,73.03,80.12
Ecuador,165,1.0,1.0,2.18,97.09,99.27
Egypt,167,0.965,117.0,-3.08,84.02,87.1
El Salvador,169,1.0,1.0,5.8,62.94,68.74
Estonia,171,1.0,1.0,4.36,110.43,114.79
Eswatini,173,0.985,99.0,-1.33,85.31,86.64
Ethiopia,175,0.97,112.0,-1.06,34.33,35.39
Fiji,177,0.919,127.0,-7.09,80.55,87.64
Finland,179,1.0,1.0,16.41,136.83,153.24
France,181,1.0,1.0,0.41,104.08,104.49
Gambia,183,1.0,1.0,17.74,92.61,110.34
Georgia,185,0.961,122.0,-4.13,101.63,105.77
Germany,187,0.941,126.0,-6.12,98.05,104.17
Ghana,189,1.0,1.0,0.34,76.61,76.96
Greece,191,0.977,110.0,-2.47,104.25,106.71
Guatemala,193,1.0,1.0,1.89,45.18,47.07
Guinea,195,0.759,137.0,-9.84,30.96,40.8
Guyana,197,1.0,1.0,6.07,82.54,88.6
Honduras,199,1.0,1.0,7.32,46.34,53.66
Hungary,201,0.997,89.0,-0.26,99.56,99.82
Iceland,203,0.964,118.0,-4.22,113.0,117.22
