code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.9151812537552574,128.0,104.0,0.915,0.9151812537552574
DZA,Algeria,0.961156709295667,1.0,80.0,1.0,0.961156709295667
AGO,Angola,0.6516178736517719,139.0,139.0,0.652,0.6516178736517719
ARG,Argentina,0.9436807464800466,1.0,92.0,1.0,0.9436807464800466
ARM,Armenia,0.9998967688654897,1.0,1.0,1.0,0.9998967688654897
AUS,Australia,0.9612015018773467,121.0,79.0,0.961,0.9612015018773467
AUT,Austria,0.9808612440191388,107.0,50.0,0.981,0.9808612440191388
AZE,Azerbaijan,0.9566168428727669,124.0,86.0,0.957,0.9566168428727669
BHR,Bahrain,0.9615129396151295,120.0,78.0,0.962,0.9615129396151295
BGD,Bangladesh,0.8594517713990173,1.0,128.0,1.0,0.8594517713990173
BRB,Barbados,0.966010898679228,1.0,66.0,1.0,0.966010898679228
BLR,Belarus,0.9592577234086669,123.0,83.0,0.959,0.9592577234086669
BEL,Belgium,0.9038448768178499,1.0,108.0,1.0,0.9038448768178499
BLZ,Belize,0.9637820151190343,1.0,72.0,1.0,0.9637820151190343
BEN,Benin,0.8606035721617737,134.0,126.0,0.861,0.8606035721617737
BTN,Bhutan,0.861854583772392,1.0,125.0,1.0,0.861854583772392
BOL,Bolivia,0.9990165009288602,1.0,6.0,1.0,0.9990165009288602
BIH,Bosnia-Herzegovina,0.994058229352347,1.0,24.0,1.0,0.994058229352347
BWA,Botswana,0.9009632342965677,1.0,112.0,1.0,0.9009632342965677
BRA,Brazil,0.9369500136079107,1.0,96.0,1.0,0.9369500136079107
BRN,Brunei,0.9656742946011998,1.0,67.0,1.0,0.9656742946011998
BGR,Bulgaria,0.9716452357401912,111.0,58.0,0.972,0.9716452357401912
BFA,Burkina Faso,0.862858719646799,1.0,124.0,1.0,0.862858719646799
BDI,Burundi,0.7900682011935208,1.0,135.0,1.0,0.7900682011935208
KHM,Cambodia,0.8427233772417078,1.0,130.0,1.0,0.8427233772417078
CMR,Cameroon,0.9002315302041677,130.0,113.0,0.9,0.9002315302041677
CAN,Canada,0.9977160606614288,88.0,8.0,0.998,0.9977160606614288
CPV,Cape Verde,0.9090106981360979,1.0,107.0,1.0,0.9090106981360979
TCD,Chad,0.5967420212765957,141.0,141.0,0.597,0.5967420212765957
CHL,Chile,0.9827989155838085,103.0,44.0,0.983,0.9827989155838085
CHN,China,0.8733608092918695,133.0,121.0,0.873,0.8733608092918695
COL,Colombia,0.9618689062650835,1.0,77.0,1.0,0.9618689062650835
COM,Comoros,0.9342044581091469,1.0,97.0,1.0,0.9342044581091469
COD,D.R. Congo,0.6338837042354629,140.0,140.0,0.634,0.6338837042354629
CRI,Costa Rica,0.8953166086276739,1.0,115.0,1.0,0.8953166086276739
CIV,Côte D'Ivoire,0.9028354080221299,129.0,110.0,0.903,0.9028354080221299
HRV,Croatia,0.9469160290922829,1.0,90.0,1.0,0.9469160290922829
CYP,Cyprus,0.982301740812379,104.0,46.0,0.982,0.982301740812379
CZE,Czechia,0.9892697466467957,1.0,32.0,1.0,0.9892697466467957
DNK,Denmark,0.9903772720329923,95.0,30.0,0.99,0.9903772720329923
DOM,Dominican Republic,0.9115077383924114,1.0,106.0,1.0,0.9115077383924114
ECU,Ecuador,0.978039689735066,1.0,53.0,1.0,0.978039689735066
EGY,Egypt,0.9646383467278989,117.0,70.0,0.965,0.9646383467278989
SLV,El Salvador,0.9156240907768403,1.0,103.0,1.0,0.9156240907768403
EST,Estonia,0.9620175973516857,1.0,75.0,1.0,0.9620175973516857
SWZ,Eswatini,0.9846491228070176,99.0,38.0,0.985,0.9846491228070176
ETH,Ethiopia,0.9700480361684091,112.0,60.0,0.97,0.9700480361684091
FJI,Fiji,0.9191008671839342,127.0,101.0,0.919,0.9191008671839342
FIN,Finland,0.8929130775254503,1.0,116.0,1.0,0.8929130775254503
FRA,France,0.9960761795387119,1.0,14.0,1.0,0.9960761795387119
GMB,Gambia,0.8393148450244697,1.0,132.0,1.0,0.8393148450244697
GEO,Georgia,0.9608584664838801,122.0,81.0,0.961,0.9608584664838801
DEU,Germany,0.9412498800038398,126.0,94.0,0.941,0.9412498800038398
GHA,Ghana,0.9954521829521831,1.0,19.0,1.0,0.9954521829521831
GRC,Greece,0.9769468653359573,110.0,54.0,0.977,0.9769468653359573
GTM,Guatemala,0.9598470363288719,1.0,82.0,1.0,0.9598470363288719
GIN,Guinea,0.7588235294117648,137.0,136.0,0.759,0.7588235294117648
GUY,Guyana,0.9316027088036118,1.0,98.0,1.0,0.9316027088036118
HND,Honduras,0.8635855385762208,1.0,123.0,1.0,0.8635855385762208
HUN,Hungary,0.9973953115608095,89.0,9.0,0.997,0.9973953115608095
ISL,Iceland,0.963999317522607,118.0,71.0,0.964,0.963999317522607
IND,India,0.9945284002084419,1.0,22.0,1.0,0.9945284002084419
IDN,Indonesia,0.9920507144294628,1.0,27.0,1.0,0.9920507144294628
IRN,Iran,0.9798726404366614,108.0,51.0,0.98,0.9798726404366614
IRL,Ireland,0.9127701652775815,1.0,105.0,1.0,0.9127701652775815
ISR,Israel,0.9907588048054214,1.0,29.0,1.0,0.9907588048054214
ITA,Italy,0.9869877646144882,98.0,36.0,0.987,0.9869877646144882
JAM,Jamaica,0.999284862932062,1.0,2.0,1.0,0.999284862932062
JPN,Japan,0.9968725566849101,1.0,12.0,1.0,0.9968725566849101
JOR,Jordan,0.999154572354516,1.0,5.0,1.0,0.999154572354516
KAZ,Kazakhstan,0.9956668780384695,92.0,18.0,0.996,0.9956668780384695
KEN,Kenya,,,,,
KWT,Kuwait,0.9173445817013157,1.0,102.0,1.0,0.9173445817013157
KGZ,Kyrgyzstan,0.98102808691044,106.0,49.0,0.981,0.98102808691044
LAO,Laos,0.9695238095238096,113.0,61.0,0.97,0.9695238095238096
LVA,Latvia,0.9924883521916896,1.0,26.0,1.0,0.9924883521916896
LBN,Lebanon,0.9688915140775743,1.0,62.0,1.0,0.9688915140775743
LSO,Lesotho,0.7491222937390287,1.0,137.0,1.0,0.7491222937390287
LBR,Liberia,0.9628667878473124,119.0,74.0,0.963,0.9628667878473124
LTU,Lithuania,0.9795345467717106,109.0,52.0,0.98,0.9795345467717106
LUX,Luxembourg,0.9818587775607034,1.0,48.0,1.0,0.9818587775607034
MDG,Madagascar,0.9390512961941533,1.0,95.0,1.0,0.9390512961941533
MYS,Malaysia,0.948750431878383,1.0,89.0,1.0,0.948750431878383
MDV,Maldives,0.9428610578240614,1.0,93.0,1.0,0.9428610578240614
