country,page_number,score,rank,diff,left,right
Albania,83,0.93,137,,,
Algeria,85,0.944,1,,,
Angola,87,0.944,1,,,
Argentina,89,0.944,1,,,
Armenia,91,0.913,143,,,
Australia,93,0.944,1,,,
Austria,95,0.944,1,,,
Azerbaijan,97,0.888,146,,,
Bahrain,99,0.944,1,,,
Bangladesh,101,0.944,1,,,
Barbados,103,0.944,1,,,
Belarus,105,0.944,1,,,
Belgium,107,0.944,1,,,
Belize,109,0.944,1,,,
Benin,111,0.944,1,,,
Bhutan,113,0.944,1,,,
Bolivia,115,0.944,1,,,
Bosnia and Herzegovina,117,0.936,129,,,
Botswana,119,0.944,1,,,
Brazil,121,0.944,1,,,
Brunei Darussalam,123,0.927,141,,,
Bulgaria,125,0.943,112,,,
Burkina Faso,127,0.944,1,,,
Burundi,129,0.944,1,,,
Cambodia,131,0.944,1,,,
Cameroon,133,0.944,1,,,
Canada,135,0.944,1,,,
Cape Verde,137,0.944,1,,,
Chad,139,0.944,1,,,
Chile,141,0.944,1,,,
China,143,0.895,145,,,
Colombia,145,0.944,1,,,
Comoros,147,0.944,1,,,
"Congo, Democratic Republic of t",149,0.944,1,,,
Costa Rica,151,0.944,1,,,
Côte D'Ivoire,153,0.944,1,,,
Croatia,155,0.943,112,,,
Cyprus,157,0.939,124,,,
Czechia,159,0.944,1,,,
Denmark,161,0.944,1,,,
Dominican Republic,163,0.944,1,,,
Ecuador,165,0.944,1,,,
Egypt,167,0.944,1,,,
El Salvador,169,0.944,1,,,
Estonia,171,0.943,115,,,
Eswatini,173,0.944,1,,,
Ethiopia,175,0.944,1,,,
Fiji,177,0.933,135,,,
Finland,179,0.944,1,,,
France,181,0.944,1,,,
Gambia,183,0.944,1,,,
Georgia,185,0.936,129,,,
Germany,187,0.944,1,,,
Ghana,189,0.944,1,,,
Greece,191,0.94,121,,,
Guatemala,193,0.944,1,,,
Guinea,195,0.944,1,,,
Guyana,197,0.944,1,,,
Honduras,199,0.944,1,,,
Hungary,201,0.944,1,,,
Iceland,203,0.942,116,,,
India,205,0.929,138,,,
Indonesia,207,0.943,112,,,
Iran,209,0.944,1,,,
Ireland,211,0.944,1,,,
Israel,213,0.944,1,,,
Italy,215,0.944,1,,,
Jamaica,217,0.944,1,,,
Japan,219,0.944,1,,,
Jordan,221,0.944,1,,,
Kazakhstan,223,0.939,124,,,
Kenya,225,0.944,1,,,
Kuwait,227,0.944,1,,,
Kyrgyzstan,229,0.944,1,,,
Lao PDR,231,0.944,1,,,
Latvia,233,0.938,127,,,
Lebanon,235,0.944,1,,,
Lesotho,237,0.944,1,,,
Liberia,239,0.944,1,,,
Lithuania,241,0.944,1,,,
Luxembourg,243,0.944,1,,,
Madagascar,245,0.944,1,,,
Malaysia,247,0.938,127,,,
Maldives,249,0.944,1,,,
Mali,251,0.944,1,,,
Malta,253,0.936,129,,,
Mauritius,255,0.944,1,,,
Mexico,257,0.944,1,,,
"Moldova, Republic of",259,0.941,119,,,
Mongolia,261,0.944,1,,,
Montenegro,263,0.932,136,,,
Morocco,265,0.944,1,,,
Mozambique,267,0.944,1,,,
Namibia,269,0.944,1,,,
Nepal,271,0.944,1,,,
Netherlands,273,0.944,1,,,
New Zealand,275,0.944,1,,,
Nicaragua,277,0.944,1,,,
Niger,279,0.944,1,,,
Nigeria,281,0.944,1,,,
North Macedonia,283,0.928,139,,,
Norway,285,0.942,116,,,
Oman,287,0.944,1,,,
Pakistan,289,0.944,1,,,
Panama,291,0.944,1,,,
Paraguay,293,0.944,1,,,
Peru,295,0.944,1,,,
Philippines,297,0.928,139,,,
Poland,299,0.944,1,,,
Portugal,301,0.944,1,,,
Qatar,303,0.944,1,,,
Romania,305,0.944,1,,,
Rwanda,307,0.944,1,,,
Saudi Arabia,309,0.944,1,,,
Senegal,311,0.944,1,,,
Serbia,313,0.935,132,,,
Sierra Leone,315,0.944,1,,,
Singapore,317,0.944,1,,,
Slovakia,319,0.944,1,,,
Slovenia,321,0.939,124,,,
South Africa,323,0.944,1,,,
South Korea,325,0.944,1,,,
Spain,327,0.942,116,,,
Sri Lanka,329,0.944,1,,,
Sudan,331,0.944,1,,,
Suriname,333,0.944,1,,,
Sweden,335,0.944,1,,,
Switzerland,337,0.944,1,,,
Tajikistan,339,0.941,119,,,
Thailand,341,0.94,121,,,
Timor-Leste,343,0.934,134,,,
Togo,345,0.944,1,,,
Tunisia,347,0.944,1,,,
Türkiye,349,0.944,1,,,
Uganda,351,0.944,1,,,
Ukraine,353,0.94,121,,,
United Arab Emirates,355,0.944,1,,,
United Kingdom,357,0.944,1,,,
United Republic of Tanzania,359,0.944,1,,,
United States of America,361,0.944,1,,,
Uruguay,363,0.944,1,,,
Uzbekistan,365,0.925,142,,,
Vanuatu,367,0.935,132,,,
Viet Nam,369,0.898,144,,,
Zambia,371,0.944,1,,,
Zimbabwe,373,0.944,1,,,
