code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,,137,137.0,0.93,0.93
DZA,Algeria,,1,1.0,0.944,0.944
AGO,Angola,,1,1.0,0.944,0.944
ARG,Argentina,,1,1.0,0.944,0.944
ARM,Armenia,,143,143.0,0.913,0.913
AUS,Australia,,1,1.0,0.944,0.944
AUT,Austria,,1,1.0,0.944,0.944
AZE,Azerbaijan,,146,146.0,0.888,0.888
BHR,Bahrain,,1,1.0,0.944,0.944
BGD,Bangladesh,,1,1.0,0.944,0.944
BRB,Barbados,,1,1.0,0.944,0.944
BLR,Belarus,,1,1.0,0.944,0.944
BEL,Belgium,,1,1.0,0.944,0.944
BLZ,Belize,,1,1.0,0.944,0.944
BEN,Benin,,1,1.0,0.944,0.944
BTN,Bhutan,,1,1.0,0.944,0.944
BOL,Bolivia,,1,1.0,0.944,0.944
BIH,Bosnia-Herzegovina,,129,129.0,0.936,0.936
BWA,Botswana,,1,1.0,0.944,0.944
BRA,Brazil,,1,1.0,0.944,0.944
BRN,Brunei,,141,141.0,0.927,0.927
BGR,Bulgaria,,112,112.0,0.943,0.943
BFA,Burkina Faso,,1,1.0,0.944,0.944
BDI,Burundi,,1,1.0,0.944,0.944
KHM,Cambodia,,1,1.0,0.944,0.944
CMR,Cameroon,,1,1.0,0.944,0.944
CAN,Canada,,1,1.0,0.944,0.944
CPV,Cape Verde,,1,1.0,0.944,0.944
TCD,Chad,,1,1.0,0.944,0.944
CHL,Chile,,1,1.0,0.944,0.944
CHN,China,,145,145.0,0.895,0.895
COL,Colombia,,1,1.0,0.944,0.944
COM,Comoros,,1,1.0,0.944,0.944
COD,D.R. Congo,,1,1.0,0.944,0.944
CRI,Costa Rica,,1,1.0,0.944,0.944
CIV,Côte D'Ivoire,,1,1.0,0.944,0.944
HRV,Croatia,,112,112.0,0.943,0.943
CYP,Cyprus,,124,124.0,0.939,0.939
CZE,Czechia,,1,1.0,0.944,0.944
DNK,Denmark,,1,1.0,0.944,0.944
DOM,Dominican Republic,,1,1.0,0.944,0.944
ECU,Ecuador,,1,1.0,0.944,0.944
EGY,Egypt,,1,1.0,0.944,0.944
SLV,El Salvador,,1,1.0,0.944,0.944
EST,Estonia,,115,112.0,0.943,0.943
SWZ,Eswatini,,1,1.0,0.944,0.944
ETH,Ethiopia,,1,1.0,0.944,0.944
FJI,Fiji,,135,135.0,0.933,0.933
FIN,Finland,,1,1.0,0.944,0.944
FRA,France,,1,1.0,0.944,0.944
GMB,Gambia,,1,1.0,0.944,0.944
GEO,Georgia,,129,129.0,0.936,0.936
DEU,Germany,,1,1.0,0.944,0.944
GHA,Ghana,,1,1.0,0.944,0.944
GRC,Greece,,121,121.0,0.94,0.94
GTM,Guatemala,,1,1.0,0.944,0.944
GIN,Guinea,,1,1.0,0.944,0.944
GUY,Guyana,,1,1.0,0.944,0.944
HND,Honduras,,1,1.0,0.944,0.944
HUN,Hungary,,1,1.0,0.944,0.944
ISL,Iceland,,116,116.0,0.942,0.942
IND,India,,138,138.0,0.929,0.929
IDN,Indonesia,,112,112.0,0.943,0.943
IRN,Iran,,1,1.0,0.944,0.944
IRL,Ireland,,1,1.0,0.944,0.944
ISR,Israel,,1,1.0,0.944,0.944
ITA,Italy,,1,1.0,0.944,0.944
JAM,Jamaica,,1,1.0,0.944,0.944
JPN,Japan,,1,1.0,0.944,0.944
JOR,Jordan,,1,1.0,0.944,0.944
KAZ,Kazakhstan,,124,124.0,0.939,0.939
KEN,Kenya,,1,1.0,0.944,0.944
KWT,Kuwait,,1,1.0,0.944,0.944
KGZ,Kyrgyzstan,,1,1.0,0.944,0.944
LAO,Laos,,1,1.0,0.944,0.944
LVA,Latvia,,127,127.0,0.938,0.938
LBN,Lebanon,,1,1.0,0.944,0.944
LSO,Lesotho,,1,1.0,0.944,0.944
LBR,Liberia,,1,1.0,0.944,0.944
LTU,Lithuania,,1,1.0,0.944,0.944
