country,page_number,score,rank,diff,left,right
Albania,83,1.0,1.0,24.48,50.6,75.08
Algeria,85,1.0,1.0,28.61,39.4,68.01
Angola,87,0.899,112.0,-1.17,10.48,11.65
Argentina,89,1.0,1.0,64.82,75.48,140.3
Armenia,91,1.0,1.0,16.72,51.61,68.34
Australia,93,1.0,1.0,42.64,85.65,128.28
Austria,95,1.0,1.0,21.91,83.33,105.24
Azerbaijan,97,1.0,1.0,6.58,38.67,45.25
Bahrain,99,1.0,1.0,30.31,62.47,92.79
Bangladesh,101,0.841,117.0,-3.94,20.84,24.78
Barbados,103,,,,,
Belarus,105,1.0,1.0,8.28,66.8,75.08
Belgium,107,1.0,1.0,25.15,70.44,95.59
Belize,109,1.0,1.0,13.88,16.92,30.8
Benin,111,0.563,131.0,-5.7,7.34,13.04
Bhutan,113,1.0,1.0,0.55,17.26,17.81
Bolivia,115,,,,,
Bosnia and Herzegovina,117,1.0,1.0,20.57,34.61,55.18
Botswana,119,1.0,1.0,10.11,17.88,28.0
Brazil,121,1.0,1.0,22.78,49.15,71.93
Brunei Darussalam,123,1.0,1.0,13.36,26.27,39.63
Bulgaria,125,1.0,1.0,17.41,65.57,82.97
Burkina Faso,127,0.624,127.0,-4.49,7.46,11.95
Burundi,129,0.768,124.0,-1.71,5.66,7.37
Cambodia,131,0.882,113.0,-1.89,14.06,15.95
Cameroon,133,0.88,114.0,-1.83,13.39,15.22
Canada,135,1.0,1.0,25.46,65.51,90.97
Cape Verde,137,1.0,1.0,7.82,16.36,24.18
Chad,139,0.394,135.0,-3.93,2.55,6.48
Chile,141,1.0,1.0,18.43,90.27,108.7
China,143,1.0,1.0,11.35,66.74,78.09
Colombia,145,1.0,1.0,9.92,54.4,64.32
Comoros,147,0.801,120.0,-2.12,8.56,10.68
"Congo, Democratic Republic of t",149,0.593,129.0,-3.41,4.97,8.37
Costa Rica,151,1.0,1.0,11.24,49.23,60.47
Côte D'Ivoire,153,0.806,119.0,-2.1,8.72,10.82
Croatia,155,1.0,1.0,26.82,59.43,86.26
Cyprus,157,1.0,1.0,23.7,84.67,108.37
Czechia,159,1.0,1.0,22.58,58.14,80.72
Denmark,161,1.0,1.0,28.09,70.84,98.93
Dominican Republic,163,1.0,1.0,41.17,38.15,79.32
Ecuador,165,1.0,1.0,12.49,51.79,64.29
Egypt,167,1.0,1.0,0.42,37.61,38.03
El Salvador,169,1.0,1.0,6.34,27.72,34.07
Estonia,171,1.0,1.0,29.95,56.84,86.79
Eswatini,173,,,,,
Ethiopia,175,0.598,128.0,-5.21,7.74,12.96
Fiji,177,1.0,1.0,18.5,41.41,59.9
