code,country,ratio,rank,revised_rank,score,revised_score
ALB,Albania,0.67394778902504,1.0,93.0,1.0,0.67394778902504
DZA,Algeria,0.5793265696221144,1.0,117.0,1.0,0.5793265696221144
AGO,Angola,0.8995708154506438,112.0,20.0,0.899,0.8995708154506438
ARG,Argentina,0.5379900213827512,1.0,124.0,1.0,0.5379900213827512
ARM,Armenia,0.7551946151594966,1.0,66.0,1.0,0.7551946151594966
AUS,Australia,0.6676800748362957,1.0,98.0,1.0,0.6676800748362957
AUT,Austria,0.7918091980235652,1.0,53.0,1.0,0.7918091980235652
AZE,Azerbaijan,0.854585635359116,1.0,33.0,1.0,0.854585635359116
BHR,Bahrain,0.6732406509322124,1.0,94.0,1.0,0.6732406509322124
BGD,Bangladesh,0.841000807102502,117.0,38.0,0.841,0.841000807102502
BRB,Barbados,,,,,
BLR,Belarus,0.8897176345231753,1.0,21.0,1.0,0.8897176345231753
BEL,Belgium,0.7368971649754158,1.0,70.0,1.0,0.7368971649754158
BLZ,Belize,0.5493506493506494,1.0,123.0,1.0,0.5493506493506494
BEN,Benin,0.5628834355828222,131.0,121.0,0.563,0.5628834355828222
BTN,Bhutan,0.9691184727681079,1.0,8.0,1.0,0.9691184727681079
BOL,Bolivia,,,,,
BIH,Bosnia-Herzegovina,0.6272200072490033,1.0,108.0,1.0,0.6272200072490033
BWA,Botswana,0.6385714285714286,1.0,105.0,1.0,0.6385714285714286
BRA,Brazil,0.6833032114555817,1.0,88.0,1.0,0.6833032114555817
BRN,Brunei,0.6628816553116326,1.0,100.0,1.0,0.6628816553116326
BGR,Bulgaria,0.790285645414005,1.0,54.0,1.0,0.790285645414005
BFA,Burkina Faso,0.6242677824267783,127.0,109.0,0.624,0.6242677824267783
BDI,Burundi,0.7679782903663501,124.0,63.0,0.768,0.7679782903663501
KHM,Cambodia,0.8815047021943574,113.0,27.0,0.882,0.8815047021943574
CMR,Cameroon,0.8797634691195795,114.0,28.0,0.88,0.8797634691195795
CAN,Canada,0.7201275145652414,1.0,77.0,1.0,0.7201275145652414
CPV,Cape Verde,0.6765922249793217,1.0,91.0,1.0,0.6765922249793217
TCD,Chad,0.3935185185185185,135.0,134.0,0.394,0.3935185185185185
CHL,Chile,0.8304507819687212,1.0,43.0,1.0,0.8304507819687212
CHN,China,0.854654885388654,1.0,32.0,1.0,0.854654885388654
COL,Colombia,0.845771144278607,1.0,36.0,1.0,0.845771144278607
COM,Comoros,0.801498127340824,120.0,51.0,0.801,0.801498127340824
COD,D.R. Congo,0.5937873357228196,129.0,115.0,0.593,0.5937873357228196
CRI,Costa Rica,0.8141227054737886,1.0,47.0,1.0,0.8141227054737886
