country,page_number,score,rank,diff,left,right
Albania,83,0.858,1.0,,,
Algeria,85,0.816,4.0,,,
Angola,87,0.586,107.0,,,
Argentina,89,0.612,88.0,,,
Armenia,91,0.694,45.0,,,
Australia,93,0.656,64.0,,,
Austria,95,0.659,62.0,,,
Azerbaijan,97,0.728,27.0,,,
Bahrain,99,0.753,16.0,,,
Bangladesh,101,0.599,97.0,,,
Barbados,103,0.686,50.0,,,
Belarus,105,,,,,
Belgium,107,0.615,85.0,,,
Belize,109,,,,,
Benin,111,0.672,56.0,,,
Bhutan,113,,,,,
Bolivia,115,0.541,116.0,,,
Bosnia and Herzegovina,117,0.579,109.0,,,
Botswana,119,0.776,11.0,,,
Brazil,121,0.537,118.0,,,
Brunei Darussalam,123,0.723,32.0,,,
Bulgaria,125,0.652,67.0,,,
Burkina Faso,127,,,,,
Burundi,129,,,,,
Cambodia,131,0.724,29.0,,,
Cameroon,133,0.655,66.0,,,
Canada,135,0.687,48.0,,,
Cape Verde,137,0.597,99.0,,,
Chad,139,0.478,123.0,,,
Chile,141,0.621,79.0,,,
China,143,0.756,14.0,,,
Colombia,145,0.588,105.0,,,
Comoros,147,,,,,
"Congo, Democratic Republic of t",149,0.567,111.0,,,
Costa Rica,151,0.606,93.0,,,
Côte D'Ivoire,153,0.724,30.0,,,
Croatia,155,0.497,122.0,,,
Cyprus,157,0.638,73.0,,,
Czechia,159,0.587,106.0,,,
Denmark,161,0.687,49.0,,,
Dominican Republic,163,0.619,82.0,,,
Ecuador,165,0.58,108.0,,,
Egypt,167,0.741,23.0,,,
El Salvador,169,0.54,117.0,,,
Estonia,171,0.743,21.0,,,
Eswatini,173,,,,,
Ethiopia,175,,,,,
Fiji,177,,,,,
Finland,179,0.792,8.0,,,
France,181,0.596,100.0,,,
Gambia,183,,,,,
Georgia,185,0.744,19.0,,,
Germany,187,0.636,76.0,,,
Ghana,189,0.737,24.0,,,
Greece,191,0.638,72.0,,,
Guatemala,193,0.597,98.0,,,
Guinea,195,,,,,
Guyana,197,,,,,
Honduras,199,0.609,91.0,,,
Hungary,201,0.593,101.0,,,
Iceland,203,0.815,5.0,,,
India,205,0.521,120.0,,,
Indonesia,207,0.755,15.0,,,
Iran,209,0.549,114.0,,,
Ireland,211,0.711,38.0,,,
Israel,213,0.615,86.0,,,
Italy,215,0.601,95.0,,,
Jamaica,217,0.637,74.0,,,
Japan,219,0.619,83.0,,,
Jordan,221,0.745,18.0,,,
Kazakhstan,223,0.68,53.0,,,
Kenya,225,0.649,70.0,,,
Kuwait,227,0.692,46.0,,,
Kyrgyzstan,229,0.658,63.0,,,
Lao PDR,231,0.736,26.0,,,
Latvia,233,0.649,71.0,,,
Lebanon,235,0.614,87.0,,,
Lesotho,237,0.504,121.0,,,
Liberia,239,0.825,3.0,,,
Lithuania,241,0.697,43.0,,,
Luxembourg,243,0.741,22.0,,,
Madagascar,245,,,,,
Malaysia,247,0.719,33.0,,,
Maldives,249,,,,,
Mali,251,0.672,55.0,,,
Malta,253,0.635,77.0,,,
Mauritius,255,0.636,75.0,,,
Mexico,257,0.522,119.0,,,
"Moldova, Republic of",259,0.695,44.0,,,
Mongolia,261,0.704,41.0,,,
Montenegro,263,0.663,61.0,,,
Morocco,265,0.608,92.0,,,
Mozambique,267,,,,,
Namibia,269,0.61,90.0,,,
Nepal,271,0.621,80.0,,,
Netherlands,273,0.656,65.0,,,
New Zealand,275,0.709,39.0,,,
Nicaragua,277,0.547,115.0,,,
Niger,279,,,,,
Nigeria,281,0.683,51.0,,,
North Macedonia,283,0.592,102.0,,,
Norway,285,,,,,
Oman,287,0.834,2.0,,,
Pakistan,289,0.62,81.0,,,
Panama,291,0.591,103.0,,,
Paraguay,293,0.576,110.0,,,
Peru,295,0.59,104.0,,,
Philippines,297,0.713,36.0,,,
Poland,299,0.567,112.0,,,
Portugal,301,0.629,78.0,,,
Qatar,303,0.751,17.0,,,
Romania,305,0.672,57.0,,,
Rwanda,307,0.798,6.0,,,
Saudi Arabia,309,0.767,13.0,,,
Senegal,311,0.65,68.0,,,
Serbia,313,0.671,59.0,,,
Sierra Leone,315,0.605,94.0,,,
Singapore,317,0.794,7.0,,,
Slovakia,319,0.611,89.0,,,
Slovenia,321,0.718,34.0,,,
South Africa,323,0.563,113.0,,,
South Korea,325,0.617,84.0,,,
Spain,327,0.688,47.0,,,
Sri Lanka,329,0.682,52.0,,,
Sudan,331,,,,,
Suriname,333,,,,,
Sweden,335,0.707,40.0,,,
Switzerland,337,0.77,12.0,,,
Tajikistan,339,0.723,31.0,,,
Thailand,341,0.737,25.0,,,
Timor-Leste,343,,,,,
Togo,345,,,,,
Tunisia,347,0.671,58.0,,,
Türkiye,349,0.601,96.0,,,
Uganda,351,,,,,
Ukraine,353,0.713,35.0,,,
United Arab Emirates,355,0.783,10.0,,,
United Kingdom,357,0.65,69.0,,,
United Republic of Tanzania,359,0.7,42.0,,,
United States of America,361,0.712,37.0,,,
Uruguay,363,0.666,60.0,,,
Uzbekistan,365,0.792,9.0,,,
Vanuatu,367,,,,,
Viet Nam,369,0.726,28.0,,,
Zambia,371,0.678,54.0,,,
Zimbabwe,373,0.744,20.0,,,
