country,page_number,score,rank,diff,left,right
Albania,83,0.555,40.0,-28.6,35.7,64.3
Algeria,85,0.086,132.0,-84.2,7.9,92.1
Angola,87,0.629,28.0,-22.8,38.6,61.4
Argentina,89,0.736,21.0,-15.2,42.4,57.6
Armenia,91,0.575,38.0,-27.0,36.5,63.5
Australia,93,0.613,33.0,-24.0,38.0,62.0
Austria,95,0.678,24.0,-19.2,40.4,59.6
Azerbaijan,97,0.221,108.0,-63.8,18.1,81.9
Bahrain,99,0.25,94.0,-60.0,20.0,80.0
Bangladesh,101,0.25,94.0,-60.0,20.0,80.0
Barbados,103,0.364,74.0,-46.6,26.7,73.3
Belarus,105,0.506,48.0,-32.8,33.6,66.4
Belgium,107,0.745,19.0,-14.6,42.7,57.3
Belize,109,0.185,115.0,-68.8,15.6,84.4
Benin,111,0.362,75.0,-46.8,26.6,73.4
Bhutan,113,0.045,138.0,-91.4,4.3,95.7
Bolivia,115,0.859,8.0,-7.6,46.2,53.8
Bosnia and Herzegovina,117,0.236,105.0,-61.8,19.1,80.9
Botswana,119,0.125,127.0,-77.8,11.1,88.9
Brazil,121,0.212,110.0,-65.0,17.5,82.5
Brunei Darussalam,123,0.134,126.0,-76.4,11.8,88.2
Bulgaria,125,0.341,79.0,-49.2,25.4,74.6
Burkina Faso,127,0.203,111.0,-66.2,16.9,83.1
Burundi,129,0.618,32.0,-23.6,38.2,61.8
Cambodia,131,0.157,121.0,-72.8,13.6,86.4
Cameroon,133,0.513,45.0,-32.2,33.9,66.1
Canada,135,0.437,55.0,-39.2,30.4,69.6
Cape Verde,137,0.637,26.0,-22.2,38.9,61.1
Chad,139,0.353,77.0,-47.8,26.1,73.9
Chile,141,0.55,41.0,-29.0,35.5,64.5
China,143,0.361,76.0,-47.0,26.5,73.5
Colombia,145,0.407,63.0,-42.2,28.9,71.1
Comoros,147,0.201,112.0,-66.6,16.7,83.3
"Congo, Democratic Republic of t",149,0.147,125.0,-74.4,12.8,87.2
Costa Rica,151,0.901,6.0,-5.2,47.4,52.6
Côte D'Ivoire,153,0.155,123.0,-73.2,13.4,86.6
Croatia,155,0.511,47.0,-32.4,33.8,66.2
Cyprus,157,0.167,120.0,-71.4,14.3,85.7
Czechia,159,0.351,78.0,-48.0,26.0,74.0
Denmark,161,0.828,13.0,-9.4,45.3,54.7
Dominican Republic,163,0.387,66.0,-44.2,27.9,72.1
Ecuador,165,0.758,18.0,-13.8,43.1,56.9
Egypt,167,0.383,68.0,-44.6,27.7,72.3
El Salvador,169,,,,,
Estonia,171,0.423,56.0,-40.6,29.7,70.3
Eswatini,173,0.276,91.0,-56.8,21.6,78.4
Ethiopia,175,0.704,22.0,-17.4,41.3,58.7
Fiji,177,0.1,130.0,-81.8,9.1,90.9
Finland,179,0.852,11.0,-8.0,46.0,54.0
France,181,0.595,37.0,-25.4,37.3,62.7
Gambia,183,0.094,131.0,-82.8,8.6,91.4
Georgia,185,0.239,102.0,-61.4,19.3,80.7
Germany,187,0.546,42.0,-29.4,35.3,64.7
Ghana,189,0.171,118.0,-70.8,14.6,85.4
Greece,191,0.299,87.0,-54.0,23.0,77.0
Guatemala,193,0.25,94.0,-60.0,20.0,80.0
Guinea,195,0.421,57.0,-40.8,29.6,70.4
Guyana,197,0.65,25.0,-21.2,39.4,60.6
Honduras,199,0.376,70.0,-45.4,27.3,72.7
Hungary,201,0.171,118.0,-70.8,14.6,85.4
Iceland,203,0.908,5.0,-4.8,47.6,52.4
India,205,0.172,117.0,-70.6,14.7,85.3
Indonesia,207,,,,,
Iran,209,0.059,134.0,-88.8,5.6,94.4
