IndicatorCode,IndicatorName,Country,CountryCode,Year,Sex,DeathRate,DeathRate_Low,DeathRate_High,Comments,DataSource
SA_0000001444,,AFG,COUNTRY,2004,SEX_BTSX,366.9,,,,
SA_0000001444,,AFG,COUNTRY,2004,SEX_FMLE,282.9,,,,
SA_0000001444,,AFG,COUNTRY,2004,SEX_MLE,447.4,,,,
SA_0000001444,,AGO,COUNTRY,2004,SEX_BTSX,142.4,,,,
SA_0000001444,,AGO,COUNTRY,2004,SEX_FMLE,111.0,,,,
SA_0000001444,,AGO,COUNTRY,2004,SEX_MLE,180.5,,,,
SA_0000001444,,ALB,COUNTRY,2004,SEX_BTSX,172.9,,,,
SA_0000001444,,ALB,COUNTRY,2004,SEX_FMLE,123.3,,,,
SA_0000001444,,ALB,COUNTRY,2004,SEX_MLE,228.1,,,,
SA_0000001444,,AND,COUNTRY,2004,SEX_BTSX,48.1,,,,
SA_0000001444,,AND,COUNTRY,2004,SEX_FMLE,30.5,,,,
SA_0000001444,,AND,COUNTRY,2004,SEX_MLE,68.9,,,,
SA_0000001444,,ARE,COUNTRY,2004,SEX_BTSX,95.1,,,,
SA_0000001444,,ARE,COUNTRY,2004,SEX_FMLE,59.9,,,,
SA_0000001444,,ARE,COUNTRY,2004,SEX_MLE,120.9,,,,
SA_0000001444,,ARG,COUNTRY,2004,SEX_BTSX,75.2,,,,
SA_0000001444,,ARG,COUNTRY,2004,SEX_FMLE,44.4,,,,
SA_0000001444,,ARG,COUNTRY,2004,SEX_MLE,115.5,,,,
SA_0000001444,,ARM,COUNTRY,2004,SEX_BTSX,419.7,,,,
SA_0000001444,,ARM,COUNTRY,2004,SEX_FMLE,335.3,,,,
SA_0000001444,,ARM,COUNTRY,2004,SEX_MLE,533.1,,,,
SA_0000001444,,ATG,COUNTRY,2004,SEX_BTSX,85.8,,,,
SA_0000001444,,ATG,COUNTRY,2004,SEX_FMLE,59.6,,,,
SA_0000001444,,ATG,COUNTRY,2004,SEX_MLE,113.4,,,,
SA_0000001444,,AUS,COUNTRY,2004,SEX_BTSX,72.8,,,,
SA_0000001444,,AUS,COUNTRY,2004,SEX_FMLE,52.6,,,,
SA_0000001444,,AUS,COUNTRY,2004,SEX_MLE,95.9,,,,
SA_0000001444,,AUT,COUNTRY,2004,SEX_BTSX,86.7,,,,
SA_0000001444,,AUT,COUNTRY,2004,SEX_FMLE,67.0,,,,
SA_0000001444,,AUT,COUNTRY,2004,SEX_MLE,112.6,,,,
SA_0000001444,,AZE,COUNTRY,2004,SEX_BTSX,403.0,,,,
SA_0000001444,,AZE,COUNTRY,2004,SEX_FMLE,341.0,,,,
SA_0000001444,,AZE,COUNTRY,2004,SEX_MLE,480.0,,,,
SA_0000001444,,BDI,COUNTRY,2004,SEX_BTSX,124.8,,,,
SA_0000001444,,BDI,COUNTRY,2004,SEX_FMLE,102.3,,,,
SA_0000001444,,BDI,COUNTRY,2004,SEX_MLE,158.0,,,,
SA_0000001444,,BEL,COUNTRY,2004,SEX_BTSX,75.1,,,,
SA_0000001444,,BEL,COUNTRY,2004,SEX_FMLE,50.6,,,,
SA_0000001444,,BEL,COUNTRY,2004,SEX_MLE,105.4,,,,
SA_0000001444,,BEN,COUNTRY,2004,SEX_BTSX,113.1,,,,
SA_0000001444,,BEN,COUNTRY,2004,SEX_FMLE,96.2,,,,
SA_0000001444,,BEN,COUNTRY,2004,SEX_MLE,135.2,,,,
SA_0000001444,,BFA,COUNTRY,2004,SEX_BTSX,125.7,,,,
SA_0000001444,,BFA,COUNTRY,2004,SEX_FMLE,104.2,,,,
SA_0000001444,,BFA,COUNTRY,2004,SEX_MLE,153.8,,,,
SA_0000001444,,BGD,COUNTRY,2004,SEX_BTSX,210.6,,,,
SA_0000001444,,BGD,COUNTRY,2004,SEX_FMLE,187.2,,,,
SA_0000001444,,BGD,COUNTRY,2004,SEX_MLE,235.8,,,,
SA_0000001444,,BGR,COUNTRY,2004,SEX_BTSX,179.9,,,,
SA_0000001444,,BGR,COUNTRY,2004,SEX_FMLE,125.9,,,,
SA_0000001444,,BGR,COUNTRY,2004,SEX_MLE,245.9,,,,
SA_0000001444,,BHR,COUNTRY,2004,SEX_BTSX,96.3,,,,
SA_0000001444,,BHR,COUNTRY,2004,SEX_FMLE,72.8,,,,
SA_0000001444,,BHR,COUNTRY,2004,SEX_MLE,113.7,,,,
SA_0000001444,,BHS,COUNTRY,2004,SEX_BTSX,94.8,,,,
SA_0000001444,,BHS,COUNTRY,2004,SEX_FMLE,76.0,,,,
SA_0000001444,,BHS,COUNTRY,2004,SEX_MLE,117.3,,,,
SA_0000001444,,BIH,COUNTRY,2004,SEX_BTSX,114.3,,,,
SA_0000001444,,BIH,COUNTRY,2004,SEX_FMLE,77.7,,,,
SA_0000001444,,BIH,COUNTRY,2004,SEX_MLE,161.2,,,,
SA_0000001444,,BLR,COUNTRY,2004,SEX_BTSX,414.5,,,,
SA_0000001444,,BLR,COUNTRY,2004,SEX_FMLE,316.4,,,,
SA_0000001444,,BLR,COUNTRY,2004,SEX_MLE,565.7,,,,
SA_0000001444,,BLZ,COUNTRY,2004,SEX_BTSX,98.9,,,,
SA_0000001444,,BLZ,COUNTRY,2004,SEX_FMLE,78.1,,,,
SA_0000001444,,BLZ,COUNTRY,2004,SEX_MLE,119.7,,,,
SA_0000001444,,BOL,COUNTRY,2004,SEX_BTSX,85.5,,,,
SA_0000001444,,BOL,COUNTRY,2004,SEX_FMLE,67.6,,,,
SA_0000001444,,BOL,COUNTRY,2004,SEX_MLE,106.8,,,,
SA_0000001444,,BRA,COUNTRY,2004,SEX_BTSX,99.5,,,,
SA_0000001444,,BRA,COUNTRY,2004,SEX_FMLE,79.1,,,,
SA_0000001444,,BRA,COUNTRY,2004,SEX_MLE,123.3,,,,
SA_0000001444,,BRB,COUNTRY,2004,SEX_BTSX,68.3,,,,
SA_0000001444,,BRB,COUNTRY,2004,SEX_FMLE,43.0,,,,
SA_0000001444,,BRB,COUNTRY,2004,SEX_MLE,104.3,,,,
SA_0000001444,,BRN,COUNTRY,2004,SEX_BTSX,56.9,,,,
SA_0000001444,,BRN,COUNTRY,2004,SEX_FMLE,41.2,,,,
SA_0000001444,,BRN,COUNTRY,2004,SEX_MLE,71.3,,,,
SA_0000001444,,BTN,COUNTRY,2004,SEX_BTSX,220.7,,,,
SA_0000001444,,BTN,COUNTRY,2004,SEX_FMLE,183.3,,,,
SA_0000001444,,BTN,COUNTRY,2004,SEX_MLE,257.2,,,,
SA_0000001444,,BWA,COUNTRY,2004,SEX_BTSX,83.2,,,,
SA_0000001444,,BWA,COUNTRY,2004,SEX_FMLE,64.1,,,,
SA_0000001444,,BWA,COUNTRY,2004,SEX_MLE,112.5,,,,
SA_0000001444,,CAF,COUNTRY,2004,SEX_BTSX,119.4,,,,
SA_0000001444,,CAF,COUNTRY,2004,SEX_FMLE,96.9,,,,
SA_0000001444,,CAF,COUNTRY,2004,SEX_MLE,149.6,,,,
SA_0000001444,,CAN,COUNTRY,2004,SEX_BTSX,74.2,,,,
SA_0000001444,,CAN,COUNTRY,2004,SEX_FMLE,50.9,,,,
SA_0000001444,,CAN,COUNTRY,2004,SEX_MLE,102.3,,,,
SA_0000001444,,CHE,COUNTRY,2004,SEX_BTSX,63.6,,,,
SA_0000001444,,CHE,COUNTRY,2004,SEX_FMLE,46.6,,,,
SA_0000001444,,CHE,COUNTRY,2004,SEX_MLE,85.7,,,,
SA_0000001444,,CHL,COUNTRY,2004,SEX_BTSX,59.1,,,,
SA_0000001444,,CHL,COUNTRY,2004,SEX_FMLE,39.1,,,,
SA_0000001444,,CHL,COUNTRY,2004,SEX_MLE,86.0,,,,
SA_0000001444,,CHN,COUNTRY,2004,SEX_BTSX,62.8,,,,
SA_0000001444,,CHN,COUNTRY,2004,SEX_FMLE,57.4,,,,
SA_0000001444,,CHN,COUNTRY,2004,SEX_MLE,68.0,,,,
SA_0000001444,,CIV,COUNTRY,2004,SEX_BTSX,130.3,,,,
SA_0000001444,,CIV,COUNTRY,2004,SEX_FMLE,95.9,,,,
SA_0000001444,,CIV,COUNTRY,2004,SEX_MLE,162.9,,,,
SA_0000001444,,CMR,COUNTRY,2004,SEX_BTSX,116.2,,,,
SA_0000001444,,CMR,COUNTRY,2004,SEX_FMLE,93.6,,,,
SA_0000001444,,CMR,COUNTRY,2004,SEX_MLE,142.4,,,,
SA_0000001444,,COD,COUNTRY,2004,SEX_BTSX,125.4,,,,
SA_0000001444,,COD,COUNTRY,2004,SEX_FMLE,103.4,,,,
SA_0000001444,,COD,COUNTRY,2004,SEX_MLE,153.7,,,,
SA_0000001444,,COG,COUNTRY,2004,SEX_BTSX,102.0,,,,
